Both Price And Arrival from 01-Jan-2018 To 31-Dec-2023 Total Arrival- 19873.26,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,2.5,4000,4000,4000,18-Oct-23
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,0.5,8000,8000,8000,17-Jul-23
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,8,8000,8200,8100,16-Jul-23
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,2.5,6000,6500,6250,16-May-23
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,9,6500,7000,6550,22-Mar-23
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,27,6490,6500,6495,10-Nov-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,60,5875,6550,6212,07-Oct-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,30,6350,6400,6375,29-Sep-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,7.5,5800,6000,5900,23-Sep-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,30,6100,6200,6150,14-Sep-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,4.2,6500,7000,6750,21-Aug-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,8,6500,7000,6750,18-Aug-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,5.5,5590,5600,5595,17-Jul-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,9,5075,5100,5087,14-Jul-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,30,5250,5350,5300,28-Jun-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,10,5100,5200,5150,23-Jun-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,25.4,5090,5200,5145,11-Jun-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,28.6,5200,5300,5250,25-May-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,34.6,5200,5300,5250,21-May-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,25.2,5100,5200,5150,19-May-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,32,5080,5200,5140,16-May-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,31.6,5300,5350,5325,12-May-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,34,5000,5200,5100,07-May-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,25,5100,5410,5305,06-May-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,23,5250,5300,5275,04-May-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,34.6,5150,5300,5225,03-May-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,10,5100,5110,5105,29-Apr-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,13,4800,5200,5000,24-Apr-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,66.8,5200,5300,5250,23-Apr-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,69.8,5200,5500,5350,20-Apr-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,40,5000,5200,5100,18-Apr-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,33.6,5425,5600,5512,16-Apr-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,26.4,5450,5550,5500,12-Apr-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,7.46,5000,5050,5025,10-Apr-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,24.8,5350,5500,5425,09-Apr-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,28.3,4800,5000,4900,08-Apr-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,12,4990,5050,5020,25-Mar-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,33.4,5000,5100,5050,11-Mar-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,3.4,5000,5200,5100,10-Feb-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,10,5350,5410,5400,04-Feb-22
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,1.5,4600,4600,4600,21-Dec-21
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,3,4800,4810,4805,26-Oct-21
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,5,4800,4900,4850,25-Oct-21
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,6.5,4900,5000,4915,21-Oct-21
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,20,4800,5000,4900,20-Oct-21
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,14,5350,5400,5375,12-Oct-21
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,5,5600,5700,5650,26-Jul-21
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,25,6200,6350,6275,15-Mar-21
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,6.3,6250,6310,6305,09-Mar-21
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,10,6200,6300,6250,28-Feb-21
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,24,3690,3710,3700,27-Feb-20
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,34.8,3900,4050,3975,23-Feb-20
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,26.7,3985,4100,4042,20-Feb-20
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,12.1,3910,4150,4030,12-Feb-20
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,15,4215,4300,4257,23-Jan-20
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,6.8,4600,4700,4650,12-Dec-19
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,25.5,4735,4800,4767,17-Sep-19
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,2.5,4500,4500,4500,30-Aug-19
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,10.2,4700,4800,4750,06-Aug-19
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,5.5,4300,4600,4450,04-Aug-19
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,25.6,4440,4500,4470,12-Jul-19
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,6,4625,4675,4650,08-Jul-19
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,10.2,5010,5019,5014,14-May-19
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,16.3,5000,5010,5007,13-May-19
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,1,1800,1800,1800,29-Mar-19
Madhya Pradesh,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,20,4011,4041,4026,08-Jan-19
Madhya Pradesh,Morena,Ambaha,Arhar Dal(Tur),Pulses,14.4,1858,1900,1860,30-Sep-19
Madhya Pradesh,Shivpuri,Badarwas,Arhar Dal(Tur),Pulses,0.1,3845,3845,3845,16-Jan-19
Madhya Pradesh,Shivpuri,Badarwas,Arhar Dal(Tur),Pulses,0.9,3518,3612,3565,04-Jan-19
Madhya Pradesh,Shivpuri,Badarwas,Arhar Dal(Tur),Pulses,1.2,3485,3570,3527,02-Jan-19
Madhya Pradesh,Shivpuri,Badarwas,Arhar Dal(Tur),Pulses,0.2,3550,3550,3550,18-Dec-18
Madhya Pradesh,Shivpuri,Badarwas,Arhar Dal(Tur),Pulses,1.4,3600,3600,3600,14-Dec-18
Madhya Pradesh,Shivpuri,Badarwas,Arhar Dal(Tur),Pulses,0.8,3740,3740,3740,13-Dec-18
Madhya Pradesh,Shivpuri,Badarwas,Arhar Dal(Tur),Pulses,2.2,3560,3572,3560,16-Feb-18
Madhya Pradesh,Dhar,Badnawar,Arhar Dal(Tur),Pulses,0.2,3410,3410,3410,24-Jan-18
Madhya Pradesh,Chhatarpur,Bakswaha,Arhar Dal(Tur),Pulses,11.64,4250,4300,4275,05-Nov-19
Madhya Pradesh,Chhatarpur,Bakswaha,Arhar Dal(Tur),Pulses,4,3100,3200,3150,11-Sep-18
Madhya Pradesh,Sehore,Baktara,Arhar Dal(Tur),Pulses,378.4,4900,5110,5000,12-Jan-23
Madhya Pradesh,Sehore,Baktara,Arhar Dal(Tur),Pulses,924.8,3300,3451,3400,28-Nov-22
Madhya Pradesh,Sehore,Baktara,Arhar Dal(Tur),Pulses,"1,125.58",2000,2025,2001,28-Dec-19
Madhya Pradesh,Sehore,Baktara,Arhar Dal(Tur),Pulses,90.5,4500,5351,5300,20-Jul-19
Madhya Pradesh,Sehore,Baktara,Arhar Dal(Tur),Pulses,725.7,2511,2600,2550,18-Feb-19
Madhya Pradesh,Sehore,Baktara,Arhar Dal(Tur),Pulses,9,4000,4000,4000,17-Jul-18
Madhya Pradesh,Sehore,Baktara,Arhar Dal(Tur),Pulses,10.8,3100,3500,3300,28-Apr-18
Madhya Pradesh,Sehore,Baktara,Arhar Dal(Tur),Pulses,136.72,2800,3700,3500,27-Apr-18
Madhya Pradesh,Sehore,Baktara,Arhar Dal(Tur),Pulses,81.1,3200,3425,3300,26-Apr-18
Madhya Pradesh,Sehore,Baktara,Arhar Dal(Tur),Pulses,15.3,3500,3700,3625,20-Apr-18
Madhya Pradesh,Sehore,Baktara,Arhar Dal(Tur),Pulses,74.95,3300,3700,3600,19-Apr-18
Madhya Pradesh,Sehore,Baktara,Arhar Dal(Tur),Pulses,29.5,3400,3750,3600,10-Apr-18
Madhya Pradesh,Sehore,Baktara,Arhar Dal(Tur),Pulses,10,4025,4050,4040,09-Apr-18
Madhya Pradesh,Sehore,Baktara,Arhar Dal(Tur),Pulses,56.76,3300,4050,4025,04-Apr-18
Madhya Pradesh,Sehore,Baktara,Arhar Dal(Tur),Pulses,30,3600,4100,4000,03-Mar-18
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,2,2500,5005,4700,20-Jun-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,3.6,4110,4900,4500,14-Jun-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.1,3350,3350,3350,13-Jun-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.9,4005,4905,4500,11-Jun-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.2,3700,3700,3700,01-Jun-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.5,4000,4405,4000,31-May-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,3.5,3945,3945,3945,30-May-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.1,3050,3050,3050,27-May-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,1.2,3000,3000,3000,25-May-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.5,4240,4240,4240,20-May-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.9,3600,4360,3600,13-May-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.1,4255,6100,5955,11-May-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,4.5,3700,4500,4200,29-Apr-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,1.5,4000,4630,4505,28-Apr-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,2.2,4600,4800,4755,27-Apr-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.3,4700,4700,4700,26-Apr-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,1.1,4400,4955,4500,25-Apr-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.4,4500,4500,4500,20-Apr-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.5,4800,4910,4800,19-Apr-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,2.6,4900,5145,5030,18-Apr-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,1.9,4000,5300,5205,11-Apr-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,1.4,4170,6060,4170,09-Apr-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,5.6,4000,6060,4200,08-Apr-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,1.8,4855,4855,4855,07-Apr-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.5,5305,5305,5305,06-Apr-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,38.9,4000,4845,4400,05-Apr-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.4,4900,4900,4900,04-Apr-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.1,4500,4500,4500,29-Mar-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.1,5000,5000,5000,26-Mar-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.4,4000,4000,4000,24-Mar-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.1,4000,4000,4000,23-Mar-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.1,2800,2800,2800,21-Mar-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.4,5000,5500,5500,15-Mar-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,1,5000,6360,5000,14-Mar-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,1.1,5000,6360,6185,12-Mar-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,2,5300,6500,6000,11-Mar-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,4.5,4090,5400,4780,10-Mar-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.6,4200,6095,4400,09-Mar-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,2.9,4000,5160,5025,07-Mar-22
Madhya Pradesh,Bhopal,Berasia,Arhar Dal(Tur),Pulses,1.9,4000,5880,5450,05-Mar-22
