,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Arrivals (Quintals)
0,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,2.5,4000,4000,4000.0,2023-10-18,25.0
1,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,0.5,8000,8000,8000.0,2023-07-17,5.0
2,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,8.0,8000,8200,8100.0,2023-07-16,80.0
3,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,2.5,6000,6500,6250.0,2023-05-16,25.0
4,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,9.0,6500,7000,6550.0,2023-03-22,90.0
5,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,27.0,6490,6500,6495.0,2022-11-10,270.0
6,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,60.0,5875,6550,6212.0,2022-10-07,600.0
7,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,30.0,6350,6400,6375.0,2022-09-29,300.0
8,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,7.5,5800,6000,5900.0,2022-09-23,75.0
9,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,30.0,6100,6200,6150.0,2022-09-14,300.0
10,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,4.2,6500,7000,6750.0,2022-08-21,42.0
11,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,8.0,6500,7000,6750.0,2022-08-18,80.0
12,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,5.5,5590,5600,5595.0,2022-07-17,55.0
13,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,9.0,5075,5100,5087.0,2022-07-14,90.0
14,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,30.0,5250,5350,5300.0,2022-06-28,300.0
15,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,10.0,5100,5200,5150.0,2022-06-23,100.0
16,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,25.4,5090,5200,5145.0,2022-06-11,254.0
17,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,28.6,5200,5300,5250.0,2022-05-25,286.0
18,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,34.6,5200,5300,5250.0,2022-05-21,346.0
19,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,25.2,5100,5200,5150.0,2022-05-19,252.0
20,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,32.0,5080,5200,5140.0,2022-05-16,320.0
21,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,31.6,5300,5350,5325.0,2022-05-12,316.0
22,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,34.0,5000,5200,5100.0,2022-05-07,340.0
23,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,25.0,5100,5410,5305.0,2022-05-06,250.0
24,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,23.0,5250,5300,5275.0,2022-05-04,230.0
25,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,34.6,5150,5300,5225.0,2022-05-03,346.0
26,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,10.0,5100,5110,5105.0,2022-04-29,100.0
27,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,13.0,4800,5200,5000.0,2022-04-24,130.0
28,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,66.8,5200,5300,5250.0,2022-04-23,668.0
29,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,69.8,5200,5500,5350.0,2022-04-20,698.0
30,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,40.0,5000,5200,5100.0,2022-04-18,400.0
31,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,33.6,5425,5600,5512.0,2022-04-16,336.0
32,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,26.4,5450,5550,5500.0,2022-04-12,264.0
33,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,7.46,5000,5050,5025.0,2022-04-10,74.6
34,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,24.8,5350,5500,5425.0,2022-04-09,248.0
35,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,28.3,4800,5000,4900.0,2022-04-08,283.0
36,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,12.0,4990,5050,5020.0,2022-03-25,120.0
37,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,33.4,5000,5100,5050.0,2022-03-11,334.0
38,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,3.4,5000,5200,5100.0,2022-02-10,34.0
39,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,10.0,5350,5410,5400.0,2022-02-04,100.0
40,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,1.5,4600,4600,4600.0,2021-12-21,15.0
41,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,3.0,4800,4810,4805.0,2021-10-26,30.0
42,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,5.0,4800,4900,4850.0,2021-10-25,50.0
43,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,6.5,4900,5000,4915.0,2021-10-21,65.0
44,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,20.0,4800,5000,4900.0,2021-10-20,200.0
45,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,14.0,5350,5400,5375.0,2021-10-12,140.0
46,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,5.0,5600,5700,5650.0,2021-07-26,50.0
47,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,25.0,6200,6350,6275.0,2021-03-15,250.0
48,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,6.3,6250,6310,6305.0,2021-03-09,63.0
49,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,10.0,6200,6300,6250.0,2021-02-28,100.0
50,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,24.0,3690,3710,3700.0,2020-02-27,240.0
51,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,34.8,3900,4050,3975.0,2020-02-23,348.0
52,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,26.7,3985,4100,4042.0,2020-02-20,267.0
53,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,12.1,3910,4150,4030.0,2020-02-12,121.0
54,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,15.0,4215,4300,4257.0,2020-01-23,150.0
55,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,6.8,4600,4700,4650.0,2019-12-12,68.0
56,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,25.5,4735,4800,4767.0,2019-09-17,255.0
57,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,2.5,4500,4500,4500.0,2019-08-30,25.0
58,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,10.2,4700,4800,4750.0,2019-08-06,102.0
59,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,5.5,4300,4600,4450.0,2019-08-04,55.0
60,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,25.6,4440,4500,4470.0,2019-07-12,256.0
61,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,6.0,4625,4675,4650.0,2019-07-08,60.0
62,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,10.2,5010,5019,5014.0,2019-05-14,102.0
63,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,16.3,5000,5010,5007.0,2019-05-13,163.0
64,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,1.0,1800,1800,1800.0,2019-03-29,10.0
65,Chhindwara,Amarwda,Arhar Dal(Tur),Pulses,20.0,4011,4041,4026.0,2019-01-08,200.0
66,Morena,Ambaha,Arhar Dal(Tur),Pulses,14.4,1858,1900,1860.0,2019-09-30,144.0
67,Shivpuri,Badarwas,Arhar Dal(Tur),Pulses,0.1,3845,3845,3845.0,2019-01-16,1.0
68,Shivpuri,Badarwas,Arhar Dal(Tur),Pulses,0.9,3518,3612,3565.0,2019-01-04,9.0
69,Shivpuri,Badarwas,Arhar Dal(Tur),Pulses,1.2,3485,3570,3527.0,2019-01-02,12.0
70,Shivpuri,Badarwas,Arhar Dal(Tur),Pulses,0.2,3550,3550,3550.0,2018-12-18,2.0
71,Shivpuri,Badarwas,Arhar Dal(Tur),Pulses,1.4,3600,3600,3600.0,2018-12-14,14.0
72,Shivpuri,Badarwas,Arhar Dal(Tur),Pulses,0.8,3740,3740,3740.0,2018-12-13,8.0
73,Shivpuri,Badarwas,Arhar Dal(Tur),Pulses,2.2,3560,3572,3560.0,2018-02-16,22.0
74,Dhar,Badnawar,Arhar Dal(Tur),Pulses,0.2,3410,3410,3410.0,2018-01-24,2.0
75,Chhatarpur,Bakswaha,Arhar Dal(Tur),Pulses,11.64,4250,4300,4275.0,2019-11-05,116.4
76,Chhatarpur,Bakswaha,Arhar Dal(Tur),Pulses,4.0,3100,3200,3150.0,2018-09-11,40.0
77,Sehore,Baktara,Arhar Dal(Tur),Pulses,378.4,4900,5110,5000.0,2023-01-12,3784.0
78,Sehore,Baktara,Arhar Dal(Tur),Pulses,924.8,3300,3451,3400.0,2022-11-28,9248.0
79,Sehore,Baktara,Arhar Dal(Tur),Pulses,1125.58,2000,2025,2001.0,2019-12-28,11255.8
80,Sehore,Baktara,Arhar Dal(Tur),Pulses,90.5,4500,5351,5300.0,2019-07-20,905.0
81,Sehore,Baktara,Arhar Dal(Tur),Pulses,725.7,2511,2600,2550.0,2019-02-18,7257.0
82,Sehore,Baktara,Arhar Dal(Tur),Pulses,9.0,4000,4000,4000.0,2018-07-17,90.0
83,Sehore,Baktara,Arhar Dal(Tur),Pulses,10.8,3100,3500,3300.0,2018-04-28,108.0
84,Sehore,Baktara,Arhar Dal(Tur),Pulses,136.72,2800,3700,3500.0,2018-04-27,1367.2
85,Sehore,Baktara,Arhar Dal(Tur),Pulses,81.1,3200,3425,3300.0,2018-04-26,811.0
86,Sehore,Baktara,Arhar Dal(Tur),Pulses,15.3,3500,3700,3625.0,2018-04-20,153.0
87,Sehore,Baktara,Arhar Dal(Tur),Pulses,74.95,3300,3700,3600.0,2018-04-19,749.5
88,Sehore,Baktara,Arhar Dal(Tur),Pulses,29.5,3400,3750,3600.0,2018-04-10,295.0
89,Sehore,Baktara,Arhar Dal(Tur),Pulses,10.0,4025,4050,4040.0,2018-04-09,100.0
90,Sehore,Baktara,Arhar Dal(Tur),Pulses,56.76,3300,4050,4025.0,2018-04-04,567.6
91,Sehore,Baktara,Arhar Dal(Tur),Pulses,30.0,3600,4100,4000.0,2018-03-03,300.0
92,Bhopal,Berasia,Arhar Dal(Tur),Pulses,2.0,2500,5005,4700.0,2022-06-20,20.0
93,Bhopal,Berasia,Arhar Dal(Tur),Pulses,3.6,4110,4900,4500.0,2022-06-14,36.0
94,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.1,3350,3350,3350.0,2022-06-13,1.0
95,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.9,4005,4905,4500.0,2022-06-11,9.0
96,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.2,3700,3700,3700.0,2022-06-01,2.0
97,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.5,4000,4405,4000.0,2022-05-31,5.0
98,Bhopal,Berasia,Arhar Dal(Tur),Pulses,3.5,3945,3945,3945.0,2022-05-30,35.0
99,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.1,3050,3050,3050.0,2022-05-27,1.0
100,Bhopal,Berasia,Arhar Dal(Tur),Pulses,1.2,3000,3000,3000.0,2022-05-25,12.0
101,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.5,4240,4240,4240.0,2022-05-20,5.0
102,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.9,3600,4360,3600.0,2022-05-13,9.0
103,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.1,4255,6100,5955.0,2022-05-11,1.0
104,Bhopal,Berasia,Arhar Dal(Tur),Pulses,4.5,3700,4500,4200.0,2022-04-29,45.0
105,Bhopal,Berasia,Arhar Dal(Tur),Pulses,1.5,4000,4630,4505.0,2022-04-28,15.0
106,Bhopal,Berasia,Arhar Dal(Tur),Pulses,2.2,4600,4800,4755.0,2022-04-27,22.0
107,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.3,4700,4700,4700.0,2022-04-26,3.0
108,Bhopal,Berasia,Arhar Dal(Tur),Pulses,1.1,4400,4955,4500.0,2022-04-25,11.0
109,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.4,4500,4500,4500.0,2022-04-20,4.0
110,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.5,4800,4910,4800.0,2022-04-19,5.0
111,Bhopal,Berasia,Arhar Dal(Tur),Pulses,2.6,4900,5145,5030.0,2022-04-18,26.0
112,Bhopal,Berasia,Arhar Dal(Tur),Pulses,1.9,4000,5300,5205.0,2022-04-11,19.0
113,Bhopal,Berasia,Arhar Dal(Tur),Pulses,1.4,4170,6060,4170.0,2022-04-09,14.0
114,Bhopal,Berasia,Arhar Dal(Tur),Pulses,5.6,4000,6060,4200.0,2022-04-08,56.0
115,Bhopal,Berasia,Arhar Dal(Tur),Pulses,1.8,4855,4855,4855.0,2022-04-07,18.0
116,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.5,5305,5305,5305.0,2022-04-06,5.0
117,Bhopal,Berasia,Arhar Dal(Tur),Pulses,38.9,4000,4845,4400.0,2022-04-05,389.0
118,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.4,4900,4900,4900.0,2022-04-04,4.0
119,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.1,4500,4500,4500.0,2022-03-29,1.0
120,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.1,5000,5000,5000.0,2022-03-26,1.0
121,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.4,4000,4000,4000.0,2022-03-24,4.0
122,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.1,4000,4000,4000.0,2022-03-23,1.0
123,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.1,2800,2800,2800.0,2022-03-21,1.0
124,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.4,5000,5500,5500.0,2022-03-15,4.0
125,Bhopal,Berasia,Arhar Dal(Tur),Pulses,1.0,5000,6360,5000.0,2022-03-14,10.0
126,Bhopal,Berasia,Arhar Dal(Tur),Pulses,1.1,5000,6360,6185.0,2022-03-12,11.0
127,Bhopal,Berasia,Arhar Dal(Tur),Pulses,2.0,5300,6500,6000.0,2022-03-11,20.0
128,Bhopal,Berasia,Arhar Dal(Tur),Pulses,4.5,4090,5400,4780.0,2022-03-10,45.0
129,Bhopal,Berasia,Arhar Dal(Tur),Pulses,0.6,4200,6095,4400.0,2022-03-09,6.0
130,Bhopal,Berasia,Arhar Dal(Tur),Pulses,2.9,4000,5160,5025.0,2022-03-07,29.0
131,Bhopal,Berasia,Arhar Dal(Tur),Pulses,1.9,4000,5880,5450.0,2022-03-05,19.0
132,Bhopal,Berasia,Arhar Dal(Tur),Pulses,1.9,4505,5205,4825.0,2022-03-04,19.0
133,Bhopal,Berasia,Arhar Dal(Tur),Pulses,2.7,3000,5650,5200.0,2022-03-02,27.0
134,Bhopal,Berasia,Arhar Dal(Tur),Pulses,7.9,2500,5500,4900.0,2022-02-28,79.0
135,Bhopal,Berasia,Arhar Dal(Tur),Pulses,1.6,4000,5365,5300.0,2022-02-26,16.0
136,Bhopal,Berasia,Arhar Dal(Tur),Pulses,4.2,1500,5230,4800.0,2022-02-25,42.0
137,Bhopal,Berasia,Arhar Dal(Tur),Pulses,2.8,2540,5700,4390.0,2022-02-23,28.0
138,Bhopal,Berasia,Arhar Dal(Tur),Pulses,17.1,3200,5940,5460.0,2022-02-22,171.0
139,Bhopal,Berasia,Arhar Dal(Tur),Pulses,17.1,3200,5940,5460.0,2022-02-21,171.0
140,Bhopal,Berasia,Arhar Dal(Tur),Pulses,1.2,3250,5440,4705.0,2022-02-19,12.0
141,Bhopal,Berasia,Arhar Dal(Tur),Pulses,11.8,3300,6000,5000.0,2022-02-18,118.0
142,Bhopal,Berasia,Arhar Dal(Tur),Pulses,13.1,2005,5560,4850.0,2022-02-17,131.0
143,Bhopal,Berasia,Arhar Dal(Tur),Pulses,26.1,2435,6000,5600.0,2022-02-15,261.0
144,Bhopal,Berasia,Arhar Dal(Tur),Pulses,21.1,2825,5635,5205.0,2022-02-14,211.0
145,Bhopal,Berasia,Arhar Dal(Tur),Pulses,16.8,2000,6200,5035.0,2022-02-11,168.0
146,Bhopal,Berasia,Arhar Dal(Tur),Pulses,9.4,2230,4915,4550.0,2022-02-10,94.0
147,Bhopal,Berasia,Arhar Dal(Tur),Pulses,27.9,3560,5330,4550.0,2022-02-09,279.0
148,Bhopal,Berasia,Arhar Dal(Tur),Pulses,12.5,2500,5700,5200.0,2022-02-08,125.0
149,Bhopal,Berasia,Arhar Dal(Tur),Pulses,5.5,3000,9695,4555.0,2022-02-07,55.0
150,Bhopal,Berasia,Arhar Dal(Tur),Pulses,6.0,1500,5560,4200.0,2022-02-05,60.0
151,Bhopal,Berasia,Arhar Dal(Tur),Pulses,17.0,1400,5515,4910.0,2022-02-04,170.0
152,Bhopal,Berasia,Arhar Dal(Tur),Pulses,11.7,2555,5575,4790.0,2022-02-02,117.0
