Both Price And Arrival from 01-Jan-2018 To 31-Dec-2023 Total Arrival- 35913.83,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Ashoknagar,Ashoknagar,Ajwan,Spices,0.1,0,0,2125,03-Sep-23
Madhya Pradesh,Ashoknagar,Ashoknagar,Ajwan,Spices,0.01,1640,2450,1760,16-Apr-20
Madhya Pradesh,Ashoknagar,Ashoknagar,Ajwan,Spices,15,2326,2326,2326,16-May-19
Madhya Pradesh,Ashoknagar,Ashoknagar,Ajwan,Spices,2,5900,5900,5900,05-Jan-18
Madhya Pradesh,Ashoknagar,Ashoknagar,Ajwan,Spices,5,6711,7002,6711,04-Jan-18
Madhya Pradesh,Ujjain,Badnagar,Ajwan,Spices,1.4,1925,1940,1927,28-Apr-20
Madhya Pradesh,Ujjain,Badnagar,Ajwan,Spices,0.7,1836,2207,2032,07-Oct-19
Madhya Pradesh,Bhopal,Bhopal,Other,Spices,0.1,5514,5860,5725,20-Aug-22
Madhya Pradesh,Bhopal,Bhopal,Other,Spices,137.6,2260,2751,2751,06-Jan-22
Madhya Pradesh,Bhopal,Bhopal,Other,Spices,45.8,2100,2631,2614,22-Feb-19
Madhya Pradesh,Bhopal,Bhopal,Other,Spices,384,930,2900,2750,01-Dec-18
Madhya Pradesh,Bhopal,Bhopal,Other,Spices,1.8,8500,8500,8500,19-Sep-18
Madhya Pradesh,Bhopal,Bhopal,Other,Spices,28.8,3175,3901,3881,20-Feb-18
Madhya Pradesh,Guna,Guna,Other,Spices,0.6,7200,7200,7200,13-Jul-18
Madhya Pradesh,Guna,Guna,Other,Spices,0.3,6100,6100,6100,22-Jan-18
Madhya Pradesh,Ratlam,Jaora,Ajwan,Spices,0.11,13000,13500,13000,21-Dec-23
Madhya Pradesh,Ratlam,Jaora,Ajwan,Spices,0.1,9000,9000,9000,18-Oct-23
Madhya Pradesh,Ratlam,Jaora,Ajwan,Spices,0.1,17800,18300,18000,03-Oct-23
Madhya Pradesh,Ratlam,Jaora,Ajwan,Spices,2.8,10000,12900,12000,26-Sep-23
