,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Arrivals (Quintals)
0,Ashoknagar,Ashoknagar,Ajwan,Spices,0.1,0,0,2125,2023-09-03,1.0
1,Ashoknagar,Ashoknagar,Ajwan,Spices,0.01,1640,2450,1760,2020-04-16,0.1
2,Ashoknagar,Ashoknagar,Ajwan,Spices,15.0,2326,2326,2326,2019-05-16,150.0
3,Ashoknagar,Ashoknagar,Ajwan,Spices,2.0,5900,5900,5900,2018-01-05,20.0
4,Ashoknagar,Ashoknagar,Ajwan,Spices,5.0,6711,7002,6711,2018-01-04,50.0
5,Ujjain,Badnagar,Ajwan,Spices,1.4,1925,1940,1927,2020-04-28,14.0
6,Ujjain,Badnagar,Ajwan,Spices,0.7,1836,2207,2032,2019-10-07,7.0
7,Bhopal,Bhopal,Other,Spices,0.1,5514,5860,5725,2022-08-20,1.0
8,Bhopal,Bhopal,Other,Spices,137.6,2260,2751,2751,2022-01-06,1376.0
9,Bhopal,Bhopal,Other,Spices,45.8,2100,2631,2614,2019-02-22,458.0
10,Bhopal,Bhopal,Other,Spices,384.0,930,2900,2750,2018-12-01,3840.0
11,Bhopal,Bhopal,Other,Spices,1.8,8500,8500,8500,2018-09-19,18.0
12,Bhopal,Bhopal,Other,Spices,28.8,3175,3901,3881,2018-02-20,288.0
13,Guna,Guna,Other,Spices,0.6,7200,7200,7200,2018-07-13,6.0
14,Guna,Guna,Other,Spices,0.3,6100,6100,6100,2018-01-22,3.0
15,Ratlam,Jaora,Ajwan,Spices,0.11,13000,13500,13000,2023-12-21,1.1
16,Ratlam,Jaora,Ajwan,Spices,0.1,9000,9000,9000,2023-10-18,1.0
17,Ratlam,Jaora,Ajwan,Spices,0.1,17800,18300,18000,2023-10-03,1.0
18,Ratlam,Jaora,Ajwan,Spices,2.8,10000,12900,12000,2023-09-26,28.0
19,Ratlam,Jaora,Ajwan,Spices,2.8,10000,12900,12000,2023-09-25,28.0
20,Ratlam,Jaora,Ajwan,Spices,0.21,6500,8613,7000,2023-09-16,2.1
21,Ratlam,Jaora,Ajwan,Spices,1007.0,2000,2800,2400,2023-05-20,10070.0
22,Ratlam,Jaora,Ajwan,Spices,0.1,13000,16550,14500,2023-04-17,1.0
23,Ratlam,Jaora,Ajwan,Spices,0.6,7000,13000,12000,2023-03-15,6.0
24,Ratlam,Jaora,Ajwan,Spices,1.1,11851,11851,11851,2023-02-20,11.0
25,Ratlam,Jaora,Ajwan,Spices,0.9,12000,13000,12500,2023-02-13,9.0
26,Ratlam,Jaora,Ajwan,Spices,0.1,10200,14357,12000,2023-02-06,1.0
27,Ratlam,Jaora,Ajwan,Spices,0.2,10700,14500,12000,2023-02-02,2.0
28,Ratlam,Jaora,Ajwan,Spices,0.6,10800,15100,13000,2023-01-27,6.0
29,Ratlam,Jaora,Ajwan,Spices,0.2,14200,14951,14500,2023-01-24,2.0
30,Ratlam,Jaora,Ajwan,Spices,0.3,12300,15931,13500,2023-01-23,3.0
31,Ratlam,Jaora,Ajwan,Spices,1.8,9500,16700,13000,2023-01-21,18.0
32,Ratlam,Jaora,Ajwan,Spices,3.2,11500,15491,13500,2023-01-20,32.0
33,Ratlam,Jaora,Ajwan,Spices,0.7,14000,16200,15000,2023-01-18,7.0
34,Ratlam,Jaora,Ajwan,Spices,0.3,14000,15500,14500,2023-01-17,3.0
35,Ratlam,Jaora,Ajwan,Spices,0.5,12900,16000,13500,2023-01-16,5.0
36,Ratlam,Jaora,Ajwan,Spices,1.1,12800,16700,13500,2023-01-13,11.0
37,Ratlam,Jaora,Ajwan,Spices,0.5,12100,14300,13000,2023-01-11,5.0
38,Ratlam,Jaora,Ajwan,Spices,0.7,11700,17701,15000,2023-01-09,7.0
39,Ratlam,Jaora,Ajwan,Spices,0.4,13900,17500,14000,2023-01-06,4.0
40,Ratlam,Jaora,Ajwan,Spices,0.3,13500,16175,14000,2023-01-05,3.0
41,Ratlam,Jaora,Ajwan,Spices,0.5,15500,16800,16000,2023-01-04,5.0
42,Ratlam,Jaora,Ajwan,Spices,0.1,7500,11400,10000,2022-12-14,1.0
43,Ratlam,Jaora,Ajwan,Spices,0.4,10500,10500,10500,2022-12-07,4.0
44,Ratlam,Jaora,Ajwan,Spices,1.0,8500,8500,8500,2022-11-27,10.0
45,Ratlam,Jaora,Ajwan,Spices,0.1,11000,11600,11200,2022-11-23,1.0
46,Ratlam,Jaora,Ajwan,Spices,0.1,8500,8500,8500,2022-10-11,1.0
47,Ratlam,Jaora,Ajwan,Spices,0.3,9600,10500,10000,2022-10-10,3.0
