Both Price And Arrival from 01-Jan-2018 To 31-Dec-2023 Total Arrival- 289930.26,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,8.5,5800,5850,5820,14-Dec-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,9.9,5800,5850,5820,13-Dec-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,8.5,5800,5820,5810,12-Dec-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,10,5900,6000,5950,29-Nov-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,7,5900,6000,5960,28-Nov-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,8,5900,6020,6000,10-Nov-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,13.4,6000,6100,6050,04-Nov-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,10.2,6050,6100,6080,02-Nov-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,5,6050,6100,6080,01-Nov-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,5.4,5900,6000,5950,30-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,2.8,5750,5800,5800,26-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,7.6,5800,5900,5820,25-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,11.4,5900,5950,5940,13-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,10.3,5900,5950,5940,12-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,11.5,5850,5900,5880,11-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,9.5,5800,5960,5900,10-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,9.4,5700,5810,5800,09-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,3,5800,5800,5800,07-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,7,6000,6020,6010,27-Sep-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,8,6000,6050,6020,26-Sep-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,6.3,6000,6010,6010,22-Sep-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,6.6,6000,6040,6020,08-Sep-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,9.4,6000,6050,6025,07-Sep-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,10.1,6000,6050,6040,06-Sep-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,11.2,5800,5900,5850,01-Sep-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,16.2,5500,5550,5540,24-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,14.2,5000,5550,5540,23-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,13.4,5500,5540,5500,22-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,11.9,5500,5540,5520,21-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,4.9,5050,5060,5060,17-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,4.9,5050,5060,5060,16-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,12.8,5300,5500,5450,14-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,15.6,5300,5340,5320,11-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,11.1,5200,5240,5220,08-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,13.9,5200,5250,5240,07-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Alasande Gram,Pulses,1,5100,5100,5100,04-Aug-23
