,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Arrivals (Quintals)
0,Panna,Ajaygarh,Alasande Gram,Pulses,8.5,5800.0,5850.0,5820.0,2023-12-14,85.0
1,Panna,Ajaygarh,Alasande Gram,Pulses,9.9,5800.0,5850.0,5820.0,2023-12-13,99.0
2,Panna,Ajaygarh,Alasande Gram,Pulses,8.5,5800.0,5820.0,5810.0,2023-12-12,85.0
3,Panna,Ajaygarh,Alasande Gram,Pulses,10.0,5900.0,6000.0,5950.0,2023-11-29,100.0
4,Panna,Ajaygarh,Alasande Gram,Pulses,7.0,5900.0,6000.0,5960.0,2023-11-28,70.0
5,Panna,Ajaygarh,Alasande Gram,Pulses,8.0,5900.0,6020.0,6000.0,2023-11-10,80.0
6,Panna,Ajaygarh,Alasande Gram,Pulses,13.4,6000.0,6100.0,6050.0,2023-11-04,134.0
7,Panna,Ajaygarh,Alasande Gram,Pulses,10.2,6050.0,6100.0,6080.0,2023-11-02,102.0
8,Panna,Ajaygarh,Alasande Gram,Pulses,5.0,6050.0,6100.0,6080.0,2023-11-01,50.0
9,Panna,Ajaygarh,Alasande Gram,Pulses,5.4,5900.0,6000.0,5950.0,2023-10-30,54.0
10,Panna,Ajaygarh,Alasande Gram,Pulses,2.8,5750.0,5800.0,5800.0,2023-10-26,28.0
11,Panna,Ajaygarh,Alasande Gram,Pulses,7.6,5800.0,5900.0,5820.0,2023-10-25,76.0
12,Panna,Ajaygarh,Alasande Gram,Pulses,11.4,5900.0,5950.0,5940.0,2023-10-13,114.0
13,Panna,Ajaygarh,Alasande Gram,Pulses,10.3,5900.0,5950.0,5940.0,2023-10-12,103.0
14,Panna,Ajaygarh,Alasande Gram,Pulses,11.5,5850.0,5900.0,5880.0,2023-10-11,115.0
15,Panna,Ajaygarh,Alasande Gram,Pulses,9.5,5800.0,5960.0,5900.0,2023-10-10,95.0
16,Panna,Ajaygarh,Alasande Gram,Pulses,9.4,5700.0,5810.0,5800.0,2023-10-09,94.0
17,Panna,Ajaygarh,Alasande Gram,Pulses,3.0,5800.0,5800.0,5800.0,2023-10-07,30.0
18,Panna,Ajaygarh,Alasande Gram,Pulses,7.0,6000.0,6020.0,6010.0,2023-09-27,70.0
19,Panna,Ajaygarh,Alasande Gram,Pulses,8.0,6000.0,6050.0,6020.0,2023-09-26,80.0
20,Panna,Ajaygarh,Alasande Gram,Pulses,6.3,6000.0,6010.0,6010.0,2023-09-22,63.0
21,Panna,Ajaygarh,Alasande Gram,Pulses,6.6,6000.0,6040.0,6020.0,2023-09-08,66.0
22,Panna,Ajaygarh,Alasande Gram,Pulses,9.4,6000.0,6050.0,6025.0,2023-09-07,94.0
23,Panna,Ajaygarh,Alasande Gram,Pulses,10.1,6000.0,6050.0,6040.0,2023-09-06,101.0
24,Panna,Ajaygarh,Alasande Gram,Pulses,11.2,5800.0,5900.0,5850.0,2023-09-01,112.0
25,Panna,Ajaygarh,Alasande Gram,Pulses,16.2,5500.0,5550.0,5540.0,2023-08-24,162.0
26,Panna,Ajaygarh,Alasande Gram,Pulses,14.2,5000.0,5550.0,5540.0,2023-08-23,142.0
27,Panna,Ajaygarh,Alasande Gram,Pulses,13.4,5500.0,5540.0,5500.0,2023-08-22,134.0
28,Panna,Ajaygarh,Alasande Gram,Pulses,11.9,5500.0,5540.0,5520.0,2023-08-21,119.0
29,Panna,Ajaygarh,Alasande Gram,Pulses,4.9,5050.0,5060.0,5060.0,2023-08-17,49.0
30,Panna,Ajaygarh,Alasande Gram,Pulses,4.9,5050.0,5060.0,5060.0,2023-08-16,49.0
31,Panna,Ajaygarh,Alasande Gram,Pulses,12.8,5300.0,5500.0,5450.0,2023-08-14,128.0
32,Panna,Ajaygarh,Alasande Gram,Pulses,15.6,5300.0,5340.0,5320.0,2023-08-11,156.0
33,Panna,Ajaygarh,Alasande Gram,Pulses,11.1,5200.0,5240.0,5220.0,2023-08-08,111.0
34,Panna,Ajaygarh,Alasande Gram,Pulses,13.9,5200.0,5250.0,5240.0,2023-08-07,139.0
