Both Price And Arrival from 01-Jan-2018 To 31-Dec-2023 Total Arrival- 39371.06,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Rewa,Baikunthpur,Amla,Fruits,30,6845,6980,6980,05-Dec-23
Madhya Pradesh,Rewa,Baikunthpur,Amla,Fruits,250,2581,2581,2581,04-Dec-23
Madhya Pradesh,Rewa,Baikunthpur,Amla,Fruits,115.8,2200,2201,2201,29-Jul-23
Madhya Pradesh,Rewa,Baikunthpur,Amla,Fruits,2.34,2250,2250,2250,27-Aug-19
Madhya Pradesh,Rewa,Baikunthpur,Amla,Fruits,120,1920,1930,1930,10-Feb-19
Madhya Pradesh,Rewa,Baikunthpur,Amla,Fruits,252.1,1818,1860,1835,02-Jan-19
Madhya Pradesh,Rewa,Baikunthpur,Amla,Fruits,21,3835,4565,4565,14-Nov-18
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1.5,1000,2000,1500,17-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1,1000,3000,2000,13-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,1000,2000,1500,11-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,1000,3000,2000,01-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,4,1000,2000,1500,26-Jun-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,3,1000,1500,1200,22-Mar-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,3.5,1000,1500,1200,17-Mar-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,1000,1500,1200,12-Mar-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,3,1000,1500,1200,06-Mar-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,1000,2000,1500,16-Feb-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,4,1000,1500,1200,19-Jan-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,4,1000,2000,1500,13-Jan-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,3,1000,2500,1500,08-Jan-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,1000,2000,1500,06-Jan-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,3,1000,2000,1500,04-Jan-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,1000,3000,2000,01-Jan-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,3,1000,1500,1200,29-Dec-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,3,1000,1500,1200,27-Dec-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,4,1000,2000,1500,13-Dec-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1,2000,2500,2200,29-Sep-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,0.7,800,1200,1000,31-Dec-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1.2,1000,1500,1200,25-Dec-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1,800,1200,1000,20-Dec-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1.2,1000,1500,1200,10-Dec-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,1000,1500,1200,22-Nov-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,0.5,800,1200,1000,06-Feb-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1,800,1200,1000,03-Feb-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,0.8,1000,1500,1200,01-Feb-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,3.7,1000,1500,1200,30-Jan-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1,1000,1500,1200,29-Jan-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1,1000,1500,1200,28-Jan-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2.8,1000,2000,1500,27-Jan-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1,1000,1500,1200,21-Jan-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1,1000,1500,1200,18-Jan-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,0.9,1000,1500,1200,16-Jan-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,0.9,1000,1500,1200,14-Jan-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,0.6,1000,1500,1200,13-Jan-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1,1000,2000,1500,12-Jan-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1.1,1000,2000,1500,09-Jan-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1,1000,2000,1500,08-Jan-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,2000,3000,2500,07-Jan-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,0.5,2000,3000,2500,06-Jan-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,2000,3000,2500,02-Jan-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,800,2000,1000,30-Dec-18
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,1000,2000,1500,28-Dec-18
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,2,2000,3000,2500,10-Dec-18
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,108.9,2000,4000,3000,10-Oct-18
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1.5,800,1200,1000,28-Jan-18
Madhya Pradesh,Mandla,Bichhiya,Other,Fruits,6.5,2400,2400,2400,27-Dec-22
Madhya Pradesh,Mandla,Bichhiya,Other,Fruits,10,5000,5000,5000,27-Aug-21
Madhya Pradesh,Mandla,Bichhiya,Other,Fruits,69.47,1750,1750,1750,05-May-19
Madhya Pradesh,Mandla,Bichhiya,Other,Fruits,96.9,1750,1750,1750,23-Nov-18
Madhya Pradesh,Mandla,Bichhiya,Other,Fruits,3.15,1550,1550,1550,16-Aug-18
Madhya Pradesh,Dhar,Dhar(F&V),Amla,Fruits,"7,128.00",1100,1100,1100,26-Jan-23
Madhya Pradesh,Dhar,Dhar(F&V),Amla,Fruits,"6,655.00",1052,1052,1052,17-Jan-23
Madhya Pradesh,Dhar,Dhar(F&V),Amla,Fruits,1,3000,3535,3400,03-Nov-22
Madhya Pradesh,Dhar,Dhar(F&V),Amla,Fruits,185,1750,1750,1750,28-Feb-22
Madhya Pradesh,Dhar,Dhar(F&V),Amla,Fruits,"1,432.00",1750,1750,1750,15-Feb-22
Madhya Pradesh,Dhar,Dhar(F&V),Amla,Fruits,"3,417.00",1722,1750,1735,10-Feb-22
Madhya Pradesh,Dhar,Dhar(F&V),Amla,Fruits,1,3000,3000,3000,03-Feb-22
Madhya Pradesh,Dhar,Dhar(F&V),Amla,Fruits,"1,846.00",1650,1750,1700,20-Jan-22
Madhya Pradesh,Dhar,Dhar(F&V),Amla,Fruits,"1,428.00",1650,1650,1650,14-Jan-22
Madhya Pradesh,Dhar,Dhar(F&V),Amla,Fruits,"2,607.00",1500,1650,1575,10-Jan-22
Madhya Pradesh,Seoni,Ghansour,Amla,Fruits,"1,294.00",1410,1510,1460,29-Dec-18
Madhya Pradesh,Seoni,Ghansour,Amla,Fruits,"7,854.00",1735,1735,1735,27-Apr-18
Madhya Pradesh,Seoni,Ghansour,Amla,Fruits,23,3600,3800,3700,07-Mar-18
Madhya Pradesh,Seoni,Lakhnadon,Other,Fruits,10.2,1450,1500,1475,12-Mar-18
Madhya Pradesh,Seoni,Lakhnadon,Other,Fruits,16.2,1450,1500,1475,24-Jan-18
Madhya Pradesh,Seoni,Lakhnadon,Other,Fruits,273,970,1021,990,22-Jan-18
Madhya Pradesh,Seoni,Lakhnadon(F&V),Other,Fruits,44.8,1300,1370,1350,07-Feb-18
Madhya Pradesh,Seoni,Lakhnadon(F&V),Other,Fruits,43.7,950,1000,975,06-Feb-18
Madhya Pradesh,Gwalior,Lashkar(F&V),Amla,Fruits,78,1000,1400,1200,06-Jul-21
Madhya Pradesh,Gwalior,Lashkar(F&V),Amla,Fruits,3,1200,1600,1400,06-Jun-21
Madhya Pradesh,Satna,Mehar,Amla,Fruits,5,6540,6610,6575,07-Dec-23
Madhya Pradesh,Satna,Mehar,Amla,Fruits,12,6200,6550,6375,05-Dec-23
Madhya Pradesh,Satna,Mehar,Amla,Fruits,10.77,5135,5200,5168,02-Nov-23
Madhya Pradesh,Satna,Mehar,Amla,Fruits,6,5300,5300,5300,18-Mar-23
Madhya Pradesh,Satna,Mehar,Amla,Fruits,2.5,5550,5700,5625,06-Jan-23
Madhya Pradesh,Satna,Mehar,Amla,Fruits,2.01,5200,5200,5200,30-Nov-22
Madhya Pradesh,Satna,Mehar,Amla,Fruits,4.01,5200,5200,5200,29-Nov-22
Madhya Pradesh,Satna,Mehar,Amla,Fruits,4.12,5200,5200,5200,28-Nov-22
Madhya Pradesh,Satna,Mehar,Amla,Fruits,5.24,5200,5210,5205,16-Nov-22
Madhya Pradesh,Satna,Mehar,Amla,Fruits,0.8,5200,5200,5200,29-Aug-22
Madhya Pradesh,Satna,Mehar,Amla,Fruits,11.55,6085,6320,6200,25-Jul-22
Madhya Pradesh,Satna,Mehar,Amla,Fruits,6.45,4500,4600,4550,03-Feb-21
Madhya Pradesh,Satna,Mehar,Amla,Fruits,2,4815,4850,4830,29-Apr-20
Madhya Pradesh,Satna,Mehar,Amla,Fruits,2,4775,4800,4788,28-Apr-20
Madhya Pradesh,Satna,Mehar,Amla,Fruits,4,4615,4680,4650,04-Nov-19
Madhya Pradesh,Satna,Mehar,Amla,Fruits,5.96,3711,3716,3711,03-Sep-19
Madhya Pradesh,Satna,Mehar,Amla,Fruits,1.3,3740,3740,3740,18-May-19
Madhya Pradesh,Satna,Mehar,Amla,Fruits,1.94,4790,4790,4790,20-Apr-19
Madhya Pradesh,Satna,Mehar,Amla,Fruits,2.37,4590,4612,4603,12-Mar-19
Madhya Pradesh,Satna,Mehar,Amla,Fruits,2.02,4556,4610,4583,08-Mar-19
Madhya Pradesh,Satna,Mehar,Amla,Fruits,2.98,4480,4542,4500,07-Mar-19
Madhya Pradesh,Satna,Mehar,Amla,Fruits,6,4500,4600,4550,01-Jun-18
Madhya Pradesh,Mandla,Nainpur,Other,Fruits,449,1170,1170,1170,26-Oct-18
Madhya Pradesh,Mandla,Nainpur,Other,Fruits,26.18,1900,1900,1900,12-Mar-18
Madhya Pradesh,Mandla,Nainpur,Other,Fruits,25,1625,1625,1625,20-Feb-18
Madhya Pradesh,Neemuch,Neemuch,Other,Fruits,5.5,3900,9182,8000,19-Dec-23
Madhya Pradesh,Neemuch,Neemuch,Other,Fruits,0.5,2950,2950,2950,18-Dec-23
Madhya Pradesh,Neemuch,Neemuch,Other,Fruits,0.5,2700,8811,8100,16-Dec-23
Madhya Pradesh,Neemuch,Neemuch,Other,Fruits,0.8,2840,8300,8000,15-Dec-23
Madhya Pradesh,Neemuch,Neemuch,Other,Fruits,3.3,2770,8001,7980,14-Dec-23
Madhya Pradesh,Neemuch,Neemuch,Other,Fruits,6,8140,8940,8500,12-Dec-23
Madhya Pradesh,Neemuch,Neemuch,Other,Fruits,4,2952,8700,7200,11-Dec-23
Madhya Pradesh,Neemuch,Neemuch,Other,Fruits,0.7,8400,8500,8450,07-Dec-23
