,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Arrivals (Quintals)
0,Rewa,Baikunthpur,Amla,Fruits,30.0,6845,6980,6980,2023-12-05,300.0
1,Rewa,Baikunthpur,Amla,Fruits,250.0,2581,2581,2581,2023-12-04,2500.0
2,Rewa,Baikunthpur,Amla,Fruits,115.8,2200,2201,2201,2023-07-29,1158.0
3,Rewa,Baikunthpur,Amla,Fruits,2.34,2250,2250,2250,2019-08-27,23.4
4,Rewa,Baikunthpur,Amla,Fruits,120.0,1920,1930,1930,2019-02-10,1200.0
5,Rewa,Baikunthpur,Amla,Fruits,252.1,1818,1860,1835,2019-01-02,2521.0
6,Rewa,Baikunthpur,Amla,Fruits,21.0,3835,4565,4565,2018-11-14,210.0
7,Bhopal,Bhopal(F&V),Other,Fruits,1.5,1000,2000,1500,2023-12-17,15.0
8,Bhopal,Bhopal(F&V),Other,Fruits,1.0,1000,3000,2000,2023-12-13,10.0
9,Bhopal,Bhopal(F&V),Other,Fruits,2.0,1000,2000,1500,2023-12-11,20.0
10,Bhopal,Bhopal(F&V),Other,Fruits,2.0,1000,3000,2000,2023-12-01,20.0
11,Bhopal,Bhopal(F&V),Other,Fruits,4.0,1000,2000,1500,2023-06-26,40.0
12,Bhopal,Bhopal(F&V),Other,Fruits,3.0,1000,1500,1200,2023-03-22,30.0
13,Bhopal,Bhopal(F&V),Other,Fruits,3.5,1000,1500,1200,2023-03-17,35.0
14,Bhopal,Bhopal(F&V),Other,Fruits,2.0,1000,1500,1200,2023-03-12,20.0
15,Bhopal,Bhopal(F&V),Other,Fruits,3.0,1000,1500,1200,2023-03-06,30.0
16,Bhopal,Bhopal(F&V),Other,Fruits,2.0,1000,2000,1500,2023-02-16,20.0
17,Bhopal,Bhopal(F&V),Other,Fruits,4.0,1000,1500,1200,2023-01-19,40.0
18,Bhopal,Bhopal(F&V),Other,Fruits,4.0,1000,2000,1500,2023-01-13,40.0
19,Bhopal,Bhopal(F&V),Other,Fruits,3.0,1000,2500,1500,2023-01-08,30.0
20,Bhopal,Bhopal(F&V),Other,Fruits,2.0,1000,2000,1500,2023-01-06,20.0
21,Bhopal,Bhopal(F&V),Other,Fruits,3.0,1000,2000,1500,2023-01-04,30.0
22,Bhopal,Bhopal(F&V),Other,Fruits,2.0,1000,3000,2000,2023-01-01,20.0
23,Bhopal,Bhopal(F&V),Other,Fruits,3.0,1000,1500,1200,2022-12-29,30.0
24,Bhopal,Bhopal(F&V),Other,Fruits,3.0,1000,1500,1200,2022-12-27,30.0
25,Bhopal,Bhopal(F&V),Other,Fruits,4.0,1000,2000,1500,2022-12-13,40.0
26,Bhopal,Bhopal(F&V),Other,Fruits,1.0,2000,2500,2200,2022-09-29,10.0
27,Bhopal,Bhopal(F&V),Other,Fruits,0.7,800,1200,1000,2019-12-31,7.0
28,Bhopal,Bhopal(F&V),Other,Fruits,1.2,1000,1500,1200,2019-12-25,12.0
29,Bhopal,Bhopal(F&V),Other,Fruits,1.0,800,1200,1000,2019-12-20,10.0
30,Bhopal,Bhopal(F&V),Other,Fruits,1.2,1000,1500,1200,2019-12-10,12.0
31,Bhopal,Bhopal(F&V),Other,Fruits,2.0,1000,1500,1200,2019-11-22,20.0
32,Bhopal,Bhopal(F&V),Other,Fruits,0.5,800,1200,1000,2019-02-06,5.0
33,Bhopal,Bhopal(F&V),Other,Fruits,1.0,800,1200,1000,2019-02-03,10.0
34,Bhopal,Bhopal(F&V),Other,Fruits,0.8,1000,1500,1200,2019-02-01,8.0
35,Bhopal,Bhopal(F&V),Other,Fruits,3.7,1000,1500,1200,2019-01-30,37.0
36,Bhopal,Bhopal(F&V),Other,Fruits,1.0,1000,1500,1200,2019-01-29,10.0
37,Bhopal,Bhopal(F&V),Other,Fruits,1.0,1000,1500,1200,2019-01-28,10.0
38,Bhopal,Bhopal(F&V),Other,Fruits,2.8,1000,2000,1500,2019-01-27,28.0
39,Bhopal,Bhopal(F&V),Other,Fruits,1.0,1000,1500,1200,2019-01-21,10.0
40,Bhopal,Bhopal(F&V),Other,Fruits,1.0,1000,1500,1200,2019-01-18,10.0
41,Bhopal,Bhopal(F&V),Other,Fruits,0.9,1000,1500,1200,2019-01-16,9.0
42,Bhopal,Bhopal(F&V),Other,Fruits,0.9,1000,1500,1200,2019-01-14,9.0
43,Bhopal,Bhopal(F&V),Other,Fruits,0.6,1000,1500,1200,2019-01-13,6.0
44,Bhopal,Bhopal(F&V),Other,Fruits,1.0,1000,2000,1500,2019-01-12,10.0
45,Bhopal,Bhopal(F&V),Other,Fruits,1.1,1000,2000,1500,2019-01-09,11.0
46,Bhopal,Bhopal(F&V),Other,Fruits,1.0,1000,2000,1500,2019-01-08,10.0
47,Bhopal,Bhopal(F&V),Other,Fruits,2.0,2000,3000,2500,2019-01-07,20.0
48,Bhopal,Bhopal(F&V),Other,Fruits,0.5,2000,3000,2500,2019-01-06,5.0
49,Bhopal,Bhopal(F&V),Other,Fruits,2.0,2000,3000,2500,2019-01-02,20.0
50,Bhopal,Bhopal(F&V),Other,Fruits,2.0,800,2000,1000,2018-12-30,20.0
51,Bhopal,Bhopal(F&V),Other,Fruits,2.0,1000,2000,1500,2018-12-28,20.0
52,Bhopal,Bhopal(F&V),Other,Fruits,2.0,2000,3000,2500,2018-12-10,20.0
53,Bhopal,Bhopal(F&V),Other,Fruits,108.9,2000,4000,3000,2018-10-10,1089.0
54,Bhopal,Bhopal(F&V),Other,Fruits,1.5,800,1200,1000,2018-01-28,15.0
55,Mandla,Bichhiya,Other,Fruits,6.5,2400,2400,2400,2022-12-27,65.0
56,Mandla,Bichhiya,Other,Fruits,10.0,5000,5000,5000,2021-08-27,100.0
57,Mandla,Bichhiya,Other,Fruits,69.47,1750,1750,1750,2019-05-05,694.7
