Both Price And Arrival from 01-Jan-2018 To 31-Dec-2023 Total Arrival- 442.70,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,80.5,2000,3000,2500,01-Nov-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,66.5,2000,3000,2500,24-Sep-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,4,3000,5000,4000,12-May-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,80.3,3000,4000,3500,25-Feb-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,51,3000,4000,3500,21-Jan-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,11,600,1000,800,14-Jan-19
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Vegetables,25,2000,4000,3000,06-Nov-18
Madhya Pradesh,Harda,Harda(F&V),Other,Vegetables,0.2,2000,2500,2200,28-Jul-23
Madhya Pradesh,Harda,Harda(F&V),Other,Vegetables,0.3,2000,2500,2300,23-Jul-23
Madhya Pradesh,Harda,Harda(F&V),Other,Vegetables,0.1,2500,3000,2800,21-Jul-23
Madhya Pradesh,Harda,Harda(F&V),Other,Vegetables,0.3,1800,2200,2000,17-Jul-23
Madhya Pradesh,Harda,Harda(F&V),Other,Vegetables,0.3,2000,2500,2200,14-Jul-23
Madhya Pradesh,Harda,Harda(F&V),Other,Vegetables,0.2,1500,2200,2000,12-Jul-23
Madhya Pradesh,Harda,Harda(F&V),Other,Vegetables,0.3,1700,2000,1800,11-Jul-23
Madhya Pradesh,Harda,Harda(F&V),Other,Vegetables,0.5,1300,1500,1400,07-Jul-23
Madhya Pradesh,Harda,Harda(F&V),Other,Vegetables,0.5,1400,1600,1500,25-Jun-23
Madhya Pradesh,Harda,Harda(F&V),Other,Vegetables,0.5,1200,1300,1250,20-Jun-23
Madhya Pradesh,Harda,Harda(F&V),Other,Vegetables,0.5,1000,1200,1100,19-Jun-23
Madhya Pradesh,Harda,Harda(F&V),Other,Vegetables,1.5,900,1000,950,16-Jun-23
Madhya Pradesh,Harda,Harda(F&V),Other,Vegetables,0.5,1050,1200,1100,15-Jun-23
Madhya Pradesh,Harda,Harda(F&V),Other,Vegetables,0.2,1150,1300,1250,10-Jun-23
Madhya Pradesh,Harda,Harda(F&V),Other,Vegetables,0.2,1050,1200,1150,09-Jun-23
Madhya Pradesh,Harda,Harda(F&V),Other,Vegetables,0.5,900,1100,1000,07-Jun-23
