,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Arrivals (Quintals)
0,Bhopal,Bhopal(F&V),Other,Vegetables,80.5,2000,3000,2500,2019-11-01,805.0
1,Bhopal,Bhopal(F&V),Other,Vegetables,66.5,2000,3000,2500,2019-09-24,665.0
2,Bhopal,Bhopal(F&V),Other,Vegetables,4.0,3000,5000,4000,2019-05-12,40.0
3,Bhopal,Bhopal(F&V),Other,Vegetables,80.3,3000,4000,3500,2019-02-25,803.0
4,Bhopal,Bhopal(F&V),Other,Vegetables,51.0,3000,4000,3500,2019-01-21,510.0
5,Bhopal,Bhopal(F&V),Other,Vegetables,11.0,600,1000,800,2019-01-14,110.0
6,Bhopal,Bhopal(F&V),Other,Vegetables,25.0,2000,4000,3000,2018-11-06,250.0
7,Harda,Harda(F&V),Other,Vegetables,0.2,2000,2500,2200,2023-07-28,2.0
8,Harda,Harda(F&V),Other,Vegetables,0.3,2000,2500,2300,2023-07-23,3.0
9,Harda,Harda(F&V),Other,Vegetables,0.1,2500,3000,2800,2023-07-21,1.0
10,Harda,Harda(F&V),Other,Vegetables,0.3,1800,2200,2000,2023-07-17,3.0
11,Harda,Harda(F&V),Other,Vegetables,0.3,2000,2500,2200,2023-07-14,3.0
12,Harda,Harda(F&V),Other,Vegetables,0.2,1500,2200,2000,2023-07-12,2.0
13,Harda,Harda(F&V),Other,Vegetables,0.3,1700,2000,1800,2023-07-11,3.0
14,Harda,Harda(F&V),Other,Vegetables,0.5,1300,1500,1400,2023-07-07,5.0
15,Harda,Harda(F&V),Other,Vegetables,0.5,1400,1600,1500,2023-06-25,5.0
16,Harda,Harda(F&V),Other,Vegetables,0.5,1200,1300,1250,2023-06-20,5.0
17,Harda,Harda(F&V),Other,Vegetables,0.5,1000,1200,1100,2023-06-19,5.0
18,Harda,Harda(F&V),Other,Vegetables,1.5,900,1000,950,2023-06-16,15.0
19,Harda,Harda(F&V),Other,Vegetables,0.5,1050,1200,1100,2023-06-15,5.0
20,Harda,Harda(F&V),Other,Vegetables,0.2,1150,1300,1250,2023-06-10,2.0
21,Harda,Harda(F&V),Other,Vegetables,0.2,1050,1200,1150,2023-06-09,2.0
22,Harda,Harda(F&V),Other,Vegetables,0.5,900,1100,1000,2023-06-07,5.0
23,Harda,Harda(F&V),Other,Vegetables,0.9,1000,1100,1050,2023-06-06,9.0
24,Harda,Harda(F&V),Other,Vegetables,1.0,1100,1300,1200,2023-06-03,10.0
25,Harda,Harda(F&V),Other,Vegetables,0.2,1000,1300,1200,2023-05-25,2.0
26,Harda,Harda(F&V),Other,Vegetables,0.2,800,1000,900,2023-05-21,2.0
27,Harda,Harda(F&V),Other,Vegetables,0.2,1100,1300,1200,2023-05-20,2.0
28,Harda,Harda(F&V),Other,Vegetables,0.3,1000,1200,1100,2023-05-18,3.0
29,Harda,Harda(F&V),Other,Vegetables,0.2,800,1000,900,2023-05-16,2.0
30,Harda,Harda(F&V),Other,Vegetables,0.2,1100,1300,1200,2023-05-15,2.0
31,Harda,Harda(F&V),Other,Vegetables,0.1,1000,1200,1100,2023-05-11,1.0
32,Harda,Harda(F&V),Other,Vegetables,0.3,1100,1300,1200,2023-05-10,3.0
33,Harda,Harda(F&V),Other,Vegetables,0.2,1500,1700,1600,2023-04-05,2.0
34,Harda,Harda(F&V),Other,Vegetables,0.5,900,1000,950,2022-12-30,5.0
35,Harda,Harda(F&V),Other,Vegetables,0.5,900,1100,1000,2022-12-19,5.0
36,Harda,Harda(F&V),Other,Vegetables,0.2,900,1100,1000,2022-12-13,2.0
37,Harda,Harda(F&V),Other,Vegetables,0.2,1000,1200,1100,2022-11-29,2.0
38,Harda,Harda(F&V),Other,Vegetables,0.2,1000,1200,1100,2022-11-19,2.0
39,Harda,Harda(F&V),Other,Vegetables,0.3,1200,1400,1300,2022-11-17,3.0
40,Harda,Harda(F&V),Other,Vegetables,0.3,1300,1500,1400,2022-11-06,3.0
41,Harda,Harda(F&V),Other,Vegetables,0.1,1300,1500,1400,2022-11-05,1.0
42,Harda,Harda(F&V),Other,Vegetables,0.3,1200,1600,1400,2022-10-31,3.0
43,Harda,Harda(F&V),Other,Vegetables,0.2,1500,2000,1800,2022-10-20,2.0
44,Harda,Harda(F&V),Other,Vegetables,0.2,1500,2000,1800,2022-10-17,2.0
45,Harda,Harda(F&V),Other,Vegetables,0.1,1800,2000,1900,2022-10-16,1.0
46,Harda,Harda(F&V),Other,Vegetables,0.2,1200,1400,1300,2022-10-15,2.0
47,Harda,Harda(F&V),Other,Vegetables,0.3,1200,1400,1300,2022-10-07,3.0
48,Harda,Harda(F&V),Other,Vegetables,0.3,1200,1500,1400,2022-10-03,3.0
49,Harda,Harda(F&V),Other,Vegetables,0.2,1400,1600,1500,2022-10-02,2.0
50,Harda,Harda(F&V),Other,Vegetables,0.3,1200,1300,1250,2022-06-15,3.0
51,Harda,Harda(F&V),Other,Vegetables,0.2,1100,1300,1200,2022-06-14,2.0
52,Harda,Harda(F&V),Other,Vegetables,0.3,1200,1400,1300,2022-06-13,3.0
53,Harda,Harda(F&V),Other,Vegetables,0.3,1300,1500,1400,2022-06-09,3.0
54,Harda,Harda(F&V),Other,Vegetables,0.3,1100,1300,1200,2022-06-06,3.0
55,Harda,Harda(F&V),Other,Vegetables,0.3,900,1100,1000,2022-06-05,3.0
56,Harda,Harda(F&V),Other,Vegetables,0.2,900,1000,950,2022-06-04,2.0
57,Harda,Harda(F&V),Other,Vegetables,0.2,1200,1350,1300,2022-05-24,2.0
58,Harda,Harda(F&V),Other,Vegetables,0.2,1250,1350,1300,2022-05-19,2.0
59,Harda,Harda(F&V),Other,Vegetables,0.3,1200,1300,1250,2022-05-18,3.0
60,Harda,Harda(F&V),Other,Vegetables,0.2,1200,1500,1400,2022-04-27,2.0
61,Harda,Harda(F&V),Other,Vegetables,0.2,1000,1200,1100,2022-04-26,2.0
62,Harda,Harda(F&V),Other,Vegetables,0.3,1500,2000,1800,2022-04-11,3.0
63,Harda,Harda(F&V),Other,Vegetables,0.2,1800,2000,1900,2022-04-05,2.0
64,Harda,Harda(F&V),Other,Vegetables,0.2,900,1000,950,2021-11-30,2.0
65,Harda,Harda(F&V),Other,Vegetables,0.2,900,1000,950,2021-11-29,2.0
66,Harda,Harda(F&V),Other,Vegetables,0.2,900,1000,950,2021-11-28,2.0
67,Harda,Harda(F&V),Other,Vegetables,0.2,900,1100,1000,2021-11-26,2.0
68,Harda,Harda(F&V),Other,Vegetables,0.2,1000,1200,1100,2021-11-25,2.0
69,Harda,Harda(F&V),Other,Vegetables,0.3,900,1100,1000,2021-11-24,3.0
70,Harda,Harda(F&V),Other,Vegetables,0.3,900,1400,1200,2021-11-23,3.0
71,Harda,Harda(F&V),Other,Vegetables,0.2,1000,1200,1100,2021-11-20,2.0
72,Harda,Harda(F&V),Other,Vegetables,0.6,1200,1400,1300,2021-11-17,6.0
73,Harda,Harda(F&V),Other,Vegetables,0.2,1000,1200,1100,2021-11-16,2.0
74,Harda,Harda(F&V),Other,Vegetables,0.3,900,1000,950,2021-11-13,3.0
75,Harda,Harda(F&V),Other,Vegetables,0.2,1000,1200,1100,2021-11-08,2.0
76,Harda,Harda(F&V),Other,Vegetables,0.3,1100,1300,1200,2021-11-07,3.0
77,Harda,Harda(F&V),Other,Vegetables,0.3,1300,1500,1400,2021-11-02,3.0
78,Harda,Harda(F&V),Other,Vegetables,0.3,1000,1200,1100,2021-10-31,3.0
79,Harda,Harda(F&V),Other,Vegetables,0.2,1000,1300,1200,2021-10-30,2.0
80,Harda,Harda(F&V),Other,Vegetables,0.3,1100,1300,1200,2021-10-29,3.0
81,Harda,Harda(F&V),Other,Vegetables,0.5,1100,1200,1150,2021-10-25,5.0
82,Harda,Harda(F&V),Other,Vegetables,0.5,1000,1200,1100,2021-10-24,5.0
83,Harda,Harda(F&V),Other,Vegetables,0.2,1100,1300,1200,2021-10-23,2.0
84,Harda,Harda(F&V),Other,Vegetables,0.1,1100,1300,1200,2021-10-22,1.0
85,Harda,Harda(F&V),Other,Vegetables,0.2,1100,1400,1200,2021-10-19,2.0
86,Harda,Harda(F&V),Other,Vegetables,0.2,1000,1200,1100,2021-10-18,2.0
87,Harda,Harda(F&V),Other,Vegetables,0.1,1000,1200,1100,2021-10-13,1.0
88,Harda,Harda(F&V),Other,Vegetables,0.1,1100,1300,1200,2021-10-12,1.0
89,Harda,Harda(F&V),Other,Vegetables,0.5,1000,1200,1100,2021-10-10,5.0
90,Harda,Harda(F&V),Other,Vegetables,0.3,950,1100,1000,2021-10-07,3.0
91,Harda,Harda(F&V),Other,Vegetables,1.2,1000,1100,1050,2021-10-05,12.0
92,Harda,Harda(F&V),Other,Vegetables,0.2,900,1100,1000,2021-10-03,2.0
93,Harda,Harda(F&V),Other,Vegetables,0.2,1000,1400,1300,2021-09-30,2.0
94,Harda,Harda(F&V),Other,Vegetables,0.2,1200,1500,1300,2021-09-28,2.0
95,Harda,Harda(F&V),Other,Vegetables,0.2,800,900,850,2021-09-18,2.0
96,Harda,Harda(F&V),Other,Vegetables,0.3,800,1000,900,2021-09-16,3.0
97,Harda,Harda(F&V),Other,Vegetables,0.6,850,950,900,2021-09-15,6.0
98,Harda,Harda(F&V),Other,Vegetables,0.2,900,1000,950,2021-09-14,2.0
99,Harda,Harda(F&V),Other,Vegetables,0.1,750,850,800,2021-09-12,1.0
100,Harda,Harda(F&V),Other,Vegetables,0.4,700,850,750,2021-09-11,4.0
101,Harda,Harda(F&V),Other,Vegetables,0.4,700,900,850,2021-09-10,4.0
102,Harda,Harda(F&V),Other,Vegetables,0.5,800,1000,900,2021-09-09,5.0
103,Harda,Harda(F&V),Other,Vegetables,0.5,700,850,800,2021-09-08,5.0
