,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Arrivals (Quintals)
0,Shehdol,Beohari,Antawala,Forest Products,30.0,2100,2100,2100,2022-09-18,300.0
1,Dindori,Dindori,Antawala,Forest Products,5.95,5000,5000,5000,2023-12-02,59.5
2,Dindori,Dindori,Antawala,Forest Products,2.56,5000,5000,5000,2023-07-31,25.6
3,Dindori,Dindori,Antawala,Forest Products,3.0,5000,5000,5000,2023-04-06,30.0
4,Dindori,Dindori,Antawala,Forest Products,2.5,6000,6000,6000,2022-12-24,25.0
5,Dindori,Dindori,Antawala,Forest Products,0.6,5000,5000,5000,2022-09-23,6.0
6,Dindori,Dindori,Antawala,Forest Products,8.64,5000,5001,5001,2022-07-19,86.4
7,Dindori,Dindori,Antawala,Forest Products,4.5,3000,3000,3000,2019-04-06,45.0
8,Dindori,Dindori,Antawala,Forest Products,0.5,3000,3000,3000,2019-03-31,5.0
9,Dindori,Dindori,Antawala,Forest Products,18.6,4000,4000,4000,2018-12-31,186.0
10,Dindori,Dindori,Antawala,Forest Products,3.0,5000,5000,5000,2018-10-28,30.0
11,Dindori,Dindori,Antawala,Forest Products,2.5,8000,8000,8000,2018-05-26,25.0
12,Dindori,Dindori,Antawala,Forest Products,4.36,7000,7000,7000,2018-05-11,43.6
13,Dindori,Dindori,Antawala,Forest Products,3.2,6000,6000,6000,2018-04-27,32.0
14,Dindori,Dindori,Antawala,Forest Products,2.29,6000,6000,6000,2018-03-13,22.9
15,Dindori,Dindori,Antawala,Forest Products,2.29,6000,6000,6000,2018-03-12,22.9
16,Dindori,Dindori,Antawala,Forest Products,1.0,8000,8000,8000,2018-02-27,10.0
17,Dindori,Dindori,Antawala,Forest Products,1.47,4000,4000,4000,2018-02-07,14.7
