Both Price And Arrival from 01-Jan-2018 To 31-Dec-2023 Total Arrival- 73195.28,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,17,3000,7000,4000,20-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,18,3000,7000,5000,19-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,17,3000,7000,5000,18-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,30,3000,7000,5000,17-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,26,3000,7000,5000,15-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,16,3000,8000,5000,14-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,27,3000,8000,5000,13-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,36,3000,8000,5000,12-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,18,3000,8000,5000,11-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,8,3000,8000,6000,10-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,33,3000,8000,5000,08-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,9,3000,8000,5000,07-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,16,3000,8000,5500,06-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,14,3000,8000,5000,05-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,6,3000,8000,5300,04-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,26,3000,8000,5000,03-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,7,3000,8000,5000,02-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,23,3000,8000,5000,01-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,4,3000,8000,5000,30-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,7,3000,8000,5000,29-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,4,3000,8000,5000,28-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,7,3000,8000,5000,27-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,7,3000,8000,5000,24-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,16,3000,8000,5000,23-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,9,4000,8000,6000,22-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,31,3000,8000,5000,21-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,12,3000,8000,5000,20-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,22,3000,8000,5000,19-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,6,3000,8000,5000,17-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,3,4000,8000,5000,15-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,7,4000,8000,5500,13-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,4,3000,8000,5000,09-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,8,3000,8000,5000,08-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,21,3000,8000,5000,07-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,6,3000,8000,5500,06-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,50,3000,7000,5000,05-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,24,3000,8000,5000,03-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,13,3000,8000,5000,02-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,11,3000,8000,6000,01-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,14,3000,8000,5000,31-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,6,3000,8000,5500,30-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,52,3000,7000,5000,29-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,35,3000,7000,5000,28-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,72,3000,7000,4500,27-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,77,3000,7000,5000,26-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,49,3000,7000,5000,25-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,37,3000,7000,5000,24-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,28,2000,8000,5000,22-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,11,4000,8000,6000,21-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,45,3000,8000,5000,20-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,51,4000,7000,5500,19-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,46,3000,8000,5000,18-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,82,3000,7000,4500,17-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,51,4000,8000,5500,16-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,85,2000,6000,3000,15-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,10,4000,8000,5000,14-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,93,2000,4000,3000,13-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,53,2000,5000,3000,12-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,26,2000,5000,3000,11-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,28,2000,5000,3000,10-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,35,2000,5000,3000,09-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,49,2000,4000,3000,08-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,31,2000,4000,3000,06-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,24,1000,2000,1500,05-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,27,1000,2000,1500,04-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,8,2000,4000,3000,03-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,15,2000,4000,3000,02-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,17,1000,2000,1500,01-Oct-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,23,2000,4000,3000,29-Sep-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,23,2000,4000,3000,28-Sep-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,35,2000,4000,3000,26-Sep-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,10,2000,5000,3000,25-Sep-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,49,2000,4000,3000,24-Sep-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,6,2000,5000,3000,22-Sep-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,20,2000,4000,3000,21-Sep-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,26,2000,4000,3000,20-Sep-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,36,2000,4000,3000,19-Sep-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,18,2000,4000,3000,18-Sep-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,36,2000,4000,3000,17-Sep-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,9.3,1500,9000,4500,16-Sep-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,24,2000,4000,3000,15-Sep-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,34,2000,4000,3000,14-Sep-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,0.5,2000,5000,3000,13-Sep-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,31,2000,4000,3000,12-Sep-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,14,2000,4000,3000,11-Sep-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,42,2000,4000,3000,10-Sep-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,23,2000,4000,3000,08-Sep-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,7,2000,4000,3000,07-Sep-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,20,2000,4000,3000,06-Sep-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,26,2000,4000,3000,05-Sep-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,1.5,2000,4000,3000,04-Sep-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,19,2000,4000,3000,03-Sep-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,18,2000,4000,3000,01-Sep-23
