,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Arrivals (Quintals)
0,Bhopal,Bhopal(F&V),Other,Fruits,17.0,3000,7000,4000,2023-12-20,170.0
1,Bhopal,Bhopal(F&V),Other,Fruits,18.0,3000,7000,5000,2023-12-19,180.0
2,Bhopal,Bhopal(F&V),Other,Fruits,17.0,3000,7000,5000,2023-12-18,170.0
3,Bhopal,Bhopal(F&V),Other,Fruits,30.0,3000,7000,5000,2023-12-17,300.0
4,Bhopal,Bhopal(F&V),Other,Fruits,26.0,3000,7000,5000,2023-12-15,260.0
5,Bhopal,Bhopal(F&V),Other,Fruits,16.0,3000,8000,5000,2023-12-14,160.0
6,Bhopal,Bhopal(F&V),Other,Fruits,27.0,3000,8000,5000,2023-12-13,270.0
7,Bhopal,Bhopal(F&V),Other,Fruits,36.0,3000,8000,5000,2023-12-12,360.0
8,Bhopal,Bhopal(F&V),Other,Fruits,18.0,3000,8000,5000,2023-12-11,180.0
9,Bhopal,Bhopal(F&V),Other,Fruits,8.0,3000,8000,6000,2023-12-10,80.0
10,Bhopal,Bhopal(F&V),Other,Fruits,33.0,3000,8000,5000,2023-12-08,330.0
11,Bhopal,Bhopal(F&V),Other,Fruits,9.0,3000,8000,5000,2023-12-07,90.0
12,Bhopal,Bhopal(F&V),Other,Fruits,16.0,3000,8000,5500,2023-12-06,160.0
13,Bhopal,Bhopal(F&V),Other,Fruits,14.0,3000,8000,5000,2023-12-05,140.0
14,Bhopal,Bhopal(F&V),Other,Fruits,6.0,3000,8000,5300,2023-12-04,60.0
15,Bhopal,Bhopal(F&V),Other,Fruits,26.0,3000,8000,5000,2023-12-03,260.0
16,Bhopal,Bhopal(F&V),Other,Fruits,7.0,3000,8000,5000,2023-12-02,70.0
17,Bhopal,Bhopal(F&V),Other,Fruits,23.0,3000,8000,5000,2023-12-01,230.0
18,Bhopal,Bhopal(F&V),Other,Fruits,4.0,3000,8000,5000,2023-11-30,40.0
19,Bhopal,Bhopal(F&V),Other,Fruits,7.0,3000,8000,5000,2023-11-29,70.0
20,Bhopal,Bhopal(F&V),Other,Fruits,4.0,3000,8000,5000,2023-11-28,40.0
21,Bhopal,Bhopal(F&V),Other,Fruits,7.0,3000,8000,5000,2023-11-27,70.0
22,Bhopal,Bhopal(F&V),Other,Fruits,7.0,3000,8000,5000,2023-11-24,70.0
23,Bhopal,Bhopal(F&V),Other,Fruits,16.0,3000,8000,5000,2023-11-23,160.0
24,Bhopal,Bhopal(F&V),Other,Fruits,9.0,4000,8000,6000,2023-11-22,90.0
25,Bhopal,Bhopal(F&V),Other,Fruits,31.0,3000,8000,5000,2023-11-21,310.0
26,Bhopal,Bhopal(F&V),Other,Fruits,12.0,3000,8000,5000,2023-11-20,120.0
27,Bhopal,Bhopal(F&V),Other,Fruits,22.0,3000,8000,5000,2023-11-19,220.0
28,Bhopal,Bhopal(F&V),Other,Fruits,6.0,3000,8000,5000,2023-11-17,60.0
29,Bhopal,Bhopal(F&V),Other,Fruits,3.0,4000,8000,5000,2023-11-15,30.0
30,Bhopal,Bhopal(F&V),Other,Fruits,7.0,4000,8000,5500,2023-11-13,70.0
31,Bhopal,Bhopal(F&V),Other,Fruits,4.0,3000,8000,5000,2023-11-09,40.0
32,Bhopal,Bhopal(F&V),Other,Fruits,8.0,3000,8000,5000,2023-11-08,80.0
33,Bhopal,Bhopal(F&V),Other,Fruits,21.0,3000,8000,5000,2023-11-07,210.0
34,Bhopal,Bhopal(F&V),Other,Fruits,6.0,3000,8000,5500,2023-11-06,60.0
35,Bhopal,Bhopal(F&V),Other,Fruits,50.0,3000,7000,5000,2023-11-05,500.0
36,Bhopal,Bhopal(F&V),Other,Fruits,24.0,3000,8000,5000,2023-11-03,240.0
37,Bhopal,Bhopal(F&V),Other,Fruits,13.0,3000,8000,5000,2023-11-02,130.0
38,Bhopal,Bhopal(F&V),Other,Fruits,11.0,3000,8000,6000,2023-11-01,110.0
39,Bhopal,Bhopal(F&V),Other,Fruits,14.0,3000,8000,5000,2023-10-31,140.0
40,Bhopal,Bhopal(F&V),Other,Fruits,6.0,3000,8000,5500,2023-10-30,60.0
41,Bhopal,Bhopal(F&V),Other,Fruits,52.0,3000,7000,5000,2023-10-29,520.0
42,Bhopal,Bhopal(F&V),Other,Fruits,35.0,3000,7000,5000,2023-10-28,350.0
43,Bhopal,Bhopal(F&V),Other,Fruits,72.0,3000,7000,4500,2023-10-27,720.0
44,Bhopal,Bhopal(F&V),Other,Fruits,77.0,3000,7000,5000,2023-10-26,770.0
45,Bhopal,Bhopal(F&V),Other,Fruits,49.0,3000,7000,5000,2023-10-25,490.0
46,Bhopal,Bhopal(F&V),Other,Fruits,37.0,3000,7000,5000,2023-10-24,370.0
47,Bhopal,Bhopal(F&V),Other,Fruits,28.0,2000,8000,5000,2023-10-22,280.0
48,Bhopal,Bhopal(F&V),Other,Fruits,11.0,4000,8000,6000,2023-10-21,110.0
49,Bhopal,Bhopal(F&V),Other,Fruits,45.0,3000,8000,5000,2023-10-20,450.0
50,Bhopal,Bhopal(F&V),Other,Fruits,51.0,4000,7000,5500,2023-10-19,510.0
51,Bhopal,Bhopal(F&V),Other,Fruits,46.0,3000,8000,5000,2023-10-18,460.0
52,Bhopal,Bhopal(F&V),Other,Fruits,82.0,3000,7000,4500,2023-10-17,820.0
53,Bhopal,Bhopal(F&V),Other,Fruits,51.0,4000,8000,5500,2023-10-16,510.0
54,Bhopal,Bhopal(F&V),Other,Fruits,85.0,2000,6000,3000,2023-10-15,850.0
55,Bhopal,Bhopal(F&V),Other,Fruits,10.0,4000,8000,5000,2023-10-14,100.0
56,Bhopal,Bhopal(F&V),Other,Fruits,93.0,2000,4000,3000,2023-10-13,930.0
57,Bhopal,Bhopal(F&V),Other,Fruits,53.0,2000,5000,3000,2023-10-12,530.0
58,Bhopal,Bhopal(F&V),Other,Fruits,26.0,2000,5000,3000,2023-10-11,260.0
59,Bhopal,Bhopal(F&V),Other,Fruits,28.0,2000,5000,3000,2023-10-10,280.0
60,Bhopal,Bhopal(F&V),Other,Fruits,35.0,2000,5000,3000,2023-10-09,350.0
61,Bhopal,Bhopal(F&V),Other,Fruits,49.0,2000,4000,3000,2023-10-08,490.0
62,Bhopal,Bhopal(F&V),Other,Fruits,31.0,2000,4000,3000,2023-10-06,310.0
63,Bhopal,Bhopal(F&V),Other,Fruits,24.0,1000,2000,1500,2023-10-05,240.0
64,Bhopal,Bhopal(F&V),Other,Fruits,27.0,1000,2000,1500,2023-10-04,270.0
65,Bhopal,Bhopal(F&V),Other,Fruits,8.0,2000,4000,3000,2023-10-03,80.0
66,Bhopal,Bhopal(F&V),Other,Fruits,15.0,2000,4000,3000,2023-10-02,150.0
67,Bhopal,Bhopal(F&V),Other,Fruits,17.0,1000,2000,1500,2023-10-01,170.0
68,Bhopal,Bhopal(F&V),Other,Fruits,23.0,2000,4000,3000,2023-09-29,230.0
69,Bhopal,Bhopal(F&V),Other,Fruits,23.0,2000,4000,3000,2023-09-28,230.0
70,Bhopal,Bhopal(F&V),Other,Fruits,35.0,2000,4000,3000,2023-09-26,350.0
71,Bhopal,Bhopal(F&V),Other,Fruits,10.0,2000,5000,3000,2023-09-25,100.0
72,Bhopal,Bhopal(F&V),Other,Fruits,49.0,2000,4000,3000,2023-09-24,490.0
73,Bhopal,Bhopal(F&V),Other,Fruits,6.0,2000,5000,3000,2023-09-22,60.0
74,Bhopal,Bhopal(F&V),Other,Fruits,20.0,2000,4000,3000,2023-09-21,200.0
75,Bhopal,Bhopal(F&V),Other,Fruits,26.0,2000,4000,3000,2023-09-20,260.0
76,Bhopal,Bhopal(F&V),Other,Fruits,36.0,2000,4000,3000,2023-09-19,360.0
77,Bhopal,Bhopal(F&V),Other,Fruits,18.0,2000,4000,3000,2023-09-18,180.0
78,Bhopal,Bhopal(F&V),Other,Fruits,36.0,2000,4000,3000,2023-09-17,360.0
79,Bhopal,Bhopal(F&V),Other,Fruits,9.3,1500,9000,4500,2023-09-16,93.0
80,Bhopal,Bhopal(F&V),Other,Fruits,24.0,2000,4000,3000,2023-09-15,240.0
81,Bhopal,Bhopal(F&V),Other,Fruits,34.0,2000,4000,3000,2023-09-14,340.0
82,Bhopal,Bhopal(F&V),Other,Fruits,0.5,2000,5000,3000,2023-09-13,5.0
83,Bhopal,Bhopal(F&V),Other,Fruits,31.0,2000,4000,3000,2023-09-12,310.0
84,Bhopal,Bhopal(F&V),Other,Fruits,14.0,2000,4000,3000,2023-09-11,140.0
85,Bhopal,Bhopal(F&V),Other,Fruits,42.0,2000,4000,3000,2023-09-10,420.0
86,Bhopal,Bhopal(F&V),Other,Fruits,23.0,2000,4000,3000,2023-09-08,230.0
87,Bhopal,Bhopal(F&V),Other,Fruits,7.0,2000,4000,3000,2023-09-07,70.0
88,Bhopal,Bhopal(F&V),Other,Fruits,20.0,2000,4000,3000,2023-09-06,200.0
89,Bhopal,Bhopal(F&V),Other,Fruits,26.0,2000,4000,3000,2023-09-05,260.0
90,Bhopal,Bhopal(F&V),Other,Fruits,1.5,2000,4000,3000,2023-09-04,15.0
91,Bhopal,Bhopal(F&V),Other,Fruits,19.0,2000,4000,3000,2023-09-03,190.0
92,Bhopal,Bhopal(F&V),Other,Fruits,18.0,2000,4000,3000,2023-09-01,180.0
93,Bhopal,Bhopal(F&V),Other,Fruits,38.0,2000,4000,3000,2023-08-31,380.0
