Both Price And Arrival from 01-Jan-2018 To 31-Dec-2023 Total Arrival- 5379.59,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Haryana,Ambala,Ambala City(Subji Mandi),Apricot(Jardalu/Khumani),Fruits,0.6,5270,6300,5800,20-Jun-23
Haryana,Ambala,Ambala City(Subji Mandi),Apricot(Jardalu/Khumani),Fruits,0.8,6180,6695,6300,18-Jun-23
Haryana,Ambala,Ambala City(Subji Mandi),Apricot(Jardalu/Khumani),Fruits,0.8,4500,5500,5000,16-Jun-23
Haryana,Ambala,Ambala City(Subji Mandi),Apricot(Jardalu/Khumani),Fruits,0.6,4000,5325,4790,15-Jun-23
Haryana,Ambala,Ambala City(Subji Mandi),Apricot(Jardalu/Khumani),Fruits,0.8,5605,6980,5710,14-Jun-23
Haryana,Ambala,Ambala City(Subji Mandi),Apricot(Jardalu/Khumani),Fruits,1.4,5300,6310,6000,13-Jun-23
Haryana,Ambala,Ambala City(Subji Mandi),Apricot(Jardalu/Khumani),Fruits,0.8,6390,7040,6600,06-Jun-23
Haryana,Ambala,Ambala City(Subji Mandi),Apricot(Jardalu/Khumani),Fruits,0.15,8750,9350,9050,25-Jul-22
Haryana,Ambala,Ambala City(Subji Mandi),Apricot(Jardalu/Khumani),Fruits,0.13,8250,8750,8550,22-Jul-22
Haryana,Ambala,Ambala City(Subji Mandi),Apricot(Jardalu/Khumani),Fruits,0.3,8500,9500,9000,20-Jul-22
Haryana,Ambala,Ambala City(Subji Mandi),Apricot(Jardalu/Khumani),Fruits,0.2,8000,9000,8500,19-Jul-22
Haryana,Ambala,Ambala City(Subji Mandi),Apricot(Jardalu/Khumani),Fruits,0.3,7500,8500,8000,18-Jul-22
Haryana,Ambala,Ambala City(Subji Mandi),Apricot(Jardalu/Khumani),Fruits,0.2,6000,8000,7500,16-Jul-22
Haryana,Ambala,Ambala City(Subji Mandi),Apricot(Jardalu/Khumani),Fruits,0.3,6000,7000,6500,14-Jul-22
Haryana,Ambala,Ambala City(Subji Mandi),Apricot(Jardalu/Khumani),Fruits,0.45,2350,2450,2400,09-Jul-22
Haryana,Ambala,Ambala City(Subji Mandi),Apricot(Jardalu/Khumani),Fruits,0.7,3250,3650,3450,08-Jul-22
Haryana,Sirsa,Dabwali,Apricot(Jardalu/Khumani),Fruits,0.25,10000,10000,10000,18-Aug-23
Haryana,Sirsa,Dabwali,Apricot(Jardalu/Khumani),Fruits,1,8000,8000,8000,17-Aug-23
Haryana,Sirsa,Dabwali,Apricot(Jardalu/Khumani),Fruits,1.03,10000,22000,15000,15-Aug-23
Haryana,Sirsa,Dabwali,Apricot(Jardalu/Khumani),Fruits,1,10000,24750,10000,12-Aug-23
Haryana,Sirsa,Dabwali,Apricot(Jardalu/Khumani),Fruits,0.5,8000,8000,8000,10-Aug-23
Haryana,Sirsa,Dabwali,Apricot(Jardalu/Khumani),Fruits,0.1,22440,22440,22440,09-Aug-23
Haryana,Sirsa,Dabwali,Apricot(Jardalu/Khumani),Fruits,0.1,22430,22430,22430,08-Aug-23
Haryana,Sirsa,Dabwali,Apricot(Jardalu/Khumani),Fruits,0.4,12075,12075,12075,07-Aug-23
Haryana,Sirsa,Dabwali,Apricot(Jardalu/Khumani),Fruits,0.4,14278,14278,14278,04-Aug-23
Haryana,Sirsa,Dabwali,Apricot(Jardalu/Khumani),Fruits,1,15510,15510,15510,03-Aug-23
Haryana,Faridabad,Faridabad,Apricot(Jardalu/Khumani),Fruits,0.2,2800,3000,2900,22-Jun-23
Haryana,Faridabad,Faridabad,Apricot(Jardalu/Khumani),Fruits,1.5,2500,3000,2750,19-Jun-23
Haryana,Faridabad,Faridabad,Apricot(Jardalu/Khumani),Fruits,0.5,6000,8000,7000,17-Jun-23
Haryana,Fatehabad,Fatehabad,Other,Fruits,0.4,3000,5000,4000,24-Jun-20
Haryana,Fatehabad,Fatehabad,Other,Fruits,0.4,3000,5000,4000,23-Jun-20
Haryana,Fatehabad,Fatehabad,Other,Fruits,0.3,3000,5000,4000,22-Jun-20
Haryana,Fatehabad,Fatehabad,Other,Fruits,0.4,3000,5000,4000,20-Jun-20
