,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Arrivals (Quintals)
0,Ambala,Ambala City(Subji Mandi),Apricot(Jardalu/Khumani),Fruits,0.6,5270,6300,5800,2023-06-20,6.0
1,Ambala,Ambala City(Subji Mandi),Apricot(Jardalu/Khumani),Fruits,0.8,6180,6695,6300,2023-06-18,8.0
2,Ambala,Ambala City(Subji Mandi),Apricot(Jardalu/Khumani),Fruits,0.8,4500,5500,5000,2023-06-16,8.0
3,Ambala,Ambala City(Subji Mandi),Apricot(Jardalu/Khumani),Fruits,0.6,4000,5325,4790,2023-06-15,6.0
4,Ambala,Ambala City(Subji Mandi),Apricot(Jardalu/Khumani),Fruits,0.8,5605,6980,5710,2023-06-14,8.0
5,Ambala,Ambala City(Subji Mandi),Apricot(Jardalu/Khumani),Fruits,1.4,5300,6310,6000,2023-06-13,14.0
6,Ambala,Ambala City(Subji Mandi),Apricot(Jardalu/Khumani),Fruits,0.8,6390,7040,6600,2023-06-06,8.0
7,Ambala,Ambala City(Subji Mandi),Apricot(Jardalu/Khumani),Fruits,0.15,8750,9350,9050,2022-07-25,1.5
8,Ambala,Ambala City(Subji Mandi),Apricot(Jardalu/Khumani),Fruits,0.13,8250,8750,8550,2022-07-22,1.3
9,Ambala,Ambala City(Subji Mandi),Apricot(Jardalu/Khumani),Fruits,0.3,8500,9500,9000,2022-07-20,3.0
10,Ambala,Ambala City(Subji Mandi),Apricot(Jardalu/Khumani),Fruits,0.2,8000,9000,8500,2022-07-19,2.0
11,Ambala,Ambala City(Subji Mandi),Apricot(Jardalu/Khumani),Fruits,0.3,7500,8500,8000,2022-07-18,3.0
12,Ambala,Ambala City(Subji Mandi),Apricot(Jardalu/Khumani),Fruits,0.2,6000,8000,7500,2022-07-16,2.0
13,Ambala,Ambala City(Subji Mandi),Apricot(Jardalu/Khumani),Fruits,0.3,6000,7000,6500,2022-07-14,3.0
14,Ambala,Ambala City(Subji Mandi),Apricot(Jardalu/Khumani),Fruits,0.45,2350,2450,2400,2022-07-09,4.5
