,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Arrivals (Quintals)
0,Bhind,Alampur,Other,Cereals,31.0,2100,2300,2200,2023-12-18,310.0
1,Bhind,Alampur,Other,Cereals,16.0,2000,2300,2200,2023-12-15,160.0
2,Bhind,Alampur,Other,Cereals,2.0,2100,2300,2200,2023-12-13,20.0
3,Bhind,Alampur,Other,Cereals,30.0,1900,2300,2100,2023-12-08,300.0
4,Bhind,Alampur,Other,Cereals,30.0,2000,2200,2100,2023-12-05,300.0
5,Bhind,Alampur,Other,Cereals,32.0,2000,2200,2100,2023-11-27,320.0
6,Bhind,Alampur,Other,Cereals,32.0,1900,2200,2100,2023-11-25,320.0
7,Bhind,Alampur,Other,Cereals,1.0,2000,2200,2100,2023-11-24,10.0
8,Bhind,Alampur,Other,Cereals,150.0,1950,2200,2150,2023-11-20,1500.0
9,Bhind,Alampur,Other,Cereals,30.0,2000,2200,2100,2023-11-08,300.0
10,Bhind,Alampur,Other,Cereals,30.0,2000,2200,2100,2023-11-06,300.0
11,Bhind,Alampur,Other,Cereals,30.0,2050,2150,2100,2023-11-03,300.0
12,Bhind,Alampur,Other,Cereals,30.0,2000,2150,2100,2023-11-01,300.0
13,Bhind,Alampur,Other,Cereals,25.0,2050,2150,2100,2023-10-31,250.0
14,Bhind,Alampur,Other,Cereals,7.0,1750,1920,1880,2023-10-30,70.0
15,Bhind,Alampur,Other,Cereals,20.0,1800,1900,1850,2023-10-28,200.0
16,Bhind,Alampur,Other,Cereals,30.0,1800,2000,1900,2023-10-27,300.0
17,Bhind,Alampur,Other,Cereals,37.0,1750,1850,1800,2023-10-20,370.0
18,Bhind,Alampur,Other,Cereals,80.0,2300,2380,2350,2023-09-02,800.0
19,Bhind,Alampur,Other,Cereals,173.0,2000,2090,2050,2023-04-26,1730.0
20,Bhind,Alampur,Other,Cereals,8.0,1850,1900,1890,2023-04-01,80.0
21,Bhind,Alampur,Other,Cereals,22.0,1800,1900,1850,2023-01-13,220.0
22,Bhind,Alampur,Other,Cereals,5.0,1750,1900,1800,2022-12-24,50.0
23,Bhind,Alampur,Other,Cereals,30.0,1800,1900,1850,2022-12-21,300.0
24,Bhind,Alampur,Other,Cereals,2.5,1790,1890,1800,2022-12-17,25.0
25,Bhind,Alampur,Other,Cereals,29.5,1700,1800,1750,2022-12-13,295.0
26,Bhind,Alampur,Other,Cereals,63.0,1700,1850,1800,2022-12-03,630.0
27,Bhind,Alampur,Other,Cereals,28.0,1700,1900,1800,2022-11-28,280.0
28,Bhind,Alampur,Other,Cereals,20.0,1700,1900,1800,2022-11-25,200.0
29,Bhind,Alampur,Other,Cereals,30.0,1600,1800,1700,2022-11-18,300.0
30,Bhind,Alampur,Other,Cereals,37.5,1600,1800,1700,2022-11-16,375.0
31,Bhind,Alampur,Other,Cereals,26.0,1600,1850,1700,2022-11-14,260.0
32,Bhind,Alampur,Other,Cereals,10.0,1500,1800,1700,2022-11-12,100.0
33,Bhind,Alampur,Other,Cereals,25.0,1400,1600,1500,2022-11-08,250.0
34,Bhind,Alampur,Other,Cereals,30.0,1450,1590,1500,2022-11-07,300.0
35,Bhind,Alampur,Other,Cereals,0.1,1400,1430,1420,2022-11-03,1.0
36,Bhind,Alampur,Other,Cereals,75.0,1400,1470,1450,2022-11-02,750.0
37,Bhind,Alampur,Other,Cereals,6.0,2100,2185,2120,2022-07-25,60.0
38,Bhind,Alampur,Other,Cereals,6.0,1800,1981,1900,2022-04-02,60.0
39,Bhind,Alampur,Other,Cereals,9.0,1880,1930,1900,2022-02-09,90.0
40,Bhind,Alampur,Other,Cereals,30.0,1400,1550,1450,2022-01-11,300.0
41,Bhind,Alampur,Other,Cereals,2.0,1400,1600,1500,2022-01-05,20.0
42,Bhind,Alampur,Other,Cereals,50.0,1400,1620,1500,2022-01-04,500.0
43,Bhind,Alampur,Other,Cereals,10.0,1400,1610,1500,2021-12-30,100.0
44,Bhind,Alampur,Other,Cereals,11.0,1200,1450,1300,2021-12-28,110.0
45,Bhind,Alampur,Other,Cereals,19.0,1500,1650,1600,2021-12-27,190.0
46,Bhind,Alampur,Other,Cereals,60.0,1800,1810,1805,2021-08-26,600.0
47,Bhind,Alampur,Other,Cereals,21.5,2090,2640,2200,2021-01-21,215.0
48,Bhind,Alampur,Other,Cereals,10.0,1990,2550,2200,2020-12-28,100.0
49,Bhind,Alampur,Other,Cereals,26.0,1770,2350,2000,2020-11-30,260.0
50,Bhind,Alampur,Other,Cereals,1.0,1500,1600,1520,2020-01-30,10.0
51,Bhind,Alampur,Other,Cereals,7.8,1500,1600,1550,2020-01-29,78.0
52,Bhind,Alampur,Other,Cereals,0.1,1970,1999,1995,2019-12-19,1.0
53,Bhind,Alampur,Other,Cereals,30.8,1650,1700,1690,2019-12-13,308.0
54,Bhind,Alampur,Other,Cereals,9.7,1600,1750,1650,2019-12-02,97.0
55,Bhind,Alampur,Other,Cereals,20.0,1600,1750,1700,2019-12-01,200.0
56,Bhind,Alampur,Other,Cereals,26.5,1600,1750,1650,2019-11-28,265.0
57,Bhind,Alampur,Other,Cereals,2.0,1700,1759,1750,2019-11-27,20.0
58,Bhind,Alampur,Other,Cereals,3.0,1600,1700,1650,2019-11-25,30.0
