Both Price And Arrival from 01-Jan-2018 To 31-Dec-2023 Total Arrival- 2667134.70,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Khargone,Badwaha,Amruthapani,Fruits,0.1,800,1600,1200,15-Jul-22
Madhya Pradesh,Khargone,Badwaha,Amruthapani,Fruits,0.5,1100,1435,1200,31-Aug-21
Madhya Pradesh,Khargone,Badwaha,Amruthapani,Fruits,0.3,1215,1505,1400,30-Aug-21
Madhya Pradesh,Khargone,Badwaha,Amruthapani,Fruits,0.7,1150,1465,1340,28-Aug-21
Madhya Pradesh,Khargone,Badwaha,Amruthapani,Fruits,0.4,1125,1360,1235,27-Aug-21
Madhya Pradesh,Khargone,Badwaha,Amruthapani,Fruits,0.4,1150,1360,1235,26-Aug-21
Madhya Pradesh,Khargone,Badwaha,Amruthapani,Fruits,0.5,1200,1400,1310,25-Aug-21
Madhya Pradesh,Khargone,Badwaha,Amruthapani,Fruits,0.4,1175,1420,1305,24-Aug-21
Madhya Pradesh,Khargone,Badwaha,Amruthapani,Fruits,0.4,1210,1520,1300,23-Aug-21
Madhya Pradesh,Khargone,Badwaha,Amruthapani,Fruits,0.5,1180,1350,1230,22-Aug-21
Madhya Pradesh,Khargone,Badwaha,Amruthapani,Fruits,0.4,1020,1275,1100,30-Jul-21
Madhya Pradesh,Khargone,Badwaha,Amruthapani,Fruits,0.2,1150,1350,1215,27-Jul-21
Madhya Pradesh,Khargone,Badwaha,Amruthapani,Fruits,0.4,1000,1700,1500,21-Jul-21
Madhya Pradesh,Khargone,Badwaha,Amruthapani,Fruits,0.3,900,1600,1000,20-Jul-21
Madhya Pradesh,Khargone,Badwaha,Amruthapani,Fruits,0.5,1260,1680,1400,16-Jul-21
Madhya Pradesh,Khargone,Badwaha,Amruthapani,Fruits,0.2,1025,1650,1200,15-Jul-21
Madhya Pradesh,Khargone,Badwaha,Amruthapani,Fruits,0.4,920,1575,950,09-Jul-21
Madhya Pradesh,Khargone,Badwaha,Amruthapani,Fruits,0.4,1170,1550,1325,08-Jul-21
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,10,1000,2000,1500,20-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,3,1000,2000,1500,19-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,10,1000,2000,1500,18-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,10,1000,2000,1500,17-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,5,1000,2000,1500,16-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,3,1000,2000,1500,14-Dec-23
