,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Arrivals (Quintals)
0,Chhatarpur,Badamalhera,Beans (Whole),Pulses,203.0,4850,5000,5000,2022-08-05,2030.0
1,Chhatarpur,Badamalhera,Beans (Whole),Pulses,627.0,4804,5370,5330,2022-07-10,6270.0
2,Chhatarpur,Badamalhera,Beans (Whole),Pulses,301.0,5400,5420,5405,2022-07-02,3010.0
3,Chhatarpur,Badamalhera,Beans (Whole),Pulses,307.0,5370,5395,5395,2022-06-29,3070.0
4,Chhatarpur,Badamalhera,Beans (Whole),Pulses,306.0,5335,5355,5350,2022-06-24,3060.0
5,Chhatarpur,Badamalhera,Beans (Whole),Pulses,528.0,5450,5510,5490,2022-06-18,5280.0
6,Chhatarpur,Badamalhera,Beans (Whole),Pulses,351.0,4800,5500,5100,2022-06-17,3510.0
7,Badwani,Badwani,Beans (Whole),Pulses,0.14,2600,2600,2600,2023-12-19,1.4000000000000001
8,Badwani,Badwani,Beans (Whole),Pulses,0.25,2500,2500,2500,2023-12-18,2.5
9,Badwani,Badwani,Beans (Whole),Pulses,0.08,3000,3000,3000,2023-12-16,0.8
10,Badwani,Badwani,Beans (Whole),Pulses,0.22,1900,1900,1900,2023-12-15,2.2
11,Badwani,Badwani,Beans (Whole),Pulses,0.17,2500,2500,2500,2023-12-14,1.7000000000000002
12,Badwani,Badwani,Beans (Whole),Pulses,0.16,2300,2300,2300,2023-12-13,1.6
13,Badwani,Badwani,Beans (Whole),Pulses,0.15,2800,2800,2800,2023-12-09,1.5
14,Badwani,Badwani,Beans (Whole),Pulses,0.14,2200,2200,2200,2023-12-07,1.4000000000000001
15,Badwani,Badwani,Beans (Whole),Pulses,0.23,1900,1900,1900,2023-12-06,2.3000000000000003
16,Badwani,Badwani,Beans (Whole),Pulses,0.22,1700,1700,1700,2023-12-05,2.2
17,Badwani,Badwani,Beans (Whole),Pulses,0.07,2600,2600,2600,2023-12-04,0.7000000000000001
18,Badwani,Badwani,Beans (Whole),Pulses,0.33,1550,1550,1550,2023-12-03,3.3000000000000003
19,Badwani,Badwani,Beans (Whole),Pulses,0.21,1700,1700,1700,2023-12-02,2.1
20,Badwani,Badwani,Beans (Whole),Pulses,0.32,1800,1800,1800,2023-11-30,3.2
21,Badwani,Badwani,Beans (Whole),Pulses,0.28,1500,1500,1500,2023-11-29,2.8000000000000003
22,Badwani,Badwani,Beans (Whole),Pulses,0.14,1800,1800,1800,2023-11-26,1.4000000000000001
23,Badwani,Badwani,Beans (Whole),Pulses,0.3,2400,2400,2400,2023-11-24,3.0
24,Badwani,Badwani,Beans (Whole),Pulses,0.13,2200,2200,2200,2023-11-23,1.3
25,Badwani,Badwani,Beans (Whole),Pulses,0.11,2700,2700,2700,2023-11-22,1.1
26,Badwani,Badwani,Beans (Whole),Pulses,0.25,3300,3300,3300,2023-11-21,2.5
27,Badwani,Badwani,Beans (Whole),Pulses,0.19,2500,2500,2500,2023-11-20,1.9
28,Badwani,Badwani,Beans (Whole),Pulses,0.11,2300,2300,2300,2023-11-19,1.1
29,Badwani,Badwani,Beans (Whole),Pulses,0.11,2100,2100,2100,2023-11-18,1.1
30,Badwani,Badwani,Beans (Whole),Pulses,0.11,2200,2200,2200,2023-11-17,1.1
31,Badwani,Badwani,Beans (Whole),Pulses,0.06,3500,3500,3500,2023-11-16,0.6
32,Badwani,Badwani,Beans (Whole),Pulses,0.11,2100,2100,2100,2023-11-12,1.1
33,Badwani,Badwani,Beans (Whole),Pulses,0.07,4100,4100,4100,2023-11-10,0.7000000000000001
34,Badwani,Badwani,Beans (Whole),Pulses,0.16,2500,2500,2500,2023-11-09,1.6
35,Badwani,Badwani,Beans (Whole),Pulses,0.14,2800,2800,2800,2023-11-08,1.4000000000000001
36,Badwani,Badwani,Beans (Whole),Pulses,0.11,2500,2500,2500,2023-11-07,1.1
37,Badwani,Badwani,Beans (Whole),Pulses,0.17,2200,2200,2200,2023-11-06,1.7000000000000002
38,Badwani,Badwani,Beans (Whole),Pulses,0.14,3100,3100,3100,2023-11-05,1.4000000000000001
39,Badwani,Badwani,Beans (Whole),Pulses,0.11,3100,3100,3100,2023-11-04,1.1
40,Badwani,Badwani,Beans (Whole),Pulses,0.12,2600,2600,2600,2023-11-03,1.2
41,Badwani,Badwani,Beans (Whole),Pulses,0.06,2800,2800,2800,2023-11-02,0.6
42,Badwani,Badwani,Beans (Whole),Pulses,0.07,2800,2800,2800,2023-11-01,0.7000000000000001
43,Badwani,Badwani,Beans (Whole),Pulses,0.06,3500,3500,3500,2023-10-31,0.6
44,Badwani,Badwani,Beans (Whole),Pulses,0.14,3000,3000,3000,2023-10-30,1.4000000000000001
45,Badwani,Badwani,Beans (Whole),Pulses,0.1,2800,2800,2800,2023-10-29,1.0
46,Badwani,Badwani,Beans (Whole),Pulses,0.08,3500,3500,3500,2023-10-28,0.8
47,Badwani,Badwani,Beans (Whole),Pulses,0.08,3300,3300,3300,2023-10-27,0.8
48,Badwani,Badwani,Beans (Whole),Pulses,0.18,2200,2200,2200,2023-10-26,1.7999999999999998
49,Badwani,Badwani,Beans (Whole),Pulses,0.08,2600,2600,2600,2023-10-24,0.8
50,Badwani,Badwani,Beans (Whole),Pulses,0.1,2100,2100,2100,2023-10-21,1.0
51,Badwani,Badwani,Beans (Whole),Pulses,0.11,2300,2300,2300,2023-10-18,1.1
52,Badwani,Badwani,Beans (Whole),Pulses,0.11,2100,2100,2100,2023-10-16,1.1
53,Badwani,Badwani,Beans (Whole),Pulses,0.11,2500,2500,2500,2023-10-15,1.1
54,Badwani,Badwani,Beans (Whole),Pulses,0.09,1900,1900,1900,2023-10-14,0.8999999999999999
55,Badwani,Badwani,Beans (Whole),Pulses,0.11,2000,2000,2000,2023-10-12,1.1
56,Badwani,Badwani,Beans (Whole),Pulses,0.18,2600,2600,2600,2023-10-11,1.7999999999999998
57,Badwani,Badwani,Beans (Whole),Pulses,0.06,2800,2800,2800,2023-10-09,0.6
58,Badwani,Badwani,Beans (Whole),Pulses,0.33,1900,1900,1900,2023-10-08,3.3000000000000003
59,Badwani,Badwani,Beans (Whole),Pulses,0.11,1900,1900,1900,2023-10-07,1.1
60,Badwani,Badwani,Beans (Whole),Pulses,0.07,2100,2100,2100,2023-10-06,0.7000000000000001
61,Badwani,Badwani,Beans (Whole),Pulses,0.08,2500,2500,2500,2023-10-03,0.8
62,Badwani,Badwani,Beans (Whole),Pulses,0.1,1900,1900,1900,2023-09-29,1.0
63,Badwani,Badwani,Beans (Whole),Pulses,0.07,2400,2400,2400,2023-09-28,0.7000000000000001
64,Badwani,Badwani,Beans (Whole),Pulses,0.05,3000,3000,3000,2023-09-27,0.5
65,Badwani,Badwani,Beans (Whole),Pulses,0.09,2200,2200,2200,2023-09-26,0.8999999999999999
