,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Arrivals (Quintals)
0,Alirajpur,Alirajpur,Other,Cereals,3.0,1000,1000,1000,2023-05-01,30.0
1,Alirajpur,Alirajpur,Other,Cereals,8.2,1200,1200,1200,2019-11-17,82.0
2,Alirajpur,Alirajpur,Other,Cereals,5.0,1400,1400,1400,2019-05-02,50.0
3,Alirajpur,Alirajpur,Other,Cereals,3.6,900,1000,950,2018-06-24,36.0
4,Alirajpur,Jobat,Other,Cereals,5.0,1100,1400,1200,2019-07-20,50.0
5,Alirajpur,Jobat,Other,Cereals,2.0,1000,1200,1100,2019-05-10,20.0
6,Alirajpur,Jobat,Other,Cereals,2.0,1000,1200,1100,2019-05-08,20.0
7,Alirajpur,Jobat,Other,Cereals,1.5,1100,1300,1200,2019-04-26,15.0
8,Alirajpur,Jobat,Other,Cereals,2.0,1000,1200,1100,2019-04-18,20.0
9,Alirajpur,Jobat,Other,Cereals,0.7,1000,1200,1100,2019-04-11,7.0
10,Alirajpur,Jobat,Other,Cereals,1.2,1100,1300,1200,2019-04-08,12.0
11,Alirajpur,Jobat,Other,Cereals,2.5,1000,1000,1000,2018-11-23,25.0
12,Alirajpur,Jobat,Other,Cereals,1.5,1000,1000,1000,2018-11-15,15.0
13,Alirajpur,Jobat,Other,Cereals,1.5,800,1000,900,2018-11-05,15.0
14,Alirajpur,Jobat,Other,Cereals,1.0,900,1000,950,2018-11-03,10.0
15,Alirajpur,Jobat,Other,Cereals,10.0,1000,1100,1050,2018-10-30,100.0
16,Alirajpur,Jobat,Other,Cereals,2.2,1000,1000,1000,2018-10-29,22.0
17,Alirajpur,Jobat,Other,Cereals,1.0,1000,1000,1000,2018-10-27,10.0
18,Alirajpur,Jobat,Other,Cereals,2.5,1000,1000,1000,2018-10-26,25.0
19,Alirajpur,Jobat,Other,Cereals,1.2,1000,1000,1000,2018-10-21,12.0
20,Alirajpur,Jobat,Other,Cereals,1.0,1000,1200,1100,2018-10-15,10.0
21,Alirajpur,Jobat,Other,Cereals,2.0,1000,1200,1100,2018-07-30,20.0
22,Alirajpur,Jobat,Other,Cereals,1.4,950,1000,1000,2018-07-16,14.0
23,Alirajpur,Jobat,Other,Cereals,1.4,1000,1200,1100,2018-06-11,14.0
24,Alirajpur,Jobat,Other,Cereals,1.1,1100,1300,1200,2018-03-19,11.0
25,Alirajpur,Jobat,Other,Cereals,1.0,1000,1200,1100,2018-01-25,10.0
26,Alirajpur,Jobat,Other,Cereals,4.0,900,1100,1000,2018-01-03,40.0
27,Ujjain,Unhel,Beaten Rice,Cereals,3.0,1840,1840,1840,2019-06-08,30.0
28,Ujjain,Unhel,Beaten Rice,Cereals,2356.0,2727,3381,3238,2018-12-19,23560.0
29,Ujjain,Unhel,Beaten Rice,Cereals,15.0,3852,3852,3852,2018-11-16,150.0
