,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Arrivals (Quintals)
0,Betul,Betul,Beetroot,Vegetables,0.1,1000,1200,1100,2018-01-25,1.0
1,Bhopal,Bhopal(F&V),Other,Vegetables,6.0,800,1200,1000,2023-12-15,60.0
2,Bhopal,Bhopal(F&V),Other,Vegetables,10.0,1000,1500,1200,2023-12-12,100.0
3,Bhopal,Bhopal(F&V),Other,Vegetables,6.5,800,1500,1000,2023-12-11,65.0
4,Bhopal,Bhopal(F&V),Other,Vegetables,1.0,1000,1500,1200,2023-12-10,10.0
5,Bhopal,Bhopal(F&V),Other,Vegetables,2.0,800,1500,1200,2023-12-08,20.0
6,Bhopal,Bhopal(F&V),Other,Vegetables,9.5,800,1500,1200,2023-12-05,95.0
7,Bhopal,Bhopal(F&V),Other,Vegetables,5.0,600,1200,800,2023-12-02,50.0
8,Bhopal,Bhopal(F&V),Other,Vegetables,8.0,1000,1500,1200,2023-11-30,80.0
9,Bhopal,Bhopal(F&V),Other,Vegetables,6.0,1000,1800,1300,2023-11-28,60.0
10,Bhopal,Bhopal(F&V),Other,Vegetables,5.0,1000,2000,1400,2023-11-27,50.0
11,Bhopal,Bhopal(F&V),Other,Vegetables,15.0,700,1200,1000,2023-11-24,150.0
12,Bhopal,Bhopal(F&V),Other,Vegetables,1.0,1000,2000,1500,2023-11-21,10.0
13,Bhopal,Bhopal(F&V),Other,Vegetables,39.0,600,1500,1000,2023-11-20,390.0
14,Bhopal,Bhopal(F&V),Other,Vegetables,18.0,800,1500,1000,2023-11-19,180.0
15,Bhopal,Bhopal(F&V),Other,Vegetables,8.0,1000,1500,1200,2023-11-17,80.0
16,Bhopal,Bhopal(F&V),Other,Vegetables,11.0,1000,2000,1500,2023-11-15,110.0
17,Bhopal,Bhopal(F&V),Other,Vegetables,10.0,1000,2000,1500,2023-11-06,100.0
18,Bhopal,Bhopal(F&V),Other,Vegetables,7.0,1000,1500,1200,2023-11-05,70.0
19,Bhopal,Bhopal(F&V),Other,Vegetables,6.0,1000,2000,1500,2023-11-04,60.0
20,Bhopal,Bhopal(F&V),Other,Vegetables,14.0,1000,1500,1000,2023-11-02,140.0
21,Bhopal,Bhopal(F&V),Other,Vegetables,9.0,1000,2000,1500,2023-11-01,90.0
22,Bhopal,Bhopal(F&V),Other,Vegetables,0.8,1000,2000,1500,2023-10-31,8.0
23,Bhopal,Bhopal(F&V),Other,Vegetables,18.0,1000,2000,1500,2023-10-29,180.0
24,Bhopal,Bhopal(F&V),Other,Vegetables,9.0,1000,2000,1500,2023-10-26,90.0
25,Bhopal,Bhopal(F&V),Other,Vegetables,12.0,1000,2000,1700,2023-10-21,120.0
26,Bhopal,Bhopal(F&V),Other,Vegetables,15.0,1000,2000,1500,2023-10-20,150.0
27,Bhopal,Bhopal(F&V),Other,Vegetables,12.0,1000,1800,1500,2023-10-18,120.0
28,Bhopal,Bhopal(F&V),Other,Vegetables,17.0,1000,2000,1500,2023-10-17,170.0
29,Bhopal,Bhopal(F&V),Other,Vegetables,10.0,1000,2000,1500,2023-10-16,100.0
30,Bhopal,Bhopal(F&V),Other,Vegetables,2.0,1000,1500,1200,2023-10-15,20.0
31,Bhopal,Bhopal(F&V),Other,Vegetables,6.0,1000,1500,1200,2023-10-12,60.0
32,Bhopal,Bhopal(F&V),Other,Vegetables,10.0,1000,1500,1200,2023-10-10,100.0
33,Bhopal,Bhopal(F&V),Other,Vegetables,6.0,1000,1800,1400,2023-10-07,60.0
34,Bhopal,Bhopal(F&V),Other,Vegetables,17.0,1000,1500,1200,2023-10-04,170.0
35,Bhopal,Bhopal(F&V),Other,Vegetables,7.0,1000,1500,1200,2023-10-03,70.0
