Both Price And Arrival from 01-Jan-2018 To 09-Apr-2024 Total Arrival- 116703.70,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Badwani,Anjad,Bengal Gram (Split),Pulses,5,4000,4000,4000,03-Oct-23
Madhya Pradesh,Badwani,Anjad,Bengal Gram (Split),Pulses,27,4500,6000,6000,26-Sep-23
Madhya Pradesh,Khargone,Badwaha,Bengal Gram (Split),Pulses,0.4,3100,3400,3400,28-Oct-18
Madhya Pradesh,Chhatarpur,Bakswaha,Bengal Gram (Split),Pulses,22,3200,3300,3250,17-Sep-18
Madhya Pradesh,Chhatarpur,Bakswaha,Bengal Gram (Split),Pulses,14,3250,3350,3300,13-Sep-18
Madhya Pradesh,Chhatarpur,Bakswaha,Bengal Gram (Split),Pulses,6,3200,3300,3250,11-Sep-18
Madhya Pradesh,Chhatarpur,Bakswaha,Bengal Gram (Split),Pulses,21,3400,3500,3450,01-Aug-18
Madhya Pradesh,Chhatarpur,Bakswaha,Bengal Gram (Split),Pulses,15,3450,3500,3475,18-Jul-18
Madhya Pradesh,Seoni,Chhpara,Bengal Gram (Split),Pulses,50,4080,4310,4195,17-Aug-21
Madhya Pradesh,Seoni,Chhpara,Bengal Gram (Split),Pulses,28,4300,4300,4300,12-Mar-21
Madhya Pradesh,Seoni,Chhpara,Bengal Gram (Split),Pulses,30,3480,3480,3480,19-Aug-20
Madhya Pradesh,Seoni,Chhpara,Bengal Gram (Split),Pulses,5,3600,3600,3600,09-Jul-20
Madhya Pradesh,Seoni,Chhpara,Bengal Gram (Split),Pulses,5,3600,3600,3600,08-Jul-20
Madhya Pradesh,Seoni,Chhpara,Bengal Gram (Split),Pulses,210,3510,3600,3555,21-Apr-20
Madhya Pradesh,Seoni,Chhpara,Bengal Gram (Split),Pulses,105,3800,4000,3900,17-Apr-20
Madhya Pradesh,Seoni,Chhpara,Bengal Gram (Split),Pulses,24,4620,4620,4620,04-Nov-19
Madhya Pradesh,Seoni,Chhpara,Bengal Gram (Split),Pulses,48,4000,4000,4000,04-Oct-19
Madhya Pradesh,Seoni,Chhpara,Bengal Gram (Split),Pulses,20,3745,3745,3745,22-Aug-19
Madhya Pradesh,Seoni,Chhpara,Bengal Gram (Split),Pulses,88,3704,3740,3722,20-Aug-19
Madhya Pradesh,Seoni,Chhpara,Bengal Gram (Split),Pulses,236,3600,3810,3705,13-Aug-19
Madhya Pradesh,Seoni,Chhpara,Bengal Gram (Split),Pulses,95,3725,3800,3762,23-Jul-19
Madhya Pradesh,Seoni,Chhpara,Bengal Gram (Split),Pulses,130,3800,3825,3812,10-Apr-19
Madhya Pradesh,Seoni,Chhpara,Bengal Gram (Split),Pulses,135,3800,3825,3805,03-Apr-19
Madhya Pradesh,Datia,Datia,Bengal Gram (Split),Pulses,2,3975,3975,3975,01-Jul-20
Madhya Pradesh,Datia,Datia,Bengal Gram (Split),Pulses,2,4035,4035,4035,30-Jun-20
Madhya Pradesh,Datia,Datia,Bengal Gram (Split),Pulses,2,3960,3960,3960,25-Jun-20
Madhya Pradesh,Datia,Datia,Bengal Gram (Split),Pulses,20,4135,4150,4140,24-Jun-20
Madhya Pradesh,Datia,Datia,Bengal Gram (Split),Pulses,25,4090,4120,4100,22-Jun-20
Madhya Pradesh,Datia,Datia,Bengal Gram (Split),Pulses,6,3950,4020,3980,19-Jun-20
Madhya Pradesh,Datia,Datia,Bengal Gram (Split),Pulses,6,4030,4030,4030,18-Jun-20
Madhya Pradesh,Datia,Datia,Bengal Gram (Split),Pulses,7,4000,4000,4000,17-Jun-20
Madhya Pradesh,Datia,Datia,Bengal Gram (Split),Pulses,38,3800,3975,3900,16-Jun-20
Madhya Pradesh,Datia,Datia,Bengal Gram (Split),Pulses,8,3810,3965,3900,15-Jun-20
Madhya Pradesh,Datia,Datia,Bengal Gram (Split),Pulses,3,3900,3900,3900,11-Jun-20
Madhya Pradesh,Datia,Datia,Bengal Gram (Split),Pulses,35,3770,3850,3840,10-Jun-20
Madhya Pradesh,Datia,Datia,Bengal Gram (Split),Pulses,23,3870,3935,3900,09-Jun-20
Madhya Pradesh,Datia,Datia,Desi (F.A.Q. Split),Pulses,5,3775,3775,3775,05-Feb-19
Madhya Pradesh,Rewa,Hanumana,Bengal Gram (Split),Pulses,101,3500,3700,3600,20-Jun-20
Madhya Pradesh,Rewa,Hanumana,Bengal Gram Dal,Pulses,323,3700,4000,3800,31-Oct-19
Madhya Pradesh,Rewa,Hanumana,Bengal Gram (Split),Pulses,171,2700,2900,2800,03-Nov-18
Madhya Pradesh,Rewa,Hanumana,Bengal Gram Dal,Pulses,102,2800,3000,2900,04-Oct-18
Madhya Pradesh,Sagar,Jaisinagar,Desi (F.A.Q. Split),Pulses,15.72,4800,4850,4825,21-Jul-23
Madhya Pradesh,Sagar,Jaisinagar,Desi (F.A.Q. Split),Pulses,11.83,4800,4800,4800,20-Jul-23
Madhya Pradesh,Sagar,Jaisinagar,Desi (F.A.Q. Split),Pulses,15.21,4800,4850,4825,17-Jul-23
Madhya Pradesh,Sagar,Jaisinagar,Desi (F.A.Q. Split),Pulses,1,4520,4520,4520,17-Apr-23
Madhya Pradesh,Sagar,Jaisinagar,Desi (F.A.Q. Split),Pulses,1.5,4795,4795,4795,13-Apr-23
Madhya Pradesh,Sagar,Jaisinagar,Desi (F.A.Q. Split),Pulses,3,4800,4800,4800,30-Mar-23
Madhya Pradesh,Sagar,Jaisinagar,Desi (F.A.Q. Split),Pulses,4.1,4725,4750,4745,10-Mar-23
Madhya Pradesh,Sagar,Jaisinagar,Desi (F.A.Q. Split),Pulses,4.1,4725,4750,4745,09-Mar-23
Madhya Pradesh,Sagar,Jaisinagar,Desi (F.A.Q. Split),Pulses,14.6,4500,4600,4550,17-Feb-23
Madhya Pradesh,Sagar,Jaisinagar,Desi (F.A.Q. Split),Pulses,12.8,4500,4610,4550,16-Feb-23
