,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Arrivals (Quintals)
0,Badwani,Anjad,Bengal Gram (Split),Pulses,5.0,4000,4000,4000,2023-10-03,50.0
1,Badwani,Anjad,Bengal Gram (Split),Pulses,27.0,4500,6000,6000,2023-09-26,270.0
2,Khargone,Badwaha,Bengal Gram (Split),Pulses,0.4,3100,3400,3400,2018-10-28,4.0
3,Chhatarpur,Bakswaha,Bengal Gram (Split),Pulses,22.0,3200,3300,3250,2018-09-17,220.0
4,Chhatarpur,Bakswaha,Bengal Gram (Split),Pulses,14.0,3250,3350,3300,2018-09-13,140.0
5,Chhatarpur,Bakswaha,Bengal Gram (Split),Pulses,6.0,3200,3300,3250,2018-09-11,60.0
6,Chhatarpur,Bakswaha,Bengal Gram (Split),Pulses,21.0,3400,3500,3450,2018-08-01,210.0
7,Chhatarpur,Bakswaha,Bengal Gram (Split),Pulses,15.0,3450,3500,3475,2018-07-18,150.0
8,Seoni,Chhpara,Bengal Gram (Split),Pulses,50.0,4080,4310,4195,2021-08-17,500.0
9,Seoni,Chhpara,Bengal Gram (Split),Pulses,28.0,4300,4300,4300,2021-03-12,280.0
10,Seoni,Chhpara,Bengal Gram (Split),Pulses,30.0,3480,3480,3480,2020-08-19,300.0
11,Seoni,Chhpara,Bengal Gram (Split),Pulses,5.0,3600,3600,3600,2020-07-09,50.0
12,Seoni,Chhpara,Bengal Gram (Split),Pulses,5.0,3600,3600,3600,2020-07-08,50.0
13,Seoni,Chhpara,Bengal Gram (Split),Pulses,210.0,3510,3600,3555,2020-04-21,2100.0
14,Seoni,Chhpara,Bengal Gram (Split),Pulses,105.0,3800,4000,3900,2020-04-17,1050.0
15,Seoni,Chhpara,Bengal Gram (Split),Pulses,24.0,4620,4620,4620,2019-11-04,240.0
16,Seoni,Chhpara,Bengal Gram (Split),Pulses,48.0,4000,4000,4000,2019-10-04,480.0
17,Seoni,Chhpara,Bengal Gram (Split),Pulses,20.0,3745,3745,3745,2019-08-22,200.0
18,Seoni,Chhpara,Bengal Gram (Split),Pulses,88.0,3704,3740,3722,2019-08-20,880.0
