Both Price And Arrival from 01-Jan-2018 To 31-Dec-2023 Total Arrival- 297.58,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Bhopal,Bhopal(F&V),Ber(Zizyphus),Fruits,1,1000,2000,1500,04-Feb-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Ber(Zizyphus),Fruits,1.5,1000,1500,1200,23-Jan-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Ber(Zizyphus),Fruits,2,1200,2000,1500,20-Jan-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Ber(Zizyphus),Fruits,0.5,1000,1500,1200,16-Feb-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Ber(Zizyphus),Fruits,2,1000,1500,1200,02-Feb-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Ber(Zizyphus),Fruits,2,1000,1800,1300,01-Feb-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Ber(Zizyphus),Fruits,1,1000,2000,1400,30-Jan-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Ber(Zizyphus),Fruits,1,1500,2500,1700,04-Jan-22
Madhya Pradesh,Bhopal,Bhopal(F&V),Ber(Zizyphus),Fruits,1,1000,1500,1200,24-Feb-21
Madhya Pradesh,Bhopal,Bhopal(F&V),Ber(Zizyphus),Fruits,1,1000,2000,1500,16-Feb-21
Madhya Pradesh,Bhopal,Bhopal(F&V),Ber(Zizyphus),Fruits,7.5,1200,2000,1500,24-Jan-21
Madhya Pradesh,Bhopal,Bhopal(F&V),Ber(Zizyphus),Fruits,1.5,1200,2000,1500,19-Jan-21
Madhya Pradesh,Guna,Guna(F&V),Ber(Zizyphus),Fruits,0.1,900,1200,1000,31-Jan-20
Madhya Pradesh,Guna,Guna(F&V),Ber(Zizyphus),Fruits,0.1,700,1000,800,29-Jan-20
Madhya Pradesh,Guna,Guna(F&V),Ber(Zizyphus),Fruits,0.1,650,1100,800,28-Jan-20
Madhya Pradesh,Guna,Guna(F&V),Ber(Zizyphus),Fruits,0.1,800,1200,1100,27-Jan-20
Madhya Pradesh,Guna,Guna(F&V),Ber(Zizyphus),Fruits,0.1,950,1100,1000,25-Jan-20
Madhya Pradesh,Guna,Guna(F&V),Ber(Zizyphus),Fruits,0.1,1000,1200,1000,24-Jan-20
Madhya Pradesh,Guna,Guna(F&V),Ber(Zizyphus),Fruits,0.1,900,1200,1200,23-Jan-20
Madhya Pradesh,Guna,Guna(F&V),Ber(Zizyphus),Fruits,0.1,1000,1200,1200,22-Jan-20
Madhya Pradesh,Guna,Guna(F&V),Ber(Zizyphus),Fruits,0.2,950,1160,950,21-Jan-20
Madhya Pradesh,Guna,Guna(F&V),Ber(Zizyphus),Fruits,0.3,800,1100,1000,20-Jan-20
Madhya Pradesh,Guna,Guna(F&V),Ber(Zizyphus),Fruits,0.1,950,1200,1100,18-Jan-20
Madhya Pradesh,Guna,Guna(F&V),Ber(Zizyphus),Fruits,0.1,600,1000,800,17-Jan-20
Madhya Pradesh,Guna,Guna(F&V),Ber(Zizyphus),Fruits,0.1,1000,1400,1200,15-Jan-20
Madhya Pradesh,Guna,Guna(F&V),Ber(Zizyphus),Fruits,0.1,1200,1500,1400,14-Jan-20
Madhya Pradesh,Guna,Guna(F&V),Ber(Zizyphus),Fruits,0.2,1200,1500,1300,13-Jan-20
Madhya Pradesh,Harda,Harda(F&V),Ber(Zizyphus),Fruits,0.2,1200,1400,1300,19-Feb-20
Madhya Pradesh,Harda,Harda(F&V),Ber(Zizyphus),Fruits,0.1,1500,1700,1600,07-Jan-20
Madhya Pradesh,Jhabua,Jhabua,Ber(Zizyphus),Fruits,14.5,500,650,575,26-Jul-22
Madhya Pradesh,Jhabua,Jhabua,Ber(Zizyphus),Fruits,20,500,511,506,24-Jun-22
Madhya Pradesh,Jhabua,Jhabua,Ber(Zizyphus),Fruits,20,500,501,501,11-May-22
Madhya Pradesh,Jhabua,Jhabua,Ber(Zizyphus),Fruits,18,500,525,513,22-Dec-21
Madhya Pradesh,Jhabua,Jhabua,Ber(Zizyphus),Fruits,1.5,400,400,400,23-Sep-21
Madhya Pradesh,Jhabua,Jhabua,Ber(Zizyphus),Fruits,22,400,400,400,21-Sep-21
Madhya Pradesh,Jhabua,Jhabua,Ber(Zizyphus),Fruits,24,400,400,400,25-Aug-21
Madhya Pradesh,Jhabua,Jhabua,Other,Fruits,25,400,400,400,10-Aug-21
Madhya Pradesh,Katni,Katni(F&V),Other,Fruits,0.2,1500,1500,1500,19-Dec-23
Madhya Pradesh,Katni,Katni(F&V),Other,Fruits,0.3,1000,1800,1000,18-Dec-23
Madhya Pradesh,Katni,Katni(F&V),Other,Fruits,0.15,2000,2000,2000,15-Dec-23
Madhya Pradesh,Katni,Katni(F&V),Other,Fruits,0.3,1000,1100,1100,13-Dec-23
Madhya Pradesh,Sheopur,Syopurkalan(F&V),Ber(Zizyphus),Fruits,0.2,3000,3500,3200,17-Dec-23
Madhya Pradesh,Sheopur,Syopurkalan(F&V),Ber(Zizyphus),Fruits,0.1,3500,4000,3800,14-Dec-23
Madhya Pradesh,Sheopur,Syopurkalan(F&V),Ber(Zizyphus),Fruits,0.2,4000,4500,4200,11-Mar-23
Madhya Pradesh,Sheopur,Syopurkalan(F&V),Ber(Zizyphus),Fruits,0.1,4000,4000,4000,27-Feb-23
Madhya Pradesh,Sheopur,Syopurkalan(F&V),Ber(Zizyphus),Fruits,0.2,4000,4500,4200,25-Feb-23
Madhya Pradesh,Sheopur,Syopurkalan(F&V),Ber(Zizyphus),Fruits,0.5,2000,2500,2300,11-Feb-23
Madhya Pradesh,Sheopur,Syopurkalan(F&V),Ber(Zizyphus),Fruits,0.5,1500,1800,1600,29-Jan-23
Madhya Pradesh,Sheopur,Syopurkalan(F&V),Ber(Zizyphus),Fruits,0.2,2500,3000,2800,24-Jan-23
Madhya Pradesh,Sheopur,Syopurkalan(F&V),Ber(Zizyphus),Fruits,0.2,4000,4000,4000,15-Jan-23
Madhya Pradesh,Sheopur,Syopurkalan(F&V),Ber(Zizyphus),Fruits,0.2,3000,3500,3200,09-Feb-22
Madhya Pradesh,Sheopur,Syopurkalan(F&V),Ber(Zizyphus),Fruits,0.5,2200,2500,2400,23-Jan-21
Madhya Pradesh,Sheopur,Syopurkalan(F&V),Ber(Zizyphus),Fruits,0.5,1500,2000,1800,22-Jan-21
Madhya Pradesh,Sheopur,Syopurkalan(F&V),Ber(Zizyphus),Fruits,0.2,1200,1400,1250,14-Jan-21
Madhya Pradesh,Sheopur,Syopurkalan(F&V),Ber(Zizyphus),Fruits,0.5,1200,1300,1250,12-Jan-21
Madhya Pradesh,Sheopur,Syopurkalan(F&V),Ber(Zizyphus),Fruits,0.3,2000,2500,2400,07-Jan-21
Madhya Pradesh,Sheopur,Syopurkalan(F&V),Ber(Zizyphus),Fruits,0.3,1500,1600,1550,30-Nov-20
Madhya Pradesh,Sheopur,Syopurkalan(F&V),Ber(Zizyphus),Fruits,0.4,1000,1200,1100,29-Jan-20
Madhya Pradesh,Sheopur,Syopurkalan(F&V),Ber(Zizyphus),Fruits,0.3,800,1000,900,25-Jan-20
Madhya Pradesh,Sheopur,Syopurkalan(F&V),Ber(Zizyphus),Fruits,0.2,1400,1500,1450,24-Jan-20
Madhya Pradesh,Sheopur,Syopurkalan(F&V),Ber(Zizyphus),Fruits,0.5,1800,2000,1900,23-Jan-20
Madhya Pradesh,Sheopur,Syopurkalan(F&V),Ber(Zizyphus),Fruits,0.1,800,1000,900,17-Jan-20
Madhya Pradesh,Sheopur,Syopurkalan(F&V),Ber(Zizyphus),Fruits,0.2,1500,1600,1550,14-Jan-20
Madhya Pradesh,Sheopur,Syopurkalan(F&V),Ber(Zizyphus),Fruits,0.2,1500,1600,1550,13-Jan-20
Madhya Pradesh,Sheopur,Syopurkalan(F&V),Ber(Zizyphus),Fruits,0.4,900,1000,950,12-Jan-20
Madhya Pradesh,Sheopur,Syopurkalan(F&V),Ber(Zizyphus),Fruits,0.3,1000,1300,1150,11-Jan-20
Madhya Pradesh,Ujjain,Ujjain(F&V),Ber(Zizyphus),Fruits,0.22,1009,1009,1009,18-Feb-23
Madhya Pradesh,Ujjain,Ujjain(F&V),Ber(Zizyphus),Fruits,0.8,1800,2500,2250,16-Feb-23
Madhya Pradesh,Ujjain,Ujjain(F&V),Ber(Zizyphus),Fruits,0.8,1800,3500,3158,13-Feb-23
Madhya Pradesh,Ujjain,Ujjain(F&V),Ber(Zizyphus),Fruits,0.21,1750,1750,1750,09-Feb-23
Madhya Pradesh,Ujjain,Ujjain(F&V),Ber(Zizyphus),Fruits,0.18,3000,3000,3000,08-Feb-23
Madhya Pradesh,Ujjain,Ujjain(F&V),Ber(Zizyphus),Fruits,0.28,2500,3000,2857,07-Feb-23
Madhya Pradesh,Ujjain,Ujjain(F&V),Ber(Zizyphus),Fruits,0.06,3000,3000,3000,03-Feb-23
Madhya Pradesh,Ujjain,Ujjain(F&V),Ber(Zizyphus),Fruits,0.36,2200,3000,2417,02-Feb-23
