,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Arrivals (Quintals)
0,Bhopal,Bhopal(F&V),Ber(Zizyphus),Fruits,1.0,1000,2000,1500,2023-02-04,10.0
1,Bhopal,Bhopal(F&V),Ber(Zizyphus),Fruits,1.5,1000,1500,1200,2023-01-23,15.0
2,Bhopal,Bhopal(F&V),Ber(Zizyphus),Fruits,2.0,1200,2000,1500,2023-01-20,20.0
3,Bhopal,Bhopal(F&V),Ber(Zizyphus),Fruits,0.5,1000,1500,1200,2022-02-16,5.0
4,Bhopal,Bhopal(F&V),Ber(Zizyphus),Fruits,2.0,1000,1500,1200,2022-02-02,20.0
5,Bhopal,Bhopal(F&V),Ber(Zizyphus),Fruits,2.0,1000,1800,1300,2022-02-01,20.0
6,Bhopal,Bhopal(F&V),Ber(Zizyphus),Fruits,1.0,1000,2000,1400,2022-01-30,10.0
7,Bhopal,Bhopal(F&V),Ber(Zizyphus),Fruits,1.0,1500,2500,1700,2022-01-04,10.0
8,Bhopal,Bhopal(F&V),Ber(Zizyphus),Fruits,1.0,1000,1500,1200,2021-02-24,10.0
9,Bhopal,Bhopal(F&V),Ber(Zizyphus),Fruits,1.0,1000,2000,1500,2021-02-16,10.0
10,Bhopal,Bhopal(F&V),Ber(Zizyphus),Fruits,7.5,1200,2000,1500,2021-01-24,75.0
11,Bhopal,Bhopal(F&V),Ber(Zizyphus),Fruits,1.5,1200,2000,1500,2021-01-19,15.0
12,Guna,Guna(F&V),Ber(Zizyphus),Fruits,0.1,900,1200,1000,2020-01-31,1.0
13,Guna,Guna(F&V),Ber(Zizyphus),Fruits,0.1,700,1000,800,2020-01-29,1.0
14,Guna,Guna(F&V),Ber(Zizyphus),Fruits,0.1,650,1100,800,2020-01-28,1.0
15,Guna,Guna(F&V),Ber(Zizyphus),Fruits,0.1,800,1200,1100,2020-01-27,1.0
16,Guna,Guna(F&V),Ber(Zizyphus),Fruits,0.1,950,1100,1000,2020-01-25,1.0
17,Guna,Guna(F&V),Ber(Zizyphus),Fruits,0.1,1000,1200,1000,2020-01-24,1.0
18,Guna,Guna(F&V),Ber(Zizyphus),Fruits,0.1,900,1200,1200,2020-01-23,1.0
19,Guna,Guna(F&V),Ber(Zizyphus),Fruits,0.1,1000,1200,1200,2020-01-22,1.0
20,Guna,Guna(F&V),Ber(Zizyphus),Fruits,0.2,950,1160,950,2020-01-21,2.0
21,Guna,Guna(F&V),Ber(Zizyphus),Fruits,0.3,800,1100,1000,2020-01-20,3.0
22,Guna,Guna(F&V),Ber(Zizyphus),Fruits,0.1,950,1200,1100,2020-01-18,1.0
23,Guna,Guna(F&V),Ber(Zizyphus),Fruits,0.1,600,1000,800,2020-01-17,1.0
