Both Price And Arrival from 01-Jan-2018 To 31-Dec-2023 Total Arrival- 56263.81,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,3,900,900,900,16-Nov-22
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,2,1000,1000,1000,20-Oct-22
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,1.5,1000,1000,1000,09-Aug-22
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,2,1000,1000,1000,08-Aug-22
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,1,900,900,900,13-Jun-22
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,2,800,800,800,30-Mar-22
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,2,800,800,800,29-Mar-22
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,1,700,700,700,23-Mar-22
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,2,700,700,700,09-Mar-22
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,1,700,700,700,06-Mar-22
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,2,700,700,700,05-Mar-22
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,1.2,800,800,800,27-Feb-22
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,1,700,700,700,26-Feb-22
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,2,610,610,610,26-Jan-22
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,1.5,600,650,600,24-Jan-22
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,1,710,710,710,17-Nov-21
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,0.6,690,710,710,16-Nov-21
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,1,600,600,600,15-Nov-21
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,1.1,600,690,600,10-Nov-21
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,0.1,600,600,600,08-Apr-21
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,0.5,600,600,600,14-Mar-21
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,0.7,600,600,600,12-Mar-21
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,0.5,700,700,700,05-Mar-21
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,0.4,800,800,800,04-Mar-21
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,0.5,700,700,700,03-Mar-21
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,0.4,1310,1615,1600,14-Jan-21
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,0.3,1000,1000,1000,13-Jan-21
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,0.6,1000,1100,1000,31-Dec-20
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,0.3,700,700,700,22-Sep-20
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,0.4,800,800,800,21-Jul-20
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,0.2,800,800,800,09-Jul-20
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,0.4,700,700,700,07-Jul-20
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,0.5,1000,1000,1000,04-Mar-20
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,0.4,1000,1000,1000,06-Nov-19
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,0.3,1200,1200,1200,14-Aug-19
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,3,1000,1000,1000,24-Jun-19
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,3,900,900,900,12-Jun-19
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,3,900,900,900,11-Jun-19
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,8,700,700,700,14-May-19
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,13,700,700,700,11-May-19
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,4,700,700,700,10-May-19
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,5,800,800,800,08-May-19
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,13,600,700,700,07-May-19
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,9,700,800,800,06-May-19
Madhya Pradesh,Anupur,Anuppur,Bitter Gourd,Vegetables,4,700,700,700,04-May-19
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.4,1500,2500,2000,19-Dec-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.3,1400,3000,2200,18-Dec-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.3,1500,2500,2000,17-Dec-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.2,1500,2500,2000,16-Dec-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.3,1500,2500,2000,15-Dec-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.3,800,2000,1400,14-Dec-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.2,1400,3000,2000,13-Dec-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.3,1500,2500,2000,12-Dec-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.2,1300,2200,1900,11-Dec-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.4,1500,2500,2000,10-Dec-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.3,1000,2000,1500,09-Dec-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,2000,3000,2500,08-Dec-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.3,1000,2000,1500,07-Dec-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.2,1500,2500,2000,06-Dec-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.3,1400,2000,1800,05-Dec-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.2,1000,2000,1200,04-Dec-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,1400,2000,1730,03-Dec-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,1400,2000,1800,02-Dec-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,1600,2500,2200,01-Dec-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,1600,2500,2200,30-Nov-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,1600,2500,2200,29-Nov-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,1600,2400,2150,28-Nov-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,1500,2500,2175,27-Nov-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.2,1800,2750,2620,23-Nov-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,2200,2600,2300,22-Nov-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,2100,2800,2400,21-Nov-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,2000,3000,2500,20-Nov-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.2,2000,3000,2650,19-Nov-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,1800,2600,2400,15-Nov-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,1700,2500,2350,14-Nov-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,1750,2500,2300,13-Nov-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,1800,2600,2400,12-Nov-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,1850,2700,2300,11-Nov-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,1800,2600,2200,10-Nov-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,2000,3000,2750,09-Nov-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,1900,2700,2270,08-Nov-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,1800,2850,2375,07-Nov-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,1800,2850,2375,06-Nov-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,1800,2800,2400,05-Nov-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,2000,3000,2510,04-Nov-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,2200,3000,2600,03-Nov-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,2000,3000,2525,02-Nov-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,2000,3000,2580,01-Nov-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.2,2500,3500,3000,31-Oct-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,2000,3000,2525,30-Oct-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.3,2000,2850,2600,29-Oct-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,2000,2800,2425,28-Oct-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,2000,3000,2600,26-Oct-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,2000,3000,2600,25-Oct-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,1950,2700,2600,24-Oct-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,2000,3000,2810,22-Oct-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,2000,3500,3200,21-Oct-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,2000,3500,3225,20-Oct-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.2,2000,3500,3200,19-Oct-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,2000,3500,3200,18-Oct-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.2,2000,3500,3200,17-Oct-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,2000,3500,3200,16-Oct-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.2,2000,3000,2700,15-Oct-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,2000,3000,2750,14-Oct-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.2,2500,3200,2850,13-Oct-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,2500,3000,2725,12-Oct-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,2500,3000,2725,11-Oct-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.2,2500,3000,2800,10-Oct-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,2000,2700,2495,09-Oct-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,1600,2700,2000,08-Oct-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.2,1200,1800,1400,07-Oct-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,1265,1785,1474,06-Oct-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.2,1325,1850,1500,05-Oct-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,1300,2000,1600,04-Oct-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.2,1500,2200,1900,03-Oct-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,1400,2400,1870,02-Oct-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,1150,2150,1950,01-Oct-23
Madhya Pradesh,Khargone,Badwaha,Other,Vegetables,0.1,1250,2200,2000,30-Sep-23
