,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Arrivals (Quintals)
0,Anupur,Anuppur,Bitter Gourd,Vegetables,3.0,900,900,900,2022-11-16,30.0
1,Anupur,Anuppur,Bitter Gourd,Vegetables,2.0,1000,1000,1000,2022-10-20,20.0
2,Anupur,Anuppur,Bitter Gourd,Vegetables,1.5,1000,1000,1000,2022-08-09,15.0
3,Anupur,Anuppur,Bitter Gourd,Vegetables,2.0,1000,1000,1000,2022-08-08,20.0
4,Anupur,Anuppur,Bitter Gourd,Vegetables,1.0,900,900,900,2022-06-13,10.0
5,Anupur,Anuppur,Bitter Gourd,Vegetables,2.0,800,800,800,2022-03-30,20.0
6,Anupur,Anuppur,Bitter Gourd,Vegetables,2.0,800,800,800,2022-03-29,20.0
7,Anupur,Anuppur,Bitter Gourd,Vegetables,1.0,700,700,700,2022-03-23,10.0
8,Anupur,Anuppur,Bitter Gourd,Vegetables,2.0,700,700,700,2022-03-09,20.0
9,Anupur,Anuppur,Bitter Gourd,Vegetables,1.0,700,700,700,2022-03-06,10.0
10,Anupur,Anuppur,Bitter Gourd,Vegetables,2.0,700,700,700,2022-03-05,20.0
11,Anupur,Anuppur,Bitter Gourd,Vegetables,1.2,800,800,800,2022-02-27,12.0
12,Anupur,Anuppur,Bitter Gourd,Vegetables,1.0,700,700,700,2022-02-26,10.0
13,Anupur,Anuppur,Bitter Gourd,Vegetables,2.0,610,610,610,2022-01-26,20.0
14,Anupur,Anuppur,Bitter Gourd,Vegetables,1.5,600,650,600,2022-01-24,15.0
15,Anupur,Anuppur,Bitter Gourd,Vegetables,1.0,710,710,710,2021-11-17,10.0
16,Anupur,Anuppur,Bitter Gourd,Vegetables,0.6,690,710,710,2021-11-16,6.0
17,Anupur,Anuppur,Bitter Gourd,Vegetables,1.0,600,600,600,2021-11-15,10.0
18,Anupur,Anuppur,Bitter Gourd,Vegetables,1.1,600,690,600,2021-11-10,11.0
19,Anupur,Anuppur,Bitter Gourd,Vegetables,0.1,600,600,600,2021-04-08,1.0
20,Anupur,Anuppur,Bitter Gourd,Vegetables,0.5,600,600,600,2021-03-14,5.0
21,Anupur,Anuppur,Bitter Gourd,Vegetables,0.7,600,600,600,2021-03-12,7.0
22,Anupur,Anuppur,Bitter Gourd,Vegetables,0.5,700,700,700,2021-03-05,5.0
23,Anupur,Anuppur,Bitter Gourd,Vegetables,0.4,800,800,800,2021-03-04,4.0
24,Anupur,Anuppur,Bitter Gourd,Vegetables,0.5,700,700,700,2021-03-03,5.0
25,Anupur,Anuppur,Bitter Gourd,Vegetables,0.4,1310,1615,1600,2021-01-14,4.0
26,Anupur,Anuppur,Bitter Gourd,Vegetables,0.3,1000,1000,1000,2021-01-13,3.0
27,Anupur,Anuppur,Bitter Gourd,Vegetables,0.6,1000,1100,1000,2020-12-31,6.0
28,Anupur,Anuppur,Bitter Gourd,Vegetables,0.3,700,700,700,2020-09-22,3.0
29,Anupur,Anuppur,Bitter Gourd,Vegetables,0.4,800,800,800,2020-07-21,4.0
30,Anupur,Anuppur,Bitter Gourd,Vegetables,0.2,800,800,800,2020-07-09,2.0
31,Anupur,Anuppur,Bitter Gourd,Vegetables,0.4,700,700,700,2020-07-07,4.0
32,Anupur,Anuppur,Bitter Gourd,Vegetables,0.5,1000,1000,1000,2020-03-04,5.0
33,Anupur,Anuppur,Bitter Gourd,Vegetables,0.4,1000,1000,1000,2019-11-06,4.0
34,Anupur,Anuppur,Bitter Gourd,Vegetables,0.3,1200,1200,1200,2019-08-14,3.0
35,Anupur,Anuppur,Bitter Gourd,Vegetables,3.0,1000,1000,1000,2019-06-24,30.0
36,Anupur,Anuppur,Bitter Gourd,Vegetables,3.0,900,900,900,2019-06-12,30.0
37,Anupur,Anuppur,Bitter Gourd,Vegetables,3.0,900,900,900,2019-06-11,30.0
38,Anupur,Anuppur,Bitter Gourd,Vegetables,8.0,700,700,700,2019-05-14,80.0
39,Anupur,Anuppur,Bitter Gourd,Vegetables,13.0,700,700,700,2019-05-11,130.0
40,Anupur,Anuppur,Bitter Gourd,Vegetables,4.0,700,700,700,2019-05-10,40.0
41,Anupur,Anuppur,Bitter Gourd,Vegetables,5.0,800,800,800,2019-05-08,50.0
42,Anupur,Anuppur,Bitter Gourd,Vegetables,13.0,600,700,700,2019-05-07,130.0
43,Anupur,Anuppur,Bitter Gourd,Vegetables,9.0,700,800,800,2019-05-06,90.0
44,Anupur,Anuppur,Bitter Gourd,Vegetables,4.0,700,700,700,2019-05-04,40.0
45,Khargone,Badwaha,Other,Vegetables,0.4,1500,2500,2000,2023-12-19,4.0
46,Khargone,Badwaha,Other,Vegetables,0.3,1400,3000,2200,2023-12-18,3.0
47,Khargone,Badwaha,Other,Vegetables,0.3,1500,2500,2000,2023-12-17,3.0
48,Khargone,Badwaha,Other,Vegetables,0.2,1500,2500,2000,2023-12-16,2.0
49,Khargone,Badwaha,Other,Vegetables,0.3,1500,2500,2000,2023-12-15,3.0
50,Khargone,Badwaha,Other,Vegetables,0.3,800,2000,1400,2023-12-14,3.0
51,Khargone,Badwaha,Other,Vegetables,0.2,1400,3000,2000,2023-12-13,2.0
52,Khargone,Badwaha,Other,Vegetables,0.3,1500,2500,2000,2023-12-12,3.0
53,Khargone,Badwaha,Other,Vegetables,0.2,1300,2200,1900,2023-12-11,2.0
54,Khargone,Badwaha,Other,Vegetables,0.4,1500,2500,2000,2023-12-10,4.0
55,Khargone,Badwaha,Other,Vegetables,0.3,1000,2000,1500,2023-12-09,3.0
56,Khargone,Badwaha,Other,Vegetables,0.1,2000,3000,2500,2023-12-08,1.0
57,Khargone,Badwaha,Other,Vegetables,0.3,1000,2000,1500,2023-12-07,3.0
58,Khargone,Badwaha,Other,Vegetables,0.2,1500,2500,2000,2023-12-06,2.0
59,Khargone,Badwaha,Other,Vegetables,0.3,1400,2000,1800,2023-12-05,3.0
60,Khargone,Badwaha,Other,Vegetables,0.2,1000,2000,1200,2023-12-04,2.0
61,Khargone,Badwaha,Other,Vegetables,0.1,1400,2000,1730,2023-12-03,1.0
62,Khargone,Badwaha,Other,Vegetables,0.1,1400,2000,1800,2023-12-02,1.0
63,Khargone,Badwaha,Other,Vegetables,0.1,1600,2500,2200,2023-12-01,1.0
64,Khargone,Badwaha,Other,Vegetables,0.1,1600,2500,2200,2023-11-30,1.0
65,Khargone,Badwaha,Other,Vegetables,0.1,1600,2500,2200,2023-11-29,1.0
66,Khargone,Badwaha,Other,Vegetables,0.1,1600,2400,2150,2023-11-28,1.0
67,Khargone,Badwaha,Other,Vegetables,0.1,1500,2500,2175,2023-11-27,1.0
68,Khargone,Badwaha,Other,Vegetables,0.2,1800,2750,2620,2023-11-23,2.0
69,Khargone,Badwaha,Other,Vegetables,0.1,2200,2600,2300,2023-11-22,1.0
70,Khargone,Badwaha,Other,Vegetables,0.1,2100,2800,2400,2023-11-21,1.0
71,Khargone,Badwaha,Other,Vegetables,0.1,2000,3000,2500,2023-11-20,1.0
72,Khargone,Badwaha,Other,Vegetables,0.2,2000,3000,2650,2023-11-19,2.0
73,Khargone,Badwaha,Other,Vegetables,0.1,1800,2600,2400,2023-11-15,1.0
74,Khargone,Badwaha,Other,Vegetables,0.1,1700,2500,2350,2023-11-14,1.0
75,Khargone,Badwaha,Other,Vegetables,0.1,1750,2500,2300,2023-11-13,1.0
76,Khargone,Badwaha,Other,Vegetables,0.1,1800,2600,2400,2023-11-12,1.0
77,Khargone,Badwaha,Other,Vegetables,0.1,1850,2700,2300,2023-11-11,1.0
78,Khargone,Badwaha,Other,Vegetables,0.1,1800,2600,2200,2023-11-10,1.0
79,Khargone,Badwaha,Other,Vegetables,0.1,2000,3000,2750,2023-11-09,1.0
80,Khargone,Badwaha,Other,Vegetables,0.1,1900,2700,2270,2023-11-08,1.0
81,Khargone,Badwaha,Other,Vegetables,0.1,1800,2850,2375,2023-11-07,1.0
82,Khargone,Badwaha,Other,Vegetables,0.1,1800,2850,2375,2023-11-06,1.0
83,Khargone,Badwaha,Other,Vegetables,0.1,1800,2800,2400,2023-11-05,1.0
84,Khargone,Badwaha,Other,Vegetables,0.1,2000,3000,2510,2023-11-04,1.0
85,Khargone,Badwaha,Other,Vegetables,0.1,2200,3000,2600,2023-11-03,1.0
86,Khargone,Badwaha,Other,Vegetables,0.1,2000,3000,2525,2023-11-02,1.0
87,Khargone,Badwaha,Other,Vegetables,0.1,2000,3000,2580,2023-11-01,1.0
88,Khargone,Badwaha,Other,Vegetables,0.2,2500,3500,3000,2023-10-31,2.0
89,Khargone,Badwaha,Other,Vegetables,0.1,2000,3000,2525,2023-10-30,1.0
90,Khargone,Badwaha,Other,Vegetables,0.3,2000,2850,2600,2023-10-29,3.0
91,Khargone,Badwaha,Other,Vegetables,0.1,2000,2800,2425,2023-10-28,1.0
92,Khargone,Badwaha,Other,Vegetables,0.1,2000,3000,2600,2023-10-26,1.0
93,Khargone,Badwaha,Other,Vegetables,0.1,2000,3000,2600,2023-10-25,1.0
94,Khargone,Badwaha,Other,Vegetables,0.1,1950,2700,2600,2023-10-24,1.0
95,Khargone,Badwaha,Other,Vegetables,0.1,2000,3000,2810,2023-10-22,1.0
96,Khargone,Badwaha,Other,Vegetables,0.1,2000,3500,3200,2023-10-21,1.0
97,Khargone,Badwaha,Other,Vegetables,0.1,2000,3500,3225,2023-10-20,1.0
98,Khargone,Badwaha,Other,Vegetables,0.2,2000,3500,3200,2023-10-19,2.0
99,Khargone,Badwaha,Other,Vegetables,0.1,2000,3500,3200,2023-10-18,1.0
100,Khargone,Badwaha,Other,Vegetables,0.2,2000,3500,3200,2023-10-17,2.0
101,Khargone,Badwaha,Other,Vegetables,0.1,2000,3500,3200,2023-10-16,1.0
102,Khargone,Badwaha,Other,Vegetables,0.2,2000,3000,2700,2023-10-15,2.0
103,Khargone,Badwaha,Other,Vegetables,0.1,2000,3000,2750,2023-10-14,1.0
104,Khargone,Badwaha,Other,Vegetables,0.2,2500,3200,2850,2023-10-13,2.0
