Both Price And Arrival from 01-Jan-2018 To 31-Dec-2023 Total Arrival- 9753.67,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Panna,Ajaygarh,Black Gram Dal,Pulses,2.5,6500,6600,6600,16-Dec-23
Madhya Pradesh,Panna,Ajaygarh,Black Gram Dal,Pulses,2.61,2000,2510,2500,07-Nov-22
Madhya Pradesh,Panna,Ajaygarh,Black Gram Dal,Pulses,3,5100,5150,5150,06-Oct-22
Madhya Pradesh,Panna,Ajaygarh,Black Gram Dal,Pulses,2.5,5000,5000,5000,07-Feb-22
Madhya Pradesh,Panna,Ajaygarh,Black Gram Dal,Pulses,5.7,5600,5700,5650,09-Feb-21
Madhya Pradesh,Panna,Ajaygarh,Black Gram Dal,Pulses,5.8,4700,4900,4780,27-Feb-20
Madhya Pradesh,Panna,Ajaygarh,Black Gram Dal,Pulses,11.5,5000,5800,5050,17-Dec-19
Madhya Pradesh,Panna,Ajaygarh,Black Gram Dal,Pulses,3,3750,5680,3800,24-Jun-19
Madhya Pradesh,Panna,Ajaygarh,Black Gram Dal,Pulses,10.7,3600,5600,3620,29-Mar-19
Madhya Pradesh,Khargone,Badwaha,Black Gram Dal,Pulses,0.2,3675,3675,3675,25-Feb-18
Madhya Pradesh,Dewas,Bagli,Black Gram Dal,Pulses,2.1,2050,2050,2050,07-Jan-22
Madhya Pradesh,Dewas,Bagli,Black Gram Dal,Pulses,0.1,2603,2603,2603,18-Nov-21
Madhya Pradesh,Dewas,Bagli,Black Gram Dal,Pulses,2.2,3250,3450,3328,25-Oct-21
Madhya Pradesh,Dewas,Bagli,Black Gram Dal,Pulses,0.26,3900,3900,3900,21-Oct-21
Madhya Pradesh,Dewas,Bagli,Black Gram Dal,Pulses,0.8,3500,4000,3562,19-Oct-21
Madhya Pradesh,Chhatarpur,Bakswaha,Black Gram Dal,Pulses,5,3600,3600,3600,24-Nov-21
Madhya Pradesh,Chhatarpur,Bakswaha,Black Gram Dal,Pulses,0.6,3900,4100,4000,26-May-19
Madhya Pradesh,Chhatarpur,Bakswaha,Black Gram Dal,Pulses,43.28,3900,4100,4000,21-May-19
Madhya Pradesh,Chhatarpur,Bakswaha,Black Gram Dal,Pulses,14,2300,2500,2400,12-Jul-18
Madhya Pradesh,Raisen,Bareli,Black Gram Dal,Pulses,0.1,4701,4701,4701,19-Jul-21
Madhya Pradesh,Raisen,Bareli,Black Gram Dal,Pulses,1.6,3900,4231,4066,19-Jan-21
Madhya Pradesh,Raisen,Bareli,Black Gram Dal,Pulses,0.1,5400,5400,5400,14-Nov-19
Madhya Pradesh,Raisen,Bareli,Black Gram Dal,Pulses,7.3,3361,4099,3730,10-Aug-18
Madhya Pradesh,Raisen,Bareli,Black Gram Dal,Pulses,0.1,1500,1500,1500,28-Mar-18
Madhya Pradesh,Chhatarpur,Bijawar,Black Gram Dal,Pulses,12.1,2750,2810,2780,19-Sep-18
Madhya Pradesh,Seoni,Chhpara,Black Gram Dal,Pulses,110,4500,4505,4503,30-Jul-21
Madhya Pradesh,Seoni,Chhpara,Black Gram Dal,Pulses,54,3334,3357,3340,08-Apr-19
Madhya Pradesh,Seoni,Chhpara,Black Gram Dal,Pulses,159,2700,2705,2702,28-Mar-19
Madhya Pradesh,Dhar,Dhar,Black Gram Dal,Pulses,0.2,1752,1752,1752,27-Jan-18
Madhya Pradesh,Dhar,Dhar,Black Gram Dal,Pulses,0.6,1900,1900,1900,25-Jan-18
Madhya Pradesh,Dhar,Dhar,Black Gram Dal,Pulses,0.2,1650,1650,1650,24-Jan-18
Madhya Pradesh,Dhar,Dhar,Black Gram Dal,Pulses,0.2,2124,2124,2124,23-Jan-18
Madhya Pradesh,Dhar,Dhar,Black Gram Dal,Pulses,0.4,2192,2192,2192,16-Jan-18
Madhya Pradesh,Dhar,Dhar,Black Gram Dal,Pulses,2,2660,2660,2660,03-Jan-18
Madhya Pradesh,Rewa,Hanumana,Black Gram Dal,Pulses,56.4,3200,3400,3300,23-Feb-19
Madhya Pradesh,Rewa,Hanumana,Black Gram Dal,Pulses,162,3000,3100,3050,01-Nov-18
Madhya Pradesh,Chhatarpur,Harpalpur,Black Gram Dal,Pulses,2,6000,6500,6300,30-Sep-23
Madhya Pradesh,Chhatarpur,Harpalpur,Black Gram Dal,Pulses,1.5,3500,4200,3800,20-Oct-22
Madhya Pradesh,Chhatarpur,Harpalpur,Black Gram Dal,Pulses,1,4600,5600,4900,20-Sep-22
Madhya Pradesh,Chhatarpur,Harpalpur,Black Gram Dal,Pulses,2,3900,4000,3950,03-Mar-22
Madhya Pradesh,Chhatarpur,Harpalpur,Black Gram Dal,Pulses,6,3600,4200,3900,24-Feb-22
Madhya Pradesh,Chhatarpur,Harpalpur,Black Gram Dal,Pulses,5,3600,4100,3800,23-Feb-22
Madhya Pradesh,Chhatarpur,Harpalpur,Black Gram Dal,Pulses,6,4000,4600,4300,15-Dec-21
Madhya Pradesh,Chhatarpur,Harpalpur,Black Gram Dal,Pulses,6,4000,4600,4300,14-Dec-21
Madhya Pradesh,Chhatarpur,Harpalpur,Black Gram Dal,Pulses,5,3500,4000,3800,13-Dec-21
Madhya Pradesh,Chhatarpur,Harpalpur,Black Gram Dal,Pulses,3,4000,4100,4050,11-Dec-21
Madhya Pradesh,Chhatarpur,Harpalpur,Black Gram Dal,Pulses,6,4000,5000,4500,08-Nov-21
Madhya Pradesh,Chhatarpur,Harpalpur,Black Gram Dal,Pulses,6,4000,4400,4200,27-Oct-21
Madhya Pradesh,Chhatarpur,Harpalpur,Black Gram Dal,Pulses,8,3000,5000,4000,25-Oct-21
