,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Arrivals (Quintals)
0,Panna,Ajaygarh,Black Gram Dal,Pulses,2.5,6500.0,6600.0,6600.0,2023-12-16,25.0
1,Panna,Ajaygarh,Black Gram Dal,Pulses,2.61,2000.0,2510.0,2500.0,2022-11-07,26.099999999999998
2,Panna,Ajaygarh,Black Gram Dal,Pulses,3.0,5100.0,5150.0,5150.0,2022-10-06,30.0
3,Panna,Ajaygarh,Black Gram Dal,Pulses,2.5,5000.0,5000.0,5000.0,2022-02-07,25.0
4,Panna,Ajaygarh,Black Gram Dal,Pulses,5.7,5600.0,5700.0,5650.0,2021-02-09,57.0
5,Panna,Ajaygarh,Black Gram Dal,Pulses,5.8,4700.0,4900.0,4780.0,2020-02-27,58.0
6,Panna,Ajaygarh,Black Gram Dal,Pulses,11.5,5000.0,5800.0,5050.0,2019-12-17,115.0
7,Panna,Ajaygarh,Black Gram Dal,Pulses,3.0,3750.0,5680.0,3800.0,2019-06-24,30.0
8,Panna,Ajaygarh,Black Gram Dal,Pulses,10.7,3600.0,5600.0,3620.0,2019-03-29,107.0
9,Khargone,Badwaha,Black Gram Dal,Pulses,0.2,3675.0,3675.0,3675.0,2018-02-25,2.0
10,Dewas,Bagli,Black Gram Dal,Pulses,2.1,2050.0,2050.0,2050.0,2022-01-07,21.0
11,Dewas,Bagli,Black Gram Dal,Pulses,0.1,2603.0,2603.0,2603.0,2021-11-18,1.0
12,Dewas,Bagli,Black Gram Dal,Pulses,2.2,3250.0,3450.0,3328.0,2021-10-25,22.0
13,Dewas,Bagli,Black Gram Dal,Pulses,0.26,3900.0,3900.0,3900.0,2021-10-21,2.6
14,Dewas,Bagli,Black Gram Dal,Pulses,0.8,3500.0,4000.0,3562.0,2021-10-19,8.0
15,Chhatarpur,Bakswaha,Black Gram Dal,Pulses,5.0,3600.0,3600.0,3600.0,2021-11-24,50.0
16,Chhatarpur,Bakswaha,Black Gram Dal,Pulses,0.6,3900.0,4100.0,4000.0,2019-05-26,6.0
17,Chhatarpur,Bakswaha,Black Gram Dal,Pulses,43.28,3900.0,4100.0,4000.0,2019-05-21,432.8
18,Chhatarpur,Bakswaha,Black Gram Dal,Pulses,14.0,2300.0,2500.0,2400.0,2018-07-12,140.0
19,Raisen,Bareli,Black Gram Dal,Pulses,0.1,4701.0,4701.0,4701.0,2021-07-19,1.0
20,Raisen,Bareli,Black Gram Dal,Pulses,1.6,3900.0,4231.0,4066.0,2021-01-19,16.0
21,Raisen,Bareli,Black Gram Dal,Pulses,0.1,5400.0,5400.0,5400.0,2019-11-14,1.0
22,Raisen,Bareli,Black Gram Dal,Pulses,7.3,3361.0,4099.0,3730.0,2018-08-10,73.0
23,Raisen,Bareli,Black Gram Dal,Pulses,0.1,1500.0,1500.0,1500.0,2018-03-28,1.0
24,Chhatarpur,Bijawar,Black Gram Dal,Pulses,12.1,2750.0,2810.0,2780.0,2018-09-19,121.0
25,Seoni,Chhpara,Black Gram Dal,Pulses,110.0,4500.0,4505.0,4503.0,2021-07-30,1100.0
26,Seoni,Chhpara,Black Gram Dal,Pulses,54.0,3334.0,3357.0,3340.0,2019-04-08,540.0
27,Seoni,Chhpara,Black Gram Dal,Pulses,159.0,2700.0,2705.0,2702.0,2019-03-28,1590.0
28,Dhar,Dhar,Black Gram Dal,Pulses,0.2,1752.0,1752.0,1752.0,2018-01-27,2.0
29,Dhar,Dhar,Black Gram Dal,Pulses,0.6,1900.0,1900.0,1900.0,2018-01-25,6.0
30,Dhar,Dhar,Black Gram Dal,Pulses,0.2,1650.0,1650.0,1650.0,2018-01-24,2.0
31,Dhar,Dhar,Black Gram Dal,Pulses,0.2,2124.0,2124.0,2124.0,2018-01-23,2.0
32,Dhar,Dhar,Black Gram Dal,Pulses,0.4,2192.0,2192.0,2192.0,2018-01-16,4.0
33,Dhar,Dhar,Black Gram Dal,Pulses,2.0,2660.0,2660.0,2660.0,2018-01-03,20.0
34,Rewa,Hanumana,Black Gram Dal,Pulses,56.4,3200.0,3400.0,3300.0,2019-02-23,564.0
35,Rewa,Hanumana,Black Gram Dal,Pulses,162.0,3000.0,3100.0,3050.0,2018-11-01,1620.0
36,Chhatarpur,Harpalpur,Black Gram Dal,Pulses,2.0,6000.0,6500.0,6300.0,2023-09-30,20.0
