Both Price And Arrival from 01-Jan-2018 To 31-Dec-2023 Total Arrival- 79697.28,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,3,600,600,600,27-Sep-23
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2,500,500,500,25-Mar-23
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,3,600,600,600,17-Nov-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,3,700,700,700,15-Nov-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2,600,600,600,24-Oct-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,3,700,700,700,17-Oct-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2,600,600,600,09-Aug-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1,600,600,600,18-Jun-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1,700,700,700,06-Jun-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1,600,600,600,05-Jun-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,4,700,700,700,04-Jun-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,3,600,600,600,28-May-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,3,600,600,600,27-May-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,3,600,600,600,24-May-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,4,600,600,600,22-May-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,4,600,600,600,21-May-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,4,600,600,600,16-May-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,3,700,700,700,15-May-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2,600,600,600,14-May-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2.5,600,600,600,03-May-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2.5,600,600,600,02-May-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2,700,700,700,01-May-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2,800,800,800,19-Apr-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,3,700,700,700,11-Apr-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1,700,700,700,09-Apr-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1,600,600,600,07-Apr-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2,700,700,700,06-Apr-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2,600,600,600,29-Mar-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2,700,700,700,24-Mar-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1,700,700,700,23-Mar-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2,600,600,600,22-Mar-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2,620,620,620,21-Mar-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2,600,600,600,15-Mar-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1,700,700,700,14-Mar-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2,700,700,700,13-Mar-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2,700,700,700,11-Mar-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1,600,600,600,10-Mar-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,3,610,610,610,09-Mar-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2,600,600,600,08-Mar-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1,600,600,600,04-Mar-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2,620,620,620,02-Mar-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2,600,600,600,01-Mar-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2,600,600,600,28-Feb-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2,700,700,700,24-Feb-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1,600,600,600,23-Feb-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2,600,600,600,22-Feb-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,3,600,600,600,17-Feb-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2,600,600,600,14-Feb-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.9,600,700,600,01-Feb-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2,800,800,800,26-Jan-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2,600,600,600,25-Jan-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,2.2,600,800,610,24-Jan-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1.7,600,605,600,23-Jan-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1,600,600,600,22-Jan-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.7,600,600,600,21-Jan-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.8,600,600,600,20-Jan-22
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.8,700,700,700,13-Dec-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.9,600,700,700,16-Nov-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.2,600,600,600,10-Nov-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1,800,800,800,09-Nov-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.8,600,600,600,16-Apr-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.7,600,600,600,15-Apr-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.7,700,700,700,14-Apr-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.7,600,610,610,13-Apr-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1,600,700,650,09-Apr-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1.8,600,700,650,08-Apr-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.4,600,600,600,07-Apr-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.4,600,600,600,06-Apr-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.9,700,700,700,05-Apr-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.6,605,605,605,04-Apr-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1,600,600,600,31-Mar-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.7,600,600,600,26-Mar-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.3,600,600,600,21-Mar-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1.3,600,700,700,20-Mar-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.8,550,600,550,19-Mar-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1,600,600,600,17-Mar-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.6,500,500,500,16-Mar-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.9,600,600,600,15-Mar-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.6,650,650,650,14-Mar-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.7,700,700,700,13-Mar-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1,700,700,700,12-Mar-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1.3,600,700,700,10-Mar-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.2,700,700,700,09-Mar-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.5,700,700,700,08-Mar-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1.5,600,700,600,07-Mar-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1,700,700,700,06-Mar-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1,600,600,600,05-Mar-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.7,700,700,700,03-Mar-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.9,600,800,600,02-Mar-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.5,700,700,700,01-Mar-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.8,750,750,750,28-Feb-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1,780,800,800,27-Feb-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1,790,810,800,26-Feb-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.7,700,700,700,24-Feb-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.6,810,810,810,23-Feb-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.7,900,900,900,22-Feb-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1,950,950,950,21-Feb-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1.2,700,750,700,20-Feb-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1.3,750,750,750,19-Feb-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.8,910,910,910,18-Feb-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.6,800,800,800,17-Feb-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.8,1000,1000,1000,16-Feb-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.7,990,990,990,15-Feb-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.7,900,900,900,11-Feb-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.8,900,900,900,09-Feb-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.2,800,800,800,08-Feb-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.7,900,900,900,05-Feb-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.3,900,900,900,04-Feb-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1,810,810,810,03-Feb-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.4,800,800,800,02-Feb-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.6,1000,1000,1000,01-Feb-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.7,1000,1000,1000,31-Jan-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1.1,915,915,915,30-Jan-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1.3,900,900,900,29-Jan-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.7,910,950,910,28-Jan-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.5,800,800,800,25-Jan-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.4,900,900,900,24-Jan-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.4,1150,1150,1150,23-Jan-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.2,1000,1000,1000,22-Jan-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.7,1100,1100,1100,21-Jan-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.4,1000,1000,1000,20-Jan-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.9,1200,1250,1200,17-Jan-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.5,1210,1300,1210,15-Jan-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.7,1000,1000,1000,08-Jan-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1.1,980,980,980,07-Jan-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.4,1100,1100,1100,05-Jan-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.5,800,800,800,04-Jan-21
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.2,700,700,700,29-Dec-20
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1.8,600,700,700,28-Dec-20
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.4,600,600,600,27-Dec-20
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.9,700,800,700,26-Dec-20
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1.2,800,1000,900,25-Dec-20
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.7,700,800,700,24-Dec-20
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.5,800,800,800,23-Dec-20
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.8,1100,1100,1100,22-Dec-20
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1.1,1200,1200,1200,21-Dec-20
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.9,1000,1000,1000,20-Dec-20
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.8,1200,1200,1200,19-Dec-20
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.9,1000,1000,1000,18-Dec-20
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.3,1000,1000,1000,17-Dec-20
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.7,1000,1100,1000,15-Dec-20
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,1,1100,1200,1200,14-Dec-20
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.6,1100,1100,1100,13-Dec-20
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.6,1100,1200,1100,12-Dec-20
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.3,700,700,700,11-Dec-20
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.7,1000,1000,1000,10-Dec-20
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.2,800,800,800,09-Dec-20
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.6,800,800,800,08-Dec-20
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.6,800,800,800,07-Dec-20
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.4,1000,1000,1000,06-Dec-20
Madhya Pradesh,Anupur,Anuppur,Bottle Gourd,Vegetables,0.7,700,700,700,05-Dec-20
