,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Arrivals (Quintals)
0,Anupur,Anuppur,Bottle Gourd,Vegetables,3.0,600,600,600.0,2023-09-27,30.0
1,Anupur,Anuppur,Bottle Gourd,Vegetables,2.0,500,500,500.0,2023-03-25,20.0
2,Anupur,Anuppur,Bottle Gourd,Vegetables,3.0,600,600,600.0,2022-11-17,30.0
3,Anupur,Anuppur,Bottle Gourd,Vegetables,3.0,700,700,700.0,2022-11-15,30.0
4,Anupur,Anuppur,Bottle Gourd,Vegetables,2.0,600,600,600.0,2022-10-24,20.0
5,Anupur,Anuppur,Bottle Gourd,Vegetables,3.0,700,700,700.0,2022-10-17,30.0
6,Anupur,Anuppur,Bottle Gourd,Vegetables,2.0,600,600,600.0,2022-08-09,20.0
7,Anupur,Anuppur,Bottle Gourd,Vegetables,1.0,600,600,600.0,2022-06-18,10.0
8,Anupur,Anuppur,Bottle Gourd,Vegetables,1.0,700,700,700.0,2022-06-06,10.0
9,Anupur,Anuppur,Bottle Gourd,Vegetables,1.0,600,600,600.0,2022-06-05,10.0
10,Anupur,Anuppur,Bottle Gourd,Vegetables,4.0,700,700,700.0,2022-06-04,40.0
11,Anupur,Anuppur,Bottle Gourd,Vegetables,3.0,600,600,600.0,2022-05-28,30.0
12,Anupur,Anuppur,Bottle Gourd,Vegetables,3.0,600,600,600.0,2022-05-27,30.0
13,Anupur,Anuppur,Bottle Gourd,Vegetables,3.0,600,600,600.0,2022-05-24,30.0
14,Anupur,Anuppur,Bottle Gourd,Vegetables,4.0,600,600,600.0,2022-05-22,40.0
15,Anupur,Anuppur,Bottle Gourd,Vegetables,4.0,600,600,600.0,2022-05-21,40.0
16,Anupur,Anuppur,Bottle Gourd,Vegetables,4.0,600,600,600.0,2022-05-16,40.0
17,Anupur,Anuppur,Bottle Gourd,Vegetables,3.0,700,700,700.0,2022-05-15,30.0
