Both Price And Arrival from 01-Jan-2018 To 31-Dec-2023 Total Arrival- 130410.96,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,3,600,600,600,17-Nov-22
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,3,700,700,700,16-Nov-22
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,2,700,700,700,24-Oct-22
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,2,700,700,700,20-Oct-22
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,2,800,800,800,06-Jun-22
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1,800,800,800,20-Apr-22
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,2.5,800,800,800,18-Apr-22
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1,700,700,700,04-Apr-22
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,3,800,800,800,30-Mar-22
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,2,700,700,700,08-Mar-22
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1,700,700,700,06-Mar-22
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,2,700,700,700,05-Mar-22
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1,600,600,600,02-Mar-22
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1.5,750,750,750,27-Feb-22
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1,800,800,800,24-Feb-22
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1.6,600,650,600,01-Feb-22
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,1,600,600,600,26-Jan-22
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,0.1,800,800,800,23-Jan-22
Madhya Pradesh,Anupur,Anuppur,Cabbage,Vegetables,2,800,800,800,22-Nov-21
