,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Arrivals (Quintals)
0,Anupur,Anuppur,Cabbage,Vegetables,3.0,600,600.0,600.0,2022-11-17,30.0
1,Anupur,Anuppur,Cabbage,Vegetables,3.0,700,700.0,700.0,2022-11-16,30.0
2,Anupur,Anuppur,Cabbage,Vegetables,2.0,700,700.0,700.0,2022-10-24,20.0
3,Anupur,Anuppur,Cabbage,Vegetables,2.0,700,700.0,700.0,2022-10-20,20.0
4,Anupur,Anuppur,Cabbage,Vegetables,2.0,800,800.0,800.0,2022-06-06,20.0
5,Anupur,Anuppur,Cabbage,Vegetables,1.0,800,800.0,800.0,2022-04-20,10.0
6,Anupur,Anuppur,Cabbage,Vegetables,2.5,800,800.0,800.0,2022-04-18,25.0
7,Anupur,Anuppur,Cabbage,Vegetables,1.0,700,700.0,700.0,2022-04-04,10.0
8,Anupur,Anuppur,Cabbage,Vegetables,3.0,800,800.0,800.0,2022-03-30,30.0
9,Anupur,Anuppur,Cabbage,Vegetables,2.0,700,700.0,700.0,2022-03-08,20.0
10,Anupur,Anuppur,Cabbage,Vegetables,1.0,700,700.0,700.0,2022-03-06,10.0
11,Anupur,Anuppur,Cabbage,Vegetables,2.0,700,700.0,700.0,2022-03-05,20.0
12,Anupur,Anuppur,Cabbage,Vegetables,1.0,600,600.0,600.0,2022-03-02,10.0
13,Anupur,Anuppur,Cabbage,Vegetables,1.5,750,750.0,750.0,2022-02-27,15.0
14,Anupur,Anuppur,Cabbage,Vegetables,1.0,800,800.0,800.0,2022-02-24,10.0
15,Anupur,Anuppur,Cabbage,Vegetables,1.6,600,650.0,600.0,2022-02-01,16.0
16,Anupur,Anuppur,Cabbage,Vegetables,1.0,600,600.0,600.0,2022-01-26,10.0
17,Anupur,Anuppur,Cabbage,Vegetables,0.1,800,800.0,800.0,2022-01-23,1.0
18,Anupur,Anuppur,Cabbage,Vegetables,2.0,800,800.0,800.0,2021-11-22,20.0
19,Anupur,Anuppur,Cabbage,Vegetables,0.8,700,700.0,700.0,2021-11-17,8.0
20,Anupur,Anuppur,Cabbage,Vegetables,1.3,750,805.0,805.0,2021-11-16,13.0
21,Anupur,Anuppur,Cabbage,Vegetables,1.2,710,710.0,710.0,2021-11-15,12.0
22,Anupur,Anuppur,Cabbage,Vegetables,1.0,800,800.0,800.0,2021-11-14,10.0
23,Anupur,Anuppur,Cabbage,Vegetables,1.0,800,800.0,800.0,2021-11-12,10.0
24,Anupur,Anuppur,Cabbage,Vegetables,1.2,800,800.0,800.0,2021-11-11,12.0
25,Anupur,Anuppur,Cabbage,Vegetables,1.6,800,800.0,800.0,2021-11-09,16.0
26,Anupur,Anuppur,Cabbage,Vegetables,0.3,810,810.0,810.0,2021-02-26,3.0
27,Anupur,Anuppur,Cabbage,Vegetables,0.2,1000,1000.0,1000.0,2021-02-01,2.0
28,Anupur,Anuppur,Cabbage,Vegetables,1.3,1000,1000.0,1000.0,2021-01-30,13.0
29,Anupur,Anuppur,Cabbage,Vegetables,0.2,980,980.0,980.0,2021-01-24,2.0
30,Anupur,Anuppur,Cabbage,Vegetables,0.4,700,700.0,700.0,2020-09-20,4.0
31,Anupur,Anuppur,Cabbage,Vegetables,0.3,900,900.0,900.0,2020-09-02,3.0
32,Anupur,Anuppur,Cabbage,Vegetables,0.2,1000,1000.0,1000.0,2020-09-01,2.0
33,Anupur,Anuppur,Cabbage,Vegetables,0.3,1000,1000.0,1000.0,2020-08-31,3.0
34,Anupur,Anuppur,Cabbage,Vegetables,0.4,1000,1000.0,1000.0,2020-08-29,4.0
35,Anupur,Anuppur,Cabbage,Vegetables,0.4,900,900.0,900.0,2020-08-26,4.0
36,Anupur,Anuppur,Cabbage,Vegetables,0.5,1000,1000.0,1000.0,2020-08-22,5.0
37,Anupur,Anuppur,Cabbage,Vegetables,0.3,1000,1000.0,1000.0,2020-08-20,3.0
38,Anupur,Anuppur,Cabbage,Vegetables,0.1,1200,1200.0,1200.0,2020-08-19,1.0
39,Anupur,Anuppur,Cabbage,Vegetables,0.7,800,800.0,800.0,2020-03-19,7.0
40,Anupur,Anuppur,Cabbage,Vegetables,0.8,800,800.0,800.0,2020-03-18,8.0
41,Anupur,Anuppur,Cabbage,Vegetables,0.9,500,800.0,500.0,2020-03-16,9.0
42,Anupur,Anuppur,Cabbage,Vegetables,0.5,1000,1000.0,1000.0,2020-03-15,5.0
43,Anupur,Anuppur,Cabbage,Vegetables,0.5,800,800.0,800.0,2020-03-13,5.0
44,Anupur,Anuppur,Cabbage,Vegetables,1.1,500,600.0,500.0,2020-03-09,11.0
45,Anupur,Anuppur,Cabbage,Vegetables,0.5,700,700.0,700.0,2020-03-08,5.0
46,Anupur,Anuppur,Cabbage,Vegetables,1.3,500,800.0,500.0,2020-03-07,13.0
47,Anupur,Anuppur,Cabbage,Vegetables,0.7,800,1000.0,1000.0,2020-03-06,7.0
48,Anupur,Anuppur,Cabbage,Vegetables,0.7,500,500.0,500.0,2020-03-04,7.0
49,Anupur,Anuppur,Cabbage,Vegetables,1.0,800,800.0,800.0,2020-03-03,10.0
50,Anupur,Anuppur,Cabbage,Vegetables,0.9,700,800.0,700.0,2020-03-02,9.0
51,Anupur,Anuppur,Cabbage,Vegetables,1.3,800,800.0,800.0,2020-03-01,13.0
52,Anupur,Anuppur,Cabbage,Vegetables,0.9,800,800.0,800.0,2020-02-29,9.0
53,Anupur,Anuppur,Cabbage,Vegetables,1.2,500,800.0,500.0,2020-02-28,12.0
54,Anupur,Anuppur,Cabbage,Vegetables,1.0,500,800.0,800.0,2020-02-26,10.0
55,Anupur,Anuppur,Cabbage,Vegetables,1.1,500,800.0,500.0,2020-02-25,11.0
56,Anupur,Anuppur,Cabbage,Vegetables,1.1,700,700.0,700.0,2020-02-24,11.0
57,Anupur,Anuppur,Cabbage,Vegetables,1.3,500,700.0,700.0,2020-02-23,13.0
58,Anupur,Anuppur,Cabbage,Vegetables,1.6,500,700.0,700.0,2020-02-22,16.0
59,Anupur,Anuppur,Cabbage,Vegetables,0.9,800,800.0,800.0,2020-02-19,9.0
60,Anupur,Anuppur,Cabbage,Vegetables,1.8,500,800.0,800.0,2020-02-18,18.0
61,Anupur,Anuppur,Cabbage,Vegetables,0.5,800,800.0,800.0,2020-02-17,5.0
62,Anupur,Anuppur,Cabbage,Vegetables,0.9,600,1000.0,600.0,2020-02-16,9.0
63,Anupur,Anuppur,Cabbage,Vegetables,2.1,600,800.0,600.0,2020-02-15,21.0
64,Anupur,Anuppur,Cabbage,Vegetables,0.8,800,1000.0,800.0,2020-02-14,8.0
65,Anupur,Anuppur,Cabbage,Vegetables,0.4,700,700.0,700.0,2020-02-13,4.0
66,Anupur,Anuppur,Cabbage,Vegetables,1.4,700,1000.0,1000.0,2020-02-04,14.0
67,Anupur,Anuppur,Cabbage,Vegetables,1.1,700,700.0,700.0,2020-02-03,11.0
68,Anupur,Anuppur,Cabbage,Vegetables,1.7,800,1000.0,800.0,2020-02-02,17.0
69,Anupur,Anuppur,Cabbage,Vegetables,0.4,1000,1000.0,1000.0,2020-02-01,4.0
70,Anupur,Anuppur,Cabbage,Vegetables,0.9,800,1000.0,800.0,2020-01-30,9.0
71,Anupur,Anuppur,Cabbage,Vegetables,0.4,800,800.0,800.0,2020-01-29,4.0
72,Anupur,Anuppur,Cabbage,Vegetables,1.0,1000,1000.0,1000.0,2020-01-28,10.0
73,Anupur,Anuppur,Cabbage,Vegetables,0.8,800,1000.0,800.0,2020-01-27,8.0
74,Anupur,Anuppur,Cabbage,Vegetables,0.9,1000,1000.0,1000.0,2020-01-09,9.0
75,Anupur,Anuppur,Cabbage,Vegetables,1.4,1000,1500.0,1000.0,2020-01-07,14.0
76,Anupur,Anuppur,Cabbage,Vegetables,0.2,1500,1500.0,1500.0,2019-12-15,2.0
77,Anupur,Anuppur,Cabbage,Vegetables,0.6,1000,1000.0,1000.0,2019-12-13,6.0
78,Anupur,Anuppur,Cabbage,Vegetables,0.5,1000,1200.0,1000.0,2019-12-02,5.0
79,Anupur,Anuppur,Cabbage,Vegetables,0.2,1500,1500.0,1500.0,2019-11-28,2.0
80,Anupur,Anuppur,Cabbage,Vegetables,0.8,1000,1200.0,1000.0,2019-11-27,8.0
81,Anupur,Anuppur,Cabbage,Vegetables,0.4,1500,1500.0,1500.0,2019-11-25,4.0
82,Anupur,Anuppur,Cabbage,Vegetables,0.6,1200,1500.0,1500.0,2019-11-24,6.0
83,Anupur,Anuppur,Cabbage,Vegetables,0.8,1500,1500.0,1500.0,2019-11-23,8.0
84,Anupur,Anuppur,Cabbage,Vegetables,0.4,1500,1500.0,1500.0,2019-11-22,4.0
85,Anupur,Anuppur,Cabbage,Vegetables,0.8,1200,1500.0,1200.0,2019-11-17,8.0
86,Anupur,Anuppur,Cabbage,Vegetables,0.4,1200,1500.0,1200.0,2019-11-16,4.0
87,Anupur,Anuppur,Cabbage,Vegetables,0.8,1200,1500.0,1200.0,2019-11-15,8.0
88,Anupur,Anuppur,Cabbage,Vegetables,0.2,1500,1500.0,1500.0,2019-11-13,2.0
89,Anupur,Anuppur,Cabbage,Vegetables,0.5,1000,1200.0,1200.0,2019-11-06,5.0
90,Anupur,Anuppur,Cabbage,Vegetables,1.3,1000,1500.0,1200.0,2019-11-05,13.0
91,Anupur,Anuppur,Cabbage,Vegetables,0.2,1200,1200.0,1200.0,2019-10-30,2.0
92,Anupur,Anuppur,Cabbage,Vegetables,0.5,1200,1500.0,1500.0,2019-10-23,5.0
93,Anupur,Anuppur,Cabbage,Vegetables,1.4,1500,1500.0,1500.0,2019-10-14,14.0
94,Anupur,Anuppur,Cabbage,Vegetables,0.2,1500,1500.0,1500.0,2019-10-09,2.0
95,Anupur,Anuppur,Cabbage,Vegetables,0.1,1500,1500.0,1500.0,2019-10-04,1.0
96,Anupur,Anuppur,Cabbage,Vegetables,0.2,1000,1000.0,1000.0,2019-09-29,2.0
97,Anupur,Anuppur,Cabbage,Vegetables,0.2,1000,1000.0,1000.0,2019-09-19,2.0
98,Anupur,Anuppur,Cabbage,Vegetables,0.7,500,500.0,500.0,2019-04-26,7.0
99,Anupur,Anuppur,Cabbage,Vegetables,0.7,500,500.0,500.0,2019-04-04,7.0
100,Anupur,Anuppur,Cabbage,Vegetables,0.7,300,300.0,300.0,2019-04-03,7.0
101,Anupur,Anuppur,Cabbage,Vegetables,0.7,400,400.0,400.0,2019-04-02,7.0
102,Anupur,Anuppur,Cabbage,Vegetables,0.5,600,600.0,600.0,2019-03-25,5.0
103,Anupur,Anuppur,Cabbage,Vegetables,0.8,500,0.0,500.0,2019-03-24,8.0
