Both Price And Arrival from 01-Jan-2018 To 31-Dec-2023 Total Arrival- 58855.98,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Anupur,Anuppur,Capsicum,Vegetables,1,2000,2000,2000,13-Jun-22
Madhya Pradesh,Anupur,Anuppur,Capsicum,Vegetables,1,1500,1500,1500,10-Apr-22
Madhya Pradesh,Anupur,Anuppur,Capsicum,Vegetables,0.8,1500,1500,1500,29-Mar-22
Madhya Pradesh,Anupur,Anuppur,Capsicum,Vegetables,1,1500,1500,1500,22-Mar-22
Madhya Pradesh,Anupur,Anuppur,Capsicum,Vegetables,1,1500,1500,1500,10-Mar-22
Madhya Pradesh,Anupur,Anuppur,Capsicum,Vegetables,1,2000,2000,2000,07-Mar-22
Madhya Pradesh,Anupur,Anuppur,Capsicum,Vegetables,1.2,2000,2000,2000,17-Nov-21
Madhya Pradesh,Anupur,Anuppur,Capsicum,Vegetables,0.3,1710,1710,1710,10-Nov-21
Madhya Pradesh,Anupur,Anuppur,Capsicum,Vegetables,0.3,1500,1500,1500,04-Apr-21
Madhya Pradesh,Anupur,Anuppur,Capsicum,Vegetables,0.3,1500,1500,1500,21-Mar-21
Madhya Pradesh,Anupur,Anuppur,Capsicum,Vegetables,0.2,1000,1000,1000,17-Mar-21
Madhya Pradesh,Anupur,Anuppur,Capsicum,Vegetables,0.5,1400,1400,1400,13-Mar-21
Madhya Pradesh,Anupur,Anuppur,Capsicum,Vegetables,0.3,2000,2000,2000,18-Feb-21
Madhya Pradesh,Anupur,Anuppur,Capsicum,Vegetables,0.3,2200,2200,2200,10-Feb-21
Madhya Pradesh,Anupur,Anuppur,Capsicum,Vegetables,0.1,2800,2800,2800,14-Jan-21
Madhya Pradesh,Anupur,Anuppur,Capsicum,Vegetables,0.6,2400,2700,2400,12-Jan-21
Madhya Pradesh,Anupur,Anuppur,Capsicum,Vegetables,0.7,2700,2700,2700,07-Jan-21
Madhya Pradesh,Anupur,Anuppur,Capsicum,Vegetables,0.6,2400,2500,2400,29-Dec-20
