,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Arrivals (Quintals)
0,Anupur,Anuppur,Capsicum,Vegetables,1.0,2000,2000,2000,2022-06-13,10.0
1,Anupur,Anuppur,Capsicum,Vegetables,1.0,1500,1500,1500,2022-04-10,10.0
2,Anupur,Anuppur,Capsicum,Vegetables,0.8,1500,1500,1500,2022-03-29,8.0
3,Anupur,Anuppur,Capsicum,Vegetables,1.0,1500,1500,1500,2022-03-22,10.0
4,Anupur,Anuppur,Capsicum,Vegetables,1.0,1500,1500,1500,2022-03-10,10.0
5,Anupur,Anuppur,Capsicum,Vegetables,1.0,2000,2000,2000,2022-03-07,10.0
6,Anupur,Anuppur,Capsicum,Vegetables,1.2,2000,2000,2000,2021-11-17,12.0
7,Anupur,Anuppur,Capsicum,Vegetables,0.3,1710,1710,1710,2021-11-10,3.0
8,Anupur,Anuppur,Capsicum,Vegetables,0.3,1500,1500,1500,2021-04-04,3.0
9,Anupur,Anuppur,Capsicum,Vegetables,0.3,1500,1500,1500,2021-03-21,3.0
10,Anupur,Anuppur,Capsicum,Vegetables,0.2,1000,1000,1000,2021-03-17,2.0
11,Anupur,Anuppur,Capsicum,Vegetables,0.5,1400,1400,1400,2021-03-13,5.0
12,Anupur,Anuppur,Capsicum,Vegetables,0.3,2000,2000,2000,2021-02-18,3.0
13,Anupur,Anuppur,Capsicum,Vegetables,0.3,2200,2200,2200,2021-02-10,3.0
14,Anupur,Anuppur,Capsicum,Vegetables,0.1,2800,2800,2800,2021-01-14,1.0
15,Anupur,Anuppur,Capsicum,Vegetables,0.6,2400,2700,2400,2021-01-12,6.0
16,Anupur,Anuppur,Capsicum,Vegetables,0.7,2700,2700,2700,2021-01-07,7.0
17,Anupur,Anuppur,Capsicum,Vegetables,0.6,2400,2500,2400,2020-12-29,6.0
18,Anupur,Anuppur,Capsicum,Vegetables,0.3,2700,2700,2700,2020-12-27,3.0
19,Anupur,Anuppur,Capsicum,Vegetables,0.3,2400,2400,2400,2020-12-24,3.0
20,Anupur,Anuppur,Capsicum,Vegetables,0.3,2600,2600,2600,2020-12-23,3.0
21,Anupur,Anuppur,Capsicum,Vegetables,0.3,2200,2200,2200,2020-12-17,3.0
22,Anupur,Anuppur,Capsicum,Vegetables,0.3,2500,2500,2500,2020-12-14,3.0
23,Anupur,Anuppur,Capsicum,Vegetables,0.2,2000,2000,2000,2019-09-08,2.0
24,Anupur,Anuppur,Capsicum,Vegetables,5.0,200,200,200,2019-07-08,50.0
25,Betul,Betul,Capsicum,Vegetables,0.3,1800,2000,2000,2021-03-24,3.0
26,Betul,Betul,Capsicum,Vegetables,0.5,2000,2300,2200,2021-03-18,5.0
27,Betul,Betul,Capsicum,Vegetables,0.7,2000,2500,2000,2021-03-16,7.0
28,Betul,Betul,Capsicum,Vegetables,0.5,3000,3500,3200,2020-11-22,5.0
29,Betul,Betul,Capsicum,Vegetables,1.5,1200,1500,1400,2019-03-17,15.0
30,Betul,Betul,Capsicum,Vegetables,0.4,2000,2200,2000,2019-03-06,4.0
31,Betul,Betul,Capsicum,Vegetables,0.4,2000,2200,2000,2019-03-03,4.0
32,Betul,Betul,Capsicum,Vegetables,0.6,1500,1500,1500,2019-02-13,6.0
33,Betul,Betul,Capsicum,Vegetables,0.5,1400,1600,1500,2019-02-02,5.0
34,Betul,Betul,Capsicum,Vegetables,0.2,1800,1800,1800,2019-02-01,2.0
35,Betul,Betul,Capsicum,Vegetables,0.3,1200,1500,1500,2019-01-14,3.0
36,Betul,Betul,Capsicum,Vegetables,0.2,2000,3000,2500,2018-10-20,2.0
37,Betul,Betul,Capsicum,Vegetables,0.2,1500,1800,1700,2018-10-16,2.0
38,Betul,Betul,Capsicum,Vegetables,0.2,2000,2500,2300,2018-09-25,2.0
39,Betul,Betul,Capsicum,Vegetables,0.5,4000,5000,4500,2018-07-11,5.0
40,Betul,Betul,Capsicum,Vegetables,0.2,4000,5000,4500,2018-06-23,2.0
41,Betul,Betul,Capsicum,Vegetables,0.4,1500,2000,1800,2018-06-15,4.0
42,Betul,Betul,Capsicum,Vegetables,0.1,3000,3500,3200,2018-06-14,1.0
43,Betul,Betul,Capsicum,Vegetables,0.3,3500,4000,3700,2018-06-09,3.0
44,Betul,Betul,Capsicum,Vegetables,0.4,3000,3500,3200,2018-05-16,4.0
45,Betul,Betul,Capsicum,Vegetables,0.4,2000,2500,2300,2018-05-11,4.0
46,Betul,Betul,Capsicum,Vegetables,0.8,3000,3500,3300,2018-05-09,8.0
47,Betul,Betul,Capsicum,Vegetables,0.4,2000,2500,2300,2018-05-03,4.0
48,Betul,Betul,Capsicum,Vegetables,0.2,2000,2500,2300,2018-05-02,2.0
49,Betul,Betul,Capsicum,Vegetables,0.4,1500,1700,1600,2018-04-27,4.0
50,Betul,Betul,Capsicum,Vegetables,0.2,1500,2000,1800,2018-04-19,2.0
51,Betul,Betul,Capsicum,Vegetables,0.2,1500,2000,1800,2018-04-04,2.0
52,Betul,Betul,Capsicum,Vegetables,0.4,1000,1500,1200,2018-03-21,4.0
53,Betul,Betul,Capsicum,Vegetables,0.3,1000,1500,1100,2018-03-20,3.0
54,Betul,Betul,Capsicum,Vegetables,0.4,1500,2000,1700,2018-03-08,4.0
55,Betul,Betul,Capsicum,Vegetables,0.6,1500,2000,1700,2018-03-07,6.0
56,Betul,Betul,Capsicum,Vegetables,0.4,2000,2500,2200,2018-02-20,4.0
57,Betul,Betul,Capsicum,Vegetables,0.2,2000,2500,2200,2018-02-08,2.0
58,Betul,Betul,Capsicum,Vegetables,0.5,2000,2500,2200,2018-02-07,5.0
59,Betul,Betul,Capsicum,Vegetables,0.2,2000,2500,2200,2018-01-30,2.0
60,Betul,Betul,Capsicum,Vegetables,0.4,2500,3000,2700,2018-01-13,4.0
