,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Arrivals (Quintals)
0,Anupur,Anuppur,Carrot,Vegetables,3.0,900,900,900,2023-03-25,30.0
1,Anupur,Anuppur,Carrot,Vegetables,1.0,1000,1000,1000,2022-06-19,10.0
2,Anupur,Anuppur,Carrot,Vegetables,2.0,1000,1000,1000,2022-06-18,20.0
3,Anupur,Anuppur,Carrot,Vegetables,1.0,1700,1700,1700,2022-03-14,10.0
4,Anupur,Anuppur,Carrot,Vegetables,1.0,1000,1000,1000,2022-03-11,10.0
5,Anupur,Anuppur,Carrot,Vegetables,2.0,1000,1000,1000,2022-03-01,20.0
6,Anupur,Anuppur,Carrot,Vegetables,0.2,1200,1200,1200,2022-02-01,2.0
7,Anupur,Anuppur,Carrot,Vegetables,0.6,900,900,900,2021-04-14,6.0
8,Anupur,Anuppur,Carrot,Vegetables,0.3,900,900,900,2021-04-04,3.0
9,Anupur,Anuppur,Carrot,Vegetables,0.3,900,900,900,2021-03-31,3.0
10,Anupur,Anuppur,Carrot,Vegetables,0.6,900,900,900,2021-03-22,6.0
11,Anupur,Anuppur,Carrot,Vegetables,0.2,900,900,900,2021-03-21,2.0
12,Anupur,Anuppur,Carrot,Vegetables,0.9,905,1000,1000,2021-03-20,9.0
13,Anupur,Anuppur,Carrot,Vegetables,0.3,1000,1000,1000,2021-03-19,3.0
14,Anupur,Anuppur,Carrot,Vegetables,0.5,900,950,900,2021-03-17,5.0
15,Anupur,Anuppur,Carrot,Vegetables,0.2,900,900,900,2021-03-16,2.0
16,Anupur,Anuppur,Carrot,Vegetables,0.8,900,900,900,2021-03-13,8.0
17,Anupur,Anuppur,Carrot,Vegetables,0.7,900,900,900,2021-03-12,7.0
18,Anupur,Anuppur,Carrot,Vegetables,1.0,950,950,950,2021-03-11,10.0
19,Anupur,Anuppur,Carrot,Vegetables,0.6,1000,1000,1000,2021-03-10,6.0
20,Anupur,Anuppur,Carrot,Vegetables,0.8,1000,1000,1000,2021-03-09,8.0
21,Anupur,Anuppur,Carrot,Vegetables,0.5,900,900,900,2021-03-08,5.0
22,Anupur,Anuppur,Carrot,Vegetables,1.0,800,1000,1000,2021-03-07,10.0
23,Anupur,Anuppur,Carrot,Vegetables,1.1,900,900,900,2021-03-06,11.0
24,Anupur,Anuppur,Carrot,Vegetables,1.2,900,1000,900,2021-03-05,12.0
25,Anupur,Anuppur,Carrot,Vegetables,0.4,850,850,850,2021-02-28,4.0
