Both Price And Arrival from 01-Jan-2016 To 31-Dec-2023 Total Arrival- 1.84,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.04,3360,3450,3390,23-Feb-18
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.06,3185,3440,3260,22-Feb-18
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.06,3300,3400,3370,21-Feb-18
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.03,3325,3400,3350,13-Feb-18
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.02,3332,3334,3333,12-Jan-18
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.1,3300,3400,3360,09-Jan-18
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.03,3340,3400,3370,02-Jan-18
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.01,3300,3300,3300,01-Jan-18
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.01,3400,3450,3410,21-Dec-17
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.01,3450,3495,3470,20-Dec-17
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.08,3060,3300,3200,07-Oct-17
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.03,3200,3310,3250,30-Aug-17
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.02,3280,3285,3283,29-Aug-17
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.03,3190,3225,3200,28-Aug-17
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.12,3144,3260,3200,21-Aug-17
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.04,3005,3152,3050,22-Jul-17
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.05,2960,3025,3000,20-Jul-17
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.03,2780,3010,2990,19-Jul-17
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.11,2980,3340,3000,18-Jul-17
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.02,3010,3180,3100,15-Jul-17
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.04,2990,3020,3000,14-Jul-17
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.05,2875,3015,2900,11-Jul-17
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.03,2975,3000,2990,10-Jul-17
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.01,2922,3012,2950,01-Jun-17
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.01,2895,3072,2900,30-May-17
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.01,2891,3068,2900,29-May-17
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.08,3100,3150,3120,19-May-17
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.05,3050,3110,3090,18-May-17
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.03,3100,3100,3100,17-May-17
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.03,3325,3336,3328,28-Jan-17
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.01,3325,3325,3325,27-Jan-17
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.16,3011,3900,3500,17-Oct-16
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.01,3700,3891,3750,15-Oct-16
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.01,3676,3800,3700,13-Oct-16
Madhya Pradesh,Panna,Devandranagar,Other,Oils and Fats,0.02,6402,6402,6402,30-Jul-16
