,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Arrivals (Quintals)
0,Panna,Devandranagar,Other,Oils and Fats,0.04,3360,3450,3390,2018-02-23,0.4
1,Panna,Devandranagar,Other,Oils and Fats,0.06,3185,3440,3260,2018-02-22,0.6
2,Panna,Devandranagar,Other,Oils and Fats,0.06,3300,3400,3370,2018-02-21,0.6
3,Panna,Devandranagar,Other,Oils and Fats,0.03,3325,3400,3350,2018-02-13,0.3
4,Panna,Devandranagar,Other,Oils and Fats,0.02,3332,3334,3333,2018-01-12,0.2
5,Panna,Devandranagar,Other,Oils and Fats,0.1,3300,3400,3360,2018-01-09,1.0
6,Panna,Devandranagar,Other,Oils and Fats,0.03,3340,3400,3370,2018-01-02,0.3
7,Panna,Devandranagar,Other,Oils and Fats,0.01,3300,3300,3300,2018-01-01,0.1
8,Panna,Devandranagar,Other,Oils and Fats,0.01,3400,3450,3410,2017-12-21,0.1
9,Panna,Devandranagar,Other,Oils and Fats,0.01,3450,3495,3470,2017-12-20,0.1
10,Panna,Devandranagar,Other,Oils and Fats,0.08,3060,3300,3200,2017-10-07,0.8
11,Panna,Devandranagar,Other,Oils and Fats,0.03,3200,3310,3250,2017-08-30,0.3
12,Panna,Devandranagar,Other,Oils and Fats,0.02,3280,3285,3283,2017-08-29,0.2
13,Panna,Devandranagar,Other,Oils and Fats,0.03,3190,3225,3200,2017-08-28,0.3
14,Panna,Devandranagar,Other,Oils and Fats,0.12,3144,3260,3200,2017-08-21,1.2
15,Panna,Devandranagar,Other,Oils and Fats,0.04,3005,3152,3050,2017-07-22,0.4
16,Panna,Devandranagar,Other,Oils and Fats,0.05,2960,3025,3000,2017-07-20,0.5
17,Panna,Devandranagar,Other,Oils and Fats,0.03,2780,3010,2990,2017-07-19,0.3
18,Panna,Devandranagar,Other,Oils and Fats,0.11,2980,3340,3000,2017-07-18,1.1
19,Panna,Devandranagar,Other,Oils and Fats,0.02,3010,3180,3100,2017-07-15,0.2
20,Panna,Devandranagar,Other,Oils and Fats,0.04,2990,3020,3000,2017-07-14,0.4
21,Panna,Devandranagar,Other,Oils and Fats,0.05,2875,3015,2900,2017-07-11,0.5
22,Panna,Devandranagar,Other,Oils and Fats,0.03,2975,3000,2990,2017-07-10,0.3
23,Panna,Devandranagar,Other,Oils and Fats,0.01,2922,3012,2950,2017-06-01,0.1
24,Panna,Devandranagar,Other,Oils and Fats,0.01,2895,3072,2900,2017-05-30,0.1
25,Panna,Devandranagar,Other,Oils and Fats,0.01,2891,3068,2900,2017-05-29,0.1
26,Panna,Devandranagar,Other,Oils and Fats,0.08,3100,3150,3120,2017-05-19,0.8
27,Panna,Devandranagar,Other,Oils and Fats,0.05,3050,3110,3090,2017-05-18,0.5
28,Panna,Devandranagar,Other,Oils and Fats,0.03,3100,3100,3100,2017-05-17,0.3
29,Panna,Devandranagar,Other,Oils and Fats,0.03,3325,3336,3328,2017-01-28,0.3
30,Panna,Devandranagar,Other,Oils and Fats,0.01,3325,3325,3325,2017-01-27,0.1
31,Panna,Devandranagar,Other,Oils and Fats,0.16,3011,3900,3500,2016-10-17,1.6
32,Panna,Devandranagar,Other,Oils and Fats,0.01,3700,3891,3750,2016-10-15,0.1
33,Panna,Devandranagar,Other,Oils and Fats,0.01,3676,3800,3700,2016-10-13,0.1
34,Panna,Devandranagar,Other,Oils and Fats,0.02,6402,6402,6402,2016-07-30,0.2
35,Panna,Devandranagar,Other,Oils and Fats,0.01,3655,3655,3655,2016-05-20,0.1
36,Panna,Devandranagar,Other,Oils and Fats,0.01,3500,3660,3570,2016-05-07,0.1
37,Panna,Devandranagar,Other,Oils and Fats,0.01,3375,3771,3550,2016-05-05,0.1
38,Panna,Devandranagar,Other,Oils and Fats,0.01,3270,3365,3310,2016-05-03,0.1
39,Panna,Devandranagar,Other,Oils and Fats,0.01,3756,3756,3756,2016-04-30,0.1
40,Panna,Devandranagar,Other,Oils and Fats,0.01,3730,3741,3737,2016-04-29,0.1
41,Panna,Devandranagar,Other,Oils and Fats,0.01,3500,3500,3500,2016-04-23,0.1
42,Panna,Devandranagar,Other,Oils and Fats,0.15,3500,3696,3580,2016-04-22,1.5
43,Panna,Devandranagar,Other,Oils and Fats,0.01,3251,3740,3547,2016-04-20,0.1
44,Panna,Devandranagar,Other,Oils and Fats,0.03,3321,4149,3400,2016-04-09,0.3
45,Panna,Devandranagar,Other,Oils and Fats,0.01,3700,3762,3750,2016-04-08,0.1
46,Panna,Devandranagar,Other,Oils and Fats,0.01,3380,3726,3490,2016-04-07,0.1
47,Panna,Devandranagar,Other,Oils and Fats,0.01,3500,3591,3510,2016-04-05,0.1
48,Panna,Devandranagar,Other,Oils and Fats,0.04,3421,3725,3600,2016-04-04,0.4
49,Panna,Devandranagar,Other,Oils and Fats,0.01,3586,3617,3590,2016-04-02,0.1
50,Panna,Devandranagar,Other,Oils and Fats,0.01,3180,3650,3200,2016-04-01,0.1
51,Panna,Devandranagar,Other,Oils and Fats,0.01,3130,3251,3190,2016-03-31,0.1
52,Panna,Devandranagar,Other,Oils and Fats,0.03,3165,3400,3200,2016-03-30,0.3
