Both Price And Arrival from 01-Jan-2016 To 31-Dec-2023 Total Arrival- 20645.82,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Panna,Ajaygarh,Castor seed,Oil Seeds,8.8,4000,4200,4100,25-Jun-19
Madhya Pradesh,Panna,Ajaygarh,Castor seed,Oil Seeds,14,3800,3825,3815,24-Jun-19
Madhya Pradesh,Panna,Ajaygarh,Castor seed,Oil Seeds,3.4,3600,3650,3600,10-Dec-18
Madhya Pradesh,Panna,Ajaygarh,Castor seed,Oil Seeds,5,3650,3750,3700,08-Dec-18
Madhya Pradesh,Panna,Ajaygarh,Castor seed,Oil Seeds,5,3600,3620,3610,04-Dec-18
Madhya Pradesh,Panna,Ajaygarh,Castor seed,Oil Seeds,8.1,3150,3270,3210,27-Sep-18
Madhya Pradesh,Panna,Ajaygarh,Castor seed,Oil Seeds,7,2470,2515,2500,09-Jun-18
Madhya Pradesh,Panna,Ajaygarh,Castor seed,Oil Seeds,6.3,2450,2600,2510,08-Jun-18
Madhya Pradesh,Panna,Ajaygarh,Castor seed,Oil Seeds,0.8,3200,3200,3200,21-Oct-17
Madhya Pradesh,Panna,Ajaygarh,Castor seed,Oil Seeds,3.5,3010,3025,3015,16-Oct-17
Madhya Pradesh,Panna,Ajaygarh,Castor seed,Oil Seeds,5.9,3000,3025,3010,14-Oct-17
Madhya Pradesh,Panna,Ajaygarh,Castor seed,Oil Seeds,7.4,3000,3025,3025,12-Oct-17
Madhya Pradesh,Badwani,Anjad,Castor seed,Oil Seeds,85,3000,5000,3000,26-Aug-22
Madhya Pradesh,Badwani,Anjad,Castor seed,Oil Seeds,14,4000,4000,4000,17-Sep-19
Madhya Pradesh,Badwani,Anjad,Castor seed,Oil Seeds,220.5,4000,4160,4160,19-Aug-18
Madhya Pradesh,Badwani,Anjad,Castor seed,Oil Seeds,216,4000,4175,4100,11-Aug-18
Madhya Pradesh,Badwani,Anjad,Castor seed,Oil Seeds,102,1950,2050,2000,31-Mar-18
Madhya Pradesh,Badwani,Anjad,Castor seed,Oil Seeds,170,3750,3750,3750,09-Sep-17
Madhya Pradesh,Badwani,Anjad,Castor seed,Oil Seeds,170,3700,3700,3700,05-Sep-17
Madhya Pradesh,Badwani,Badwani,Castor seed,Oil Seeds,10,4000,4000,4000,10-Oct-23
Madhya Pradesh,Badwani,Badwani,Castor seed,Oil Seeds,17,4500,4500,4500,08-Jun-19
Madhya Pradesh,Badwani,Badwani,Castor seed,Oil Seeds,9.2,4500,4500,4500,31-May-19
Madhya Pradesh,Badwani,Badwani,Castor seed,Oil Seeds,15,2500,2500,2500,11-Jul-18
Madhya Pradesh,Badwani,Badwani,Castor seed,Oil Seeds,157,2500,2500,2500,16-Apr-18
Madhya Pradesh,Badwani,Badwani,Castor seed,Oil Seeds,31,4000,4000,4000,22-May-16
Madhya Pradesh,Badwani,Badwani,Castor seed,Oil Seeds,45.5,2800,2800,2800,26-Apr-16
Madhya Pradesh,Khargone,Bhikangaon,Castor seed,Oil Seeds,7.2,4656,4725,4688,13-Feb-19
Madhya Pradesh,Chhindwara,Chhindwara,Caster,Oil Seeds,3.7,4800,4800,4800,01-Aug-19
Madhya Pradesh,Chhindwara,Chhindwara,Caster,Oil Seeds,2.5,4440,4460,4450,15-Jul-19
Madhya Pradesh,Chhindwara,Chhindwara,Caster,Oil Seeds,5.1,4450,4550,4500,09-Jul-19
Madhya Pradesh,Chhindwara,Chhindwara,Caster,Oil Seeds,6.1,4700,4800,4800,21-Jun-19
Madhya Pradesh,Chhindwara,Chhindwara,Caster,Oil Seeds,6.1,4800,4820,4800,07-Jun-19
Madhya Pradesh,Chhindwara,Chhindwara,Caster,Oil Seeds,3.6,4704,4707,4707,10-May-19
Madhya Pradesh,Chhindwara,Chhindwara,Caster,Oil Seeds,39,3476,3479,3479,07-Sep-18
Madhya Pradesh,Chhindwara,Chhindwara,Caster,Oil Seeds,60,3400,3450,3425,29-Jun-18
Madhya Pradesh,Chhindwara,Chhindwara,Caster,Oil Seeds,18,3450,3450,3450,19-Jun-18
Madhya Pradesh,Chhindwara,Chhindwara,Caster,Oil Seeds,79,3200,3340,3280,18-Jun-18
Madhya Pradesh,Dewas,Dewas,Other,Oil Seeds,0.9,2901,2901,2901,21-Jun-23
Madhya Pradesh,Dewas,Dewas,Other,Oil Seeds,0.31,2901,2901,2901,05-Jun-23
Madhya Pradesh,Dewas,Dewas,Other,Oil Seeds,0.83,2951,2951,2951,12-May-23
