,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Arrivals (Quintals)
0,Panna,Ajaygarh,Castor seed,Oil Seeds,8.8,4000,4200,4100,2019-06-25,88.0
1,Panna,Ajaygarh,Castor seed,Oil Seeds,14.0,3800,3825,3815,2019-06-24,140.0
2,Panna,Ajaygarh,Castor seed,Oil Seeds,3.4,3600,3650,3600,2018-12-10,34.0
3,Panna,Ajaygarh,Castor seed,Oil Seeds,5.0,3650,3750,3700,2018-12-08,50.0
4,Panna,Ajaygarh,Castor seed,Oil Seeds,5.0,3600,3620,3610,2018-12-04,50.0
5,Panna,Ajaygarh,Castor seed,Oil Seeds,8.1,3150,3270,3210,2018-09-27,81.0
6,Panna,Ajaygarh,Castor seed,Oil Seeds,7.0,2470,2515,2500,2018-06-09,70.0
7,Panna,Ajaygarh,Castor seed,Oil Seeds,6.3,2450,2600,2510,2018-06-08,63.0
8,Panna,Ajaygarh,Castor seed,Oil Seeds,0.8,3200,3200,3200,2017-10-21,8.0
9,Panna,Ajaygarh,Castor seed,Oil Seeds,3.5,3010,3025,3015,2017-10-16,35.0
10,Panna,Ajaygarh,Castor seed,Oil Seeds,5.9,3000,3025,3010,2017-10-14,59.0
11,Panna,Ajaygarh,Castor seed,Oil Seeds,7.4,3000,3025,3025,2017-10-12,74.0
12,Badwani,Anjad,Castor seed,Oil Seeds,85.0,3000,5000,3000,2022-08-26,850.0
13,Badwani,Anjad,Castor seed,Oil Seeds,14.0,4000,4000,4000,2019-09-17,140.0
14,Badwani,Anjad,Castor seed,Oil Seeds,220.5,4000,4160,4160,2018-08-19,2205.0
15,Badwani,Anjad,Castor seed,Oil Seeds,216.0,4000,4175,4100,2018-08-11,2160.0
16,Badwani,Anjad,Castor seed,Oil Seeds,102.0,1950,2050,2000,2018-03-31,1020.0
17,Badwani,Anjad,Castor seed,Oil Seeds,170.0,3750,3750,3750,2017-09-09,1700.0
18,Badwani,Anjad,Castor seed,Oil Seeds,170.0,3700,3700,3700,2017-09-05,1700.0
19,Badwani,Badwani,Castor seed,Oil Seeds,10.0,4000,4000,4000,2023-10-10,100.0
20,Badwani,Badwani,Castor seed,Oil Seeds,17.0,4500,4500,4500,2019-06-08,170.0
21,Badwani,Badwani,Castor seed,Oil Seeds,9.2,4500,4500,4500,2019-05-31,92.0
22,Badwani,Badwani,Castor seed,Oil Seeds,15.0,2500,2500,2500,2018-07-11,150.0
23,Badwani,Badwani,Castor seed,Oil Seeds,157.0,2500,2500,2500,2018-04-16,1570.0
24,Badwani,Badwani,Castor seed,Oil Seeds,31.0,4000,4000,4000,2016-05-22,310.0
25,Badwani,Badwani,Castor seed,Oil Seeds,45.5,2800,2800,2800,2016-04-26,455.0
26,Khargone,Bhikangaon,Castor seed,Oil Seeds,7.2,4656,4725,4688,2019-02-13,72.0
27,Chhindwara,Chhindwara,Caster,Oil Seeds,3.7,4800,4800,4800,2019-08-01,37.0
28,Chhindwara,Chhindwara,Caster,Oil Seeds,2.5,4440,4460,4450,2019-07-15,25.0
29,Chhindwara,Chhindwara,Caster,Oil Seeds,5.1,4450,4550,4500,2019-07-09,51.0
30,Chhindwara,Chhindwara,Caster,Oil Seeds,6.1,4700,4800,4800,2019-06-21,61.0
31,Chhindwara,Chhindwara,Caster,Oil Seeds,6.1,4800,4820,4800,2019-06-07,61.0
32,Chhindwara,Chhindwara,Caster,Oil Seeds,3.6,4704,4707,4707,2019-05-10,36.0
33,Chhindwara,Chhindwara,Caster,Oil Seeds,39.0,3476,3479,3479,2018-09-07,390.0
34,Chhindwara,Chhindwara,Caster,Oil Seeds,60.0,3400,3450,3425,2018-06-29,600.0
35,Chhindwara,Chhindwara,Caster,Oil Seeds,18.0,3450,3450,3450,2018-06-19,180.0
36,Chhindwara,Chhindwara,Caster,Oil Seeds,79.0,3200,3340,3280,2018-06-18,790.0
37,Dewas,Dewas,Other,Oil Seeds,0.9,2901,2901,2901,2023-06-21,9.0
38,Dewas,Dewas,Other,Oil Seeds,0.31,2901,2901,2901,2023-06-05,3.1
39,Dewas,Dewas,Other,Oil Seeds,0.83,2951,2951,2951,2023-05-12,8.299999999999999
40,Dewas,Dewas,Other,Oil Seeds,0.9,5770,5770,5770,2022-12-30,9.0
