Both Price And Arrival from 01-Jan-2018 To 31-Dec-2023 Total Arrival- 6041.73,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,30,4700,4700,4700,16-Apr-23
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,30,4550,4900,4900,15-Apr-23
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,138,5335,5335,5335,14-Apr-23
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,249.5,5335,5335,5335,13-Apr-23
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,93.2,5335,5335,5335,12-Apr-23
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,339.5,5335,5335,5335,11-Apr-23
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,367,5010,5225,5225,10-Apr-23
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,365.4,4500,5225,4700,08-Apr-23
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,340.2,4850,5200,5200,06-Apr-23
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,418.2,5335,5335,5335,05-Apr-23
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,40,4800,4800,4800,04-Apr-23
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,80.9,4975,4975,4975,03-Apr-23
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,47,5200,5200,5200,01-Apr-23
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,575.2,4545,5120,4545,31-Mar-23
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,99.2,5200,5200,5200,30-Mar-23
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,253.4,4400,5000,5000,29-Mar-23
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,120,4500,5000,4980,27-Mar-23
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,178.3,4400,4900,4500,25-Mar-23
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,65,4400,4500,4500,24-Mar-23
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,15,4500,4500,4500,23-Mar-23
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,9.96,4300,4500,4500,21-Mar-23
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,40,4300,4300,4300,20-Mar-23
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,391.8,4300,4850,4600,18-Mar-23
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,38,4200,4200,4200,16-Mar-23
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,5.1,4800,4800,4800,15-Mar-23
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,362.3,4500,4800,4700,13-Mar-23
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,52,4100,4400,4100,11-Mar-23
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,101.6,4905,4905,4905,10-Mar-23
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,54.11,3800,3850,3825,27-Feb-19
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,15.6,3825,3825,3825,25-Feb-19
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,29.7,3850,4000,3925,22-Feb-19
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,16.75,3850,3850,3850,20-Feb-19
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,10.4,3850,3850,3850,18-Feb-19
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,6.74,3850,3850,3850,17-Feb-19
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,10.52,3850,3850,3850,15-Feb-19
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,27.51,4000,4000,4000,06-Feb-19
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,100,4400,4500,4450,28-Jan-19
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,10.9,4000,4200,4100,03-Dec-18
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,60,3600,4000,3800,02-Dec-18
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,83.2,4000,5000,4500,19-Nov-18
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,54.86,3500,4000,3700,18-Nov-18
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,12.48,4000,5000,4500,17-Nov-18
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,257.1,3500,4500,4000,12-Nov-18
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,91,3250,3500,3400,27-Sep-18
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,31,3000,3000,3000,26-Sep-18
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,162,3550,3550,3550,06-Sep-18
Madhya Pradesh,Jhabua,Thandla,Chennangi (W),Pulses,162.1,3550,3550,3550,04-Sep-18
