,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Arrivals (Quintals)
0,Jhabua,Thandla,Chennangi (W),Pulses,30.0,4700,4700,4700,2023-04-16,300.0
1,Jhabua,Thandla,Chennangi (W),Pulses,30.0,4550,4900,4900,2023-04-15,300.0
2,Jhabua,Thandla,Chennangi (W),Pulses,138.0,5335,5335,5335,2023-04-14,1380.0
3,Jhabua,Thandla,Chennangi (W),Pulses,249.5,5335,5335,5335,2023-04-13,2495.0
4,Jhabua,Thandla,Chennangi (W),Pulses,93.2,5335,5335,5335,2023-04-12,932.0
5,Jhabua,Thandla,Chennangi (W),Pulses,339.5,5335,5335,5335,2023-04-11,3395.0
6,Jhabua,Thandla,Chennangi (W),Pulses,367.0,5010,5225,5225,2023-04-10,3670.0
7,Jhabua,Thandla,Chennangi (W),Pulses,365.4,4500,5225,4700,2023-04-08,3654.0
8,Jhabua,Thandla,Chennangi (W),Pulses,340.2,4850,5200,5200,2023-04-06,3402.0
9,Jhabua,Thandla,Chennangi (W),Pulses,418.2,5335,5335,5335,2023-04-05,4182.0
10,Jhabua,Thandla,Chennangi (W),Pulses,40.0,4800,4800,4800,2023-04-04,400.0
11,Jhabua,Thandla,Chennangi (W),Pulses,80.9,4975,4975,4975,2023-04-03,809.0
12,Jhabua,Thandla,Chennangi (W),Pulses,47.0,5200,5200,5200,2023-04-01,470.0
13,Jhabua,Thandla,Chennangi (W),Pulses,575.2,4545,5120,4545,2023-03-31,5752.0
14,Jhabua,Thandla,Chennangi (W),Pulses,99.2,5200,5200,5200,2023-03-30,992.0
15,Jhabua,Thandla,Chennangi (W),Pulses,253.4,4400,5000,5000,2023-03-29,2534.0
16,Jhabua,Thandla,Chennangi (W),Pulses,120.0,4500,5000,4980,2023-03-27,1200.0
17,Jhabua,Thandla,Chennangi (W),Pulses,178.3,4400,4900,4500,2023-03-25,1783.0
18,Jhabua,Thandla,Chennangi (W),Pulses,65.0,4400,4500,4500,2023-03-24,650.0
19,Jhabua,Thandla,Chennangi (W),Pulses,15.0,4500,4500,4500,2023-03-23,150.0
20,Jhabua,Thandla,Chennangi (W),Pulses,9.96,4300,4500,4500,2023-03-21,99.60000000000001
21,Jhabua,Thandla,Chennangi (W),Pulses,40.0,4300,4300,4300,2023-03-20,400.0
22,Jhabua,Thandla,Chennangi (W),Pulses,391.8,4300,4850,4600,2023-03-18,3918.0
23,Jhabua,Thandla,Chennangi (W),Pulses,38.0,4200,4200,4200,2023-03-16,380.0
24,Jhabua,Thandla,Chennangi (W),Pulses,5.1,4800,4800,4800,2023-03-15,51.0
25,Jhabua,Thandla,Chennangi (W),Pulses,362.3,4500,4800,4700,2023-03-13,3623.0
26,Jhabua,Thandla,Chennangi (W),Pulses,52.0,4100,4400,4100,2023-03-11,520.0
27,Jhabua,Thandla,Chennangi (W),Pulses,101.6,4905,4905,4905,2023-03-10,1016.0
28,Jhabua,Thandla,Chennangi (W),Pulses,54.11,3800,3850,3825,2019-02-27,541.1
29,Jhabua,Thandla,Chennangi (W),Pulses,15.6,3825,3825,3825,2019-02-25,156.0
30,Jhabua,Thandla,Chennangi (W),Pulses,29.7,3850,4000,3925,2019-02-22,297.0
31,Jhabua,Thandla,Chennangi (W),Pulses,16.75,3850,3850,3850,2019-02-20,167.5
32,Jhabua,Thandla,Chennangi (W),Pulses,10.4,3850,3850,3850,2019-02-18,104.0
33,Jhabua,Thandla,Chennangi (W),Pulses,6.74,3850,3850,3850,2019-02-17,67.4
34,Jhabua,Thandla,Chennangi (W),Pulses,10.52,3850,3850,3850,2019-02-15,105.19999999999999
35,Jhabua,Thandla,Chennangi (W),Pulses,27.51,4000,4000,4000,2019-02-06,275.1
36,Jhabua,Thandla,Chennangi (W),Pulses,100.0,4400,4500,4450,2019-01-28,1000.0
37,Jhabua,Thandla,Chennangi (W),Pulses,10.9,4000,4200,4100,2018-12-03,109.0
38,Jhabua,Thandla,Chennangi (W),Pulses,60.0,3600,4000,3800,2018-12-02,600.0
39,Jhabua,Thandla,Chennangi (W),Pulses,83.2,4000,5000,4500,2018-11-19,832.0
40,Jhabua,Thandla,Chennangi (W),Pulses,54.86,3500,4000,3700,2018-11-18,548.6
41,Jhabua,Thandla,Chennangi (W),Pulses,12.48,4000,5000,4500,2018-11-17,124.80000000000001
42,Jhabua,Thandla,Chennangi (W),Pulses,257.1,3500,4500,4000,2018-11-12,2571.0
43,Jhabua,Thandla,Chennangi (W),Pulses,91.0,3250,3500,3400,2018-09-27,910.0
44,Jhabua,Thandla,Chennangi (W),Pulses,31.0,3000,3000,3000,2018-09-26,310.0
45,Jhabua,Thandla,Chennangi (W),Pulses,162.0,3550,3550,3550,2018-09-06,1620.0
46,Jhabua,Thandla,Chennangi (W),Pulses,162.1,3550,3550,3550,2018-09-04,1621.0
