,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Arrivals (Quintals)
0,Badwani,Balwadi,Gram Kata,Pulses,47.22,3190,3220,3204,2018-07-10,472.2
1,Mandsaur,Garoth,Chennangi Dal,Pulses,5.0,4400,4470,4450,2022-05-19,50.0
2,Mandsaur,Garoth,Chennangi Dal,Pulses,5.0,4400,4670,4500,2022-03-31,50.0
3,Mandsaur,Garoth,Chennangi Dal,Pulses,7.55,3700,3925,3800,2019-11-21,75.5
4,Mandsaur,Garoth,Chennangi Dal,Pulses,10.3,3500,3930,3800,2019-11-16,103.0
5,Mandsaur,Garoth,Chennangi Dal,Pulses,9.33,3750,3950,3800,2019-11-07,93.3
6,Mandsaur,Garoth,Chennangi Dal,Pulses,3.27,3690,3811,3780,2019-10-14,32.7
7,Mandsaur,Garoth,Chennangi Dal,Pulses,13.75,3500,3650,3600,2019-08-30,137.5
8,Mandsaur,Garoth,Chennangi Dal,Pulses,22.16,3700,3825,3800,2019-08-29,221.6
9,Mandsaur,Garoth,Chennangi Dal,Pulses,15.47,3700,3850,3800,2019-08-28,154.70000000000002
10,Mandsaur,Garoth,Chennangi Dal,Pulses,21.25,3700,3900,3800,2019-08-27,212.5
11,Mandsaur,Garoth,Chennangi Dal,Pulses,6.58,3700,3900,3800,2019-08-26,65.8
12,Mandsaur,Garoth,Chennangi Dal,Pulses,8.18,3700,3900,3800,2019-08-24,81.8
13,Mandsaur,Garoth,Chennangi Dal,Pulses,13.16,3500,3925,3800,2019-08-22,131.6
14,Mandsaur,Garoth,Chennangi Dal,Pulses,9.9,3800,3925,3900,2019-08-13,99.0
15,Mandsaur,Garoth,Chennangi Dal,Pulses,6.24,3600,3711,3680,2019-08-05,62.400000000000006
16,Mandsaur,Garoth,Chennangi Dal,Pulses,6.31,3500,3850,3800,2019-07-30,63.099999999999994
17,Mandsaur,Garoth,Chennangi Dal,Pulses,5.24,3700,3845,3800,2019-07-22,52.400000000000006
18,Mandsaur,Garoth,Chennangi Dal,Pulses,1.35,4125,4125,4125,2019-06-10,13.5
19,Mandsaur,Garoth,Chennangi Dal,Pulses,7.3,4620,4620,4620,2019-06-06,73.0
20,Mandsaur,Garoth,Chennangi Dal,Pulses,10.2,4620,4620,4620,2019-06-05,102.0
21,Mandsaur,Garoth,Chennangi Dal,Pulses,9.8,4620,4620,4620,2019-05-31,98.0
22,Mandsaur,Garoth,Chennangi Dal,Pulses,31.9,4620,4620,4620,2019-05-30,319.0
23,Mandsaur,Garoth,Chennangi Dal,Pulses,33.4,4620,4620,4620,2019-05-29,334.0
