Both Price And Arrival from 01-Jan-2018 To 31-Dec-2023 Total Arrival- 6261.19,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,9,2000,3000,2500,20-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,9,2000,3000,2500,19-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,10,2000,3000,2500,18-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,8,2000,4000,3000,15-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,9,2000,3000,2500,14-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,17,1000,3000,2000,13-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,9,2000,3000,2500,12-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,9,2000,3000,2500,05-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,7,2000,3000,2500,04-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,8,2000,3000,2000,03-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,8,2000,3000,2500,01-Dec-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,8,2000,3000,2500,30-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,8,2000,3000,2500,27-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,3,1500,3000,2000,24-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,8,2000,3000,2500,23-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,8,1500,3000,2000,22-Nov-23
Madhya Pradesh,Bhopal,Bhopal(F&V),Other,Fruits,8,2000,4000,3000,21-Nov-23
