,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Arrivals (Quintals)
0,Bhopal,Bhopal(F&V),Other,Fruits,9.0,2000,3000,2500,2023-12-20,90.0
1,Bhopal,Bhopal(F&V),Other,Fruits,9.0,2000,3000,2500,2023-12-19,90.0
2,Bhopal,Bhopal(F&V),Other,Fruits,10.0,2000,3000,2500,2023-12-18,100.0
3,Bhopal,Bhopal(F&V),Other,Fruits,8.0,2000,4000,3000,2023-12-15,80.0
4,Bhopal,Bhopal(F&V),Other,Fruits,9.0,2000,3000,2500,2023-12-14,90.0
5,Bhopal,Bhopal(F&V),Other,Fruits,17.0,1000,3000,2000,2023-12-13,170.0
6,Bhopal,Bhopal(F&V),Other,Fruits,9.0,2000,3000,2500,2023-12-12,90.0
7,Bhopal,Bhopal(F&V),Other,Fruits,9.0,2000,3000,2500,2023-12-05,90.0
8,Bhopal,Bhopal(F&V),Other,Fruits,7.0,2000,3000,2500,2023-12-04,70.0
9,Bhopal,Bhopal(F&V),Other,Fruits,8.0,2000,3000,2000,2023-12-03,80.0
10,Bhopal,Bhopal(F&V),Other,Fruits,8.0,2000,3000,2500,2023-12-01,80.0
11,Bhopal,Bhopal(F&V),Other,Fruits,8.0,2000,3000,2500,2023-11-30,80.0
12,Bhopal,Bhopal(F&V),Other,Fruits,8.0,2000,3000,2500,2023-11-27,80.0
13,Bhopal,Bhopal(F&V),Other,Fruits,3.0,1500,3000,2000,2023-11-24,30.0
14,Bhopal,Bhopal(F&V),Other,Fruits,8.0,2000,3000,2500,2023-11-23,80.0
15,Bhopal,Bhopal(F&V),Other,Fruits,8.0,1500,3000,2000,2023-11-22,80.0
16,Bhopal,Bhopal(F&V),Other,Fruits,8.0,2000,4000,3000,2023-11-21,80.0
17,Bhopal,Bhopal(F&V),Other,Fruits,7.0,1500,3000,2000,2023-11-20,70.0
18,Bhopal,Bhopal(F&V),Other,Fruits,9.0,2000,4000,3000,2023-11-08,90.0
19,Bhopal,Bhopal(F&V),Other,Fruits,7.0,2000,4000,3000,2023-11-06,70.0
20,Bhopal,Bhopal(F&V),Other,Fruits,8.0,2000,4000,3000,2023-11-05,80.0
21,Bhopal,Bhopal(F&V),Other,Fruits,8.0,2000,4000,3000,2023-11-03,80.0
22,Bhopal,Bhopal(F&V),Other,Fruits,8.0,2000,4000,3000,2023-11-01,80.0
23,Bhopal,Bhopal(F&V),Other,Fruits,7.0,2000,4000,3000,2023-10-31,70.0
24,Bhopal,Bhopal(F&V),Other,Fruits,8.0,2000,4000,3000,2023-10-30,80.0
25,Bhopal,Bhopal(F&V),Other,Fruits,8.0,2000,4000,3000,2023-10-29,80.0
26,Bhopal,Bhopal(F&V),Other,Fruits,7.0,2000,4000,3000,2023-10-27,70.0
27,Bhopal,Bhopal(F&V),Other,Fruits,0.3,2000,4000,3000,2023-10-22,3.0
28,Bhopal,Bhopal(F&V),Other,Fruits,7.0,2000,4000,3000,2023-10-15,70.0
29,Bhopal,Bhopal(F&V),Other,Fruits,3.0,2000,4000,3000,2023-10-10,30.0
30,Bhopal,Bhopal(F&V),Other,Fruits,3.0,1000,2000,1500,2023-06-02,30.0
31,Bhopal,Bhopal(F&V),Other,Fruits,3.0,1000,2000,1500,2023-05-24,30.0
32,Bhopal,Bhopal(F&V),Other,Fruits,3.0,1000,2000,1500,2023-05-23,30.0
33,Bhopal,Bhopal(F&V),Other,Fruits,4.0,1000,2000,1500,2023-05-21,40.0
34,Bhopal,Bhopal(F&V),Other,Fruits,7.0,1200,1800,1500,2023-05-16,70.0
35,Bhopal,Bhopal(F&V),Other,Fruits,2.0,1000,1500,1200,2023-05-15,20.0
36,Bhopal,Bhopal(F&V),Other,Fruits,7.0,1000,1500,1200,2023-05-14,70.0
37,Bhopal,Bhopal(F&V),Other,Fruits,10.0,1000,2000,1500,2023-05-10,100.0
