Both Price And Arrival from 01-Jan-2018 To 31-Dec-2023 Total Arrival- 71027.39,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Badwani,Anjad,Red,Spices,1.68,11600,11600,11600,21-Dec-23
Madhya Pradesh,Badwani,Anjad,Red,Spices,36,21000,21800,21800,07-Dec-23
Madhya Pradesh,Badwani,Anjad,Bold,Spices,150,12350,12500,12500,19-Nov-23
Madhya Pradesh,Badwani,Anjad,Red,Spices,86,10500,13000,13000,18-Nov-23
Madhya Pradesh,Badwani,Anjad,Bold,Spices,212,6100,21200,20000,09-Nov-23
Madhya Pradesh,Badwani,Anjad,Red,Spices,167,10134,15267,14000,07-Nov-23
Madhya Pradesh,Badwani,Anjad,Red,Spices,50,14100,15000,14500,05-Nov-23
Madhya Pradesh,Badwani,Anjad,Bold,Spices,63,12000,17301,17301,04-Nov-23
Madhya Pradesh,Badwani,Anjad,Bold,Spices,128,10000,20000,16000,03-Nov-23
Madhya Pradesh,Badwani,Anjad,Bold,Spices,170,10500,12600,11500,29-Oct-23
Madhya Pradesh,Badwani,Anjad,Bold,Spices,64,6000,20000,20000,27-Oct-23
Madhya Pradesh,Badwani,Anjad,Bold,Spices,184,5000,10000,8000,20-Oct-23
Madhya Pradesh,Badwani,Anjad,Bold,Spices,59,6000,7000,7000,18-Oct-23
Madhya Pradesh,Badwani,Anjad,Bold,Spices,8,10000,20000,20000,13-Oct-23
Madhya Pradesh,Badwani,Anjad,Bold,Spices,82,7200,8000,7500,06-Oct-23
Madhya Pradesh,Badwani,Anjad,Bold,Spices,123,7100,11000,11000,25-Mar-23
Madhya Pradesh,Badwani,Anjad,Bold,Spices,10.5,7500,10000,10000,14-Mar-23
Madhya Pradesh,Badwani,Anjad,Bold,Spices,4,6500,6500,6500,19-Jan-23
Madhya Pradesh,Badwani,Anjad,Bold,Spices,13,7000,8500,8500,29-Dec-22
Madhya Pradesh,Badwani,Anjad,Bold,Spices,50,5100,5500,5500,27-Dec-22
Madhya Pradesh,Badwani,Anjad,Red,Spices,63,7500,11300,11300,10-Dec-22
Madhya Pradesh,Badwani,Anjad,Bold,Spices,155,7100,9000,7100,17-Nov-22
Madhya Pradesh,Badwani,Anjad,Bold,Spices,116,9500,14500,14100,14-Nov-22
Madhya Pradesh,Badwani,Anjad,Bold,Spices,18.3,4000,7000,6500,10-Nov-22
Madhya Pradesh,Badwani,Anjad,Bold,Spices,260,4000,16900,8000,05-Nov-22
Madhya Pradesh,Badwani,Anjad,Bold,Spices,48,15500,16500,16000,03-Nov-22
Madhya Pradesh,Badwani,Anjad,Bold,Spices,108,3200,5600,3200,31-Mar-22
Madhya Pradesh,Badwani,Anjad,Bold,Spices,108,10500,11050,10500,17-Mar-22
Madhya Pradesh,Badwani,Anjad,Red,Spices,117,5475,5650,5475,16-Mar-22
Madhya Pradesh,Badwani,Anjad,Red,Spices,119,7200,8150,7200,12-Mar-22
Madhya Pradesh,Badwani,Anjad,Red,Spices,70,12000,14800,12500,10-Mar-22
Madhya Pradesh,Badwani,Anjad,Red,Spices,34,3000,3000,3000,27-Jan-22
Madhya Pradesh,Badwani,Anjad,Red,Spices,152,7200,7200,7200,21-Jan-22
Madhya Pradesh,Badwani,Anjad,Red,Spices,32,3100,3100,3100,17-Jan-22
Madhya Pradesh,Badwani,Anjad,Red,Spices,60,3000,3100,3100,15-Jan-22
Madhya Pradesh,Badwani,Anjad,Red,Spices,223,3500,10000,4000,14-Jan-22
Madhya Pradesh,Badwani,Anjad,Red,Spices,60,3000,3500,3000,08-Jan-22
Madhya Pradesh,Badwani,Anjad,Red,Spices,265,4000,9250,8200,07-Jan-22
Madhya Pradesh,Badwani,Anjad,Red,Spices,187,7500,8000,8000,30-Dec-21
Madhya Pradesh,Badwani,Anjad,Red,Spices,233,3000,6100,4000,23-Dec-21
Madhya Pradesh,Badwani,Anjad,Red,Spices,70,3200,3200,3200,21-Dec-21
Madhya Pradesh,Badwani,Anjad,Red,Spices,394,3000,12500,5000,17-Dec-21
Madhya Pradesh,Badwani,Anjad,Red,Spices,122,6550,8650,8650,10-Dec-21
Madhya Pradesh,Badwani,Anjad,Red,Spices,401,3200,4600,4600,09-Dec-21
Madhya Pradesh,Badwani,Anjad,Red,Spices,76,3150,3300,3300,06-Dec-21
Madhya Pradesh,Badwani,Anjad,Red,Spices,53,3200,3200,3200,27-Nov-21
Madhya Pradesh,Badwani,Anjad,Red,Spices,85,4500,5000,5000,05-Feb-20
Madhya Pradesh,Badwani,Anjad,Red,Spices,16,3000,3000,3000,28-Dec-19
Madhya Pradesh,Badwani,Anjad,Red,Spices,71,3850,3850,3850,24-Dec-19
Madhya Pradesh,Badwani,Anjad,Red,Spices,65,2800,3000,2900,23-Dec-19
Madhya Pradesh,Badwani,Anjad,Red,Spices,33,5500,5500,5500,20-Dec-19
Madhya Pradesh,Badwani,Anjad,Red,Spices,17,2100,9000,5500,19-Dec-19
Madhya Pradesh,Badwani,Anjad,Red,Spices,89,3500,4500,4000,14-Dec-19
Madhya Pradesh,Badwani,Anjad,Red,Spices,172,10000,11000,10000,12-Dec-19
Madhya Pradesh,Badwani,Anjad,Red,Spices,20,5000,5000,5000,09-Dec-19
Madhya Pradesh,Badwani,Anjad,Red,Spices,30,4500,4500,4500,07-Dec-19
Madhya Pradesh,Badwani,Anjad,Red,Spices,235,1600,4500,2500,05-Dec-19
Madhya Pradesh,Badwani,Anjad,Red,Spices,80,3300,6000,5000,03-Dec-19
Madhya Pradesh,Badwani,Anjad,Red,Spices,79,3000,4500,3500,30-Nov-19
Madhya Pradesh,Badwani,Anjad,Red,Spices,79,3000,4500,3500,29-Nov-19
Madhya Pradesh,Badwani,Anjad,Red,Spices,148,2400,3500,3200,28-Nov-19
Madhya Pradesh,Badwani,Anjad,Red,Spices,80,2500,4000,3500,26-Nov-19
