,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Arrivals (Quintals)
0,Badwani,Anjad,Red,Spices,1.68,11600,11600,11600,2023-12-21,16.8
1,Badwani,Anjad,Red,Spices,36.0,21000,21800,21800,2023-12-07,360.0
2,Badwani,Anjad,Bold,Spices,150.0,12350,12500,12500,2023-11-19,1500.0
3,Badwani,Anjad,Red,Spices,86.0,10500,13000,13000,2023-11-18,860.0
4,Badwani,Anjad,Bold,Spices,212.0,6100,21200,20000,2023-11-09,2120.0
5,Badwani,Anjad,Red,Spices,167.0,10134,15267,14000,2023-11-07,1670.0
6,Badwani,Anjad,Red,Spices,50.0,14100,15000,14500,2023-11-05,500.0
7,Badwani,Anjad,Bold,Spices,63.0,12000,17301,17301,2023-11-04,630.0
8,Badwani,Anjad,Bold,Spices,128.0,10000,20000,16000,2023-11-03,1280.0
9,Badwani,Anjad,Bold,Spices,170.0,10500,12600,11500,2023-10-29,1700.0
10,Badwani,Anjad,Bold,Spices,64.0,6000,20000,20000,2023-10-27,640.0
11,Badwani,Anjad,Bold,Spices,184.0,5000,10000,8000,2023-10-20,1840.0
12,Badwani,Anjad,Bold,Spices,59.0,6000,7000,7000,2023-10-18,590.0
13,Badwani,Anjad,Bold,Spices,8.0,10000,20000,20000,2023-10-13,80.0
14,Badwani,Anjad,Bold,Spices,82.0,7200,8000,7500,2023-10-06,820.0
15,Badwani,Anjad,Bold,Spices,123.0,7100,11000,11000,2023-03-25,1230.0
16,Badwani,Anjad,Bold,Spices,10.5,7500,10000,10000,2023-03-14,105.0
17,Badwani,Anjad,Bold,Spices,4.0,6500,6500,6500,2023-01-19,40.0
18,Badwani,Anjad,Bold,Spices,13.0,7000,8500,8500,2022-12-29,130.0
19,Badwani,Anjad,Bold,Spices,50.0,5100,5500,5500,2022-12-27,500.0
20,Badwani,Anjad,Red,Spices,63.0,7500,11300,11300,2022-12-10,630.0
21,Badwani,Anjad,Bold,Spices,155.0,7100,9000,7100,2022-11-17,1550.0
22,Badwani,Anjad,Bold,Spices,116.0,9500,14500,14100,2022-11-14,1160.0
23,Badwani,Anjad,Bold,Spices,18.3,4000,7000,6500,2022-11-10,183.0
24,Badwani,Anjad,Bold,Spices,260.0,4000,16900,8000,2022-11-05,2600.0
25,Badwani,Anjad,Bold,Spices,48.0,15500,16500,16000,2022-11-03,480.0
26,Badwani,Anjad,Bold,Spices,108.0,3200,5600,3200,2022-03-31,1080.0
27,Badwani,Anjad,Bold,Spices,108.0,10500,11050,10500,2022-03-17,1080.0
28,Badwani,Anjad,Red,Spices,117.0,5475,5650,5475,2022-03-16,1170.0
29,Badwani,Anjad,Red,Spices,119.0,7200,8150,7200,2022-03-12,1190.0
30,Badwani,Anjad,Red,Spices,70.0,12000,14800,12500,2022-03-10,700.0
31,Badwani,Anjad,Red,Spices,34.0,3000,3000,3000,2022-01-27,340.0
32,Badwani,Anjad,Red,Spices,152.0,7200,7200,7200,2022-01-21,1520.0
33,Badwani,Anjad,Red,Spices,32.0,3100,3100,3100,2022-01-17,320.0
34,Badwani,Anjad,Red,Spices,60.0,3000,3100,3100,2022-01-15,600.0
35,Badwani,Anjad,Red,Spices,223.0,3500,10000,4000,2022-01-14,2230.0
36,Badwani,Anjad,Red,Spices,60.0,3000,3500,3000,2022-01-08,600.0
37,Badwani,Anjad,Red,Spices,265.0,4000,9250,8200,2022-01-07,2650.0
38,Badwani,Anjad,Red,Spices,187.0,7500,8000,8000,2021-12-30,1870.0
39,Badwani,Anjad,Red,Spices,233.0,3000,6100,4000,2021-12-23,2330.0
40,Badwani,Anjad,Red,Spices,70.0,3200,3200,3200,2021-12-21,700.0
41,Badwani,Anjad,Red,Spices,394.0,3000,12500,5000,2021-12-17,3940.0
