,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Arrivals (Quintals)
0,Chhindwara,Chhindwara,Cinamon(Dalchini),Spices,2.1,3500,3500,3500,2023-10-31,21.0
1,Chhindwara,Chhindwara,Other,Spices,5.2,3550,3550,3550,2023-10-02,52.0
2,Chhindwara,Chhindwara,Other,Spices,3.0,3000,3000,3000,2023-08-02,30.0
3,Chhindwara,Chhindwara,Other,Spices,5.4,3400,3400,3400,2023-07-31,54.0
4,Chhindwara,Chhindwara,Other,Spices,7.0,3300,3331,3331,2023-06-30,70.0
5,Chhindwara,Chhindwara,Other,Spices,10.0,3400,3400,3400,2023-06-23,100.0
6,Chhindwara,Chhindwara,Other,Spices,13.5,3375,3400,3380,2023-06-15,135.0
7,Chhindwara,Chhindwara,Other,Spices,8.5,3400,3400,3400,2023-06-06,85.0
8,Chhindwara,Chhindwara,Other,Spices,19.5,3350,3450,3375,2023-06-05,195.0
9,Chhindwara,Chhindwara,Cinamon(Dalchini),Spices,28.6,3665,3675,3666,2023-05-15,286.0
