,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Arrivals (Quintals)
0,Badwani,Badwani,Cluster Beans,Vegetables,0.1,2800,2800,2800,2023-12-18,1.0
1,Badwani,Badwani,Cluster Beans,Vegetables,0.12,2800,2800,2800,2023-12-17,1.2
2,Badwani,Badwani,Cluster Beans,Vegetables,0.11,3100,3100,3100,2023-12-16,1.1
3,Badwani,Badwani,Cluster Beans,Vegetables,0.1,2600,2600,2600,2023-12-14,1.0
4,Badwani,Badwani,Cluster Beans,Vegetables,0.12,1900,1900,1900,2023-12-11,1.2
5,Badwani,Badwani,Cluster Beans,Vegetables,0.11,2300,2300,2300,2023-12-10,1.1
6,Badwani,Badwani,Cluster Beans,Vegetables,0.11,1600,1600,1600,2023-12-04,1.1
7,Badwani,Badwani,Cluster Beans,Vegetables,0.14,1600,1600,1600,2023-12-03,1.4000000000000001
8,Badwani,Badwani,Cluster Beans,Vegetables,0.08,2200,2200,2200,2023-12-01,0.8
9,Badwani,Badwani,Cluster Beans,Vegetables,0.11,1500,1500,1500,2023-11-30,1.1
10,Badwani,Badwani,Cluster Beans,Vegetables,0.14,1600,1600,1600,2023-11-29,1.4000000000000001
11,Badwani,Badwani,Cluster Beans,Vegetables,0.11,2100,2100,2100,2023-11-27,1.1
12,Badwani,Badwani,Cluster Beans,Vegetables,0.15,1800,1800,1800,2023-11-26,1.5
13,Badwani,Badwani,Cluster Beans,Vegetables,0.11,2000,2000,2000,2023-11-25,1.1
14,Badwani,Badwani,Cluster Beans,Vegetables,0.13,1800,1800,1800,2023-11-24,1.3
15,Badwani,Badwani,Cluster Beans,Vegetables,0.14,1600,1600,1600,2023-11-23,1.4000000000000001
16,Badwani,Badwani,Cluster Beans,Vegetables,0.25,1500,1500,1500,2023-11-22,2.5
17,Badwani,Badwani,Cluster Beans,Vegetables,0.14,1600,1600,1600,2023-11-21,1.4000000000000001
18,Badwani,Badwani,Cluster Beans,Vegetables,0.16,1650,1650,1650,2023-11-19,1.6
19,Badwani,Badwani,Cluster Beans,Vegetables,0.12,1800,1800,1800,2023-11-18,1.2
20,Badwani,Badwani,Cluster Beans,Vegetables,0.11,2400,2400,2400,2023-11-17,1.1
21,Badwani,Badwani,Cluster Beans,Vegetables,0.12,2600,2600,2600,2023-11-16,1.2
22,Badwani,Badwani,Cluster Beans,Vegetables,0.14,1700,1700,1700,2023-11-15,1.4000000000000001
23,Badwani,Badwani,Cluster Beans,Vegetables,0.23,1500,1500,1500,2023-11-13,2.3000000000000003
24,Badwani,Badwani,Cluster Beans,Vegetables,0.22,1600,1600,1600,2023-11-12,2.2
25,Badwani,Badwani,Cluster Beans,Vegetables,0.14,2000,2000,2000,2023-11-11,1.4000000000000001
26,Badwani,Badwani,Cluster Beans,Vegetables,0.11,2500,2500,2500,2023-11-10,1.1
27,Badwani,Badwani,Cluster Beans,Vegetables,0.11,2000,2000,2000,2023-11-09,1.1
28,Badwani,Badwani,Cluster Beans,Vegetables,0.12,2350,2350,2350,2023-11-07,1.2
29,Badwani,Badwani,Cluster Beans,Vegetables,0.11,2600,2600,2600,2023-11-06,1.1
30,Badwani,Badwani,Cluster Beans,Vegetables,0.11,2700,2700,2700,2023-11-04,1.1
31,Badwani,Badwani,Cluster Beans,Vegetables,0.12,2500,2500,2500,2023-11-02,1.2
32,Badwani,Badwani,Cluster Beans,Vegetables,0.12,2600,2600,2600,2023-10-31,1.2
33,Badwani,Badwani,Cluster Beans,Vegetables,0.14,2500,2500,2500,2023-10-30,1.4000000000000001
34,Badwani,Badwani,Cluster Beans,Vegetables,0.15,2400,2400,2400,2023-10-29,1.5
35,Badwani,Badwani,Cluster Beans,Vegetables,0.16,2500,2500,2500,2023-10-28,1.6
36,Badwani,Badwani,Cluster Beans,Vegetables,0.11,2200,2200,2200,2023-10-27,1.1
37,Badwani,Badwani,Cluster Beans,Vegetables,0.11,2400,2400,2400,2023-10-26,1.1
38,Badwani,Badwani,Cluster Beans,Vegetables,0.13,2900,2900,2900,2023-10-25,1.3
39,Badwani,Badwani,Cluster Beans,Vegetables,0.13,3100,3100,3100,2023-10-24,1.3
40,Badwani,Badwani,Cluster Beans,Vegetables,0.14,2800,2800,2800,2023-10-23,1.4000000000000001
41,Badwani,Badwani,Cluster Beans,Vegetables,0.14,2800,2800,2800,2023-10-22,1.4000000000000001
42,Badwani,Badwani,Cluster Beans,Vegetables,0.06,3200,3200,3200,2023-10-21,0.6
43,Badwani,Badwani,Cluster Beans,Vegetables,0.07,3200,3200,3200,2023-10-19,0.7000000000000001
