,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Arrivals (Quintals)
0,Bhopal,Bhopal(F&V),Other,Vegetables,2.0,1000,2000,1500,2023-11-05,20.0
1,Bhopal,Bhopal(F&V),Other,Vegetables,1.0,1000,1800,1300,2023-11-01,10.0
2,Bhopal,Bhopal(F&V),Other,Vegetables,3.0,1000,1800,1300,2023-10-19,30.0
3,Bhopal,Bhopal(F&V),Other,Vegetables,2.0,1000,1500,1200,2023-10-15,20.0
4,Bhopal,Bhopal(F&V),Other,Vegetables,3.0,1000,1500,1200,2023-10-13,30.0
5,Bhopal,Bhopal(F&V),Other,Vegetables,15.0,1000,2500,1800,2023-09-28,150.0
6,Bhopal,Bhopal(F&V),Other,Vegetables,5.0,800,1200,1000,2023-09-26,50.0
7,Bhopal,Bhopal(F&V),Other,Vegetables,4.0,800,1200,1000,2023-09-25,40.0
8,Bhopal,Bhopal(F&V),Other,Vegetables,3.0,800,1200,1000,2023-09-24,30.0
9,Bhopal,Bhopal(F&V),Other,Vegetables,4.0,600,1200,900,2023-09-22,40.0
10,Bhopal,Bhopal(F&V),Other,Vegetables,3.0,800,1200,1000,2023-09-21,30.0
11,Bhopal,Bhopal(F&V),Other,Vegetables,8.0,800,1200,1000,2023-09-20,80.0
12,Bhopal,Bhopal(F&V),Other,Vegetables,2.0,600,1000,800,2023-09-14,20.0
13,Bhopal,Bhopal(F&V),Other,Vegetables,3.5,600,1200,800,2023-09-12,35.0
14,Bhopal,Bhopal(F&V),Other,Vegetables,10.0,800,1500,1000,2023-09-03,100.0
15,Bhopal,Bhopal(F&V),Other,Vegetables,4.0,800,1500,1000,2023-08-22,40.0
16,Bhopal,Bhopal(F&V),Other,Vegetables,10.0,800,1500,1000,2023-08-18,100.0
17,Bhopal,Bhopal(F&V),Other,Vegetables,3.0,800,1500,1000,2023-08-17,30.0
18,Bhopal,Bhopal(F&V),Other,Vegetables,6.0,800,1500,1000,2023-08-09,60.0
19,Bhopal,Bhopal(F&V),Other,Vegetables,7.0,700,1200,800,2023-08-08,70.0
20,Bhopal,Bhopal(F&V),Other,Vegetables,4.0,800,1500,1000,2023-08-04,40.0
21,Bhopal,Bhopal(F&V),Other,Vegetables,3.0,800,1500,1000,2023-08-01,30.0
22,Bhopal,Bhopal(F&V),Other,Vegetables,3.0,800,1500,1000,2023-07-31,30.0
23,Bhopal,Bhopal(F&V),Other,Vegetables,7.0,1000,1500,1200,2023-07-30,70.0
24,Bhopal,Bhopal(F&V),Other,Vegetables,10.0,800,1500,1000,2023-07-28,100.0
25,Bhopal,Bhopal(F&V),Other,Vegetables,2.0,1000,1500,1200,2023-07-25,20.0
26,Bhopal,Bhopal(F&V),Other,Vegetables,2.0,800,1200,1000,2023-07-23,20.0
27,Bhopal,Bhopal(F&V),Other,Vegetables,1.0,800,1200,1000,2023-07-21,10.0
28,Bhopal,Bhopal(F&V),Other,Vegetables,1.0,800,1500,1000,2023-07-20,10.0
29,Bhopal,Bhopal(F&V),Other,Vegetables,4.0,800,1500,1000,2023-07-19,40.0
30,Bhopal,Bhopal(F&V),Other,Vegetables,4.0,800,1500,1000,2023-07-16,40.0
31,Bhopal,Bhopal(F&V),Other,Vegetables,3.0,800,1500,1000,2023-07-12,30.0
32,Bhopal,Bhopal(F&V),Other,Vegetables,5.0,800,1200,1000,2023-07-10,50.0
33,Bhopal,Bhopal(F&V),Other,Vegetables,5.0,1000,1500,1200,2023-07-09,50.0
34,Bhopal,Bhopal(F&V),Other,Vegetables,7.0,800,1200,1000,2023-07-07,70.0
35,Bhopal,Bhopal(F&V),Other,Vegetables,2.0,800,1200,1000,2023-07-05,20.0
36,Bhopal,Bhopal(F&V),Other,Vegetables,4.5,800,1200,1000,2023-07-04,45.0
37,Bhopal,Bhopal(F&V),Other,Vegetables,8.0,800,1200,1000,2023-07-03,80.0
38,Bhopal,Bhopal(F&V),Other,Vegetables,8.0,800,1200,1000,2023-06-25,80.0
39,Bhopal,Bhopal(F&V),Other,Vegetables,5.0,800,1200,1000,2023-06-22,50.0
40,Bhopal,Bhopal(F&V),Other,Vegetables,6.0,800,1200,1000,2023-06-21,60.0
41,Bhopal,Bhopal(F&V),Other,Vegetables,4.0,800,1500,1000,2023-06-20,40.0
42,Bhopal,Bhopal(F&V),Other,Vegetables,6.0,1000,1500,1200,2023-06-19,60.0
43,Bhopal,Bhopal(F&V),Other,Vegetables,5.0,800,1200,1000,2023-06-18,50.0
44,Bhopal,Bhopal(F&V),Other,Vegetables,4.0,600,1000,800,2023-06-16,40.0
45,Bhopal,Bhopal(F&V),Other,Vegetables,5.0,600,1000,700,2023-06-14,50.0
46,Bhopal,Bhopal(F&V),Other,Vegetables,10.0,600,1000,800,2023-06-13,100.0
47,Bhopal,Bhopal(F&V),Other,Vegetables,4.0,800,1200,1000,2023-06-11,40.0
48,Bhopal,Bhopal(F&V),Other,Vegetables,4.0,800,1200,1000,2023-06-08,40.0
49,Bhopal,Bhopal(F&V),Other,Vegetables,2.0,800,1200,1000,2023-06-07,20.0
50,Bhopal,Bhopal(F&V),Other,Vegetables,2.0,800,1500,1000,2023-06-06,20.0
51,Bhopal,Bhopal(F&V),Other,Vegetables,4.0,1000,1500,1200,2023-06-04,40.0
52,Bhopal,Bhopal(F&V),Other,Vegetables,2.0,1200,2000,1500,2023-05-29,20.0
53,Bhopal,Bhopal(F&V),Other,Vegetables,2.0,1000,2000,1500,2023-05-25,20.0
54,Bhopal,Bhopal(F&V),Other,Vegetables,2.0,1000,1500,1200,2023-05-23,20.0
55,Bhopal,Bhopal(F&V),Other,Vegetables,2.0,1000,2000,1500,2023-05-21,20.0
56,Bhopal,Bhopal(F&V),Other,Vegetables,2.0,600,1000,800,2023-05-18,20.0
57,Bhopal,Bhopal(F&V),Other,Vegetables,5.0,800,1200,1000,2023-05-17,50.0
58,Bhopal,Bhopal(F&V),Other,Vegetables,2.0,800,1200,1000,2023-05-16,20.0
59,Bhopal,Bhopal(F&V),Other,Vegetables,2.0,800,1600,1000,2023-05-15,20.0
60,Bhopal,Bhopal(F&V),Other,Vegetables,2.0,1000,1500,1200,2023-05-14,20.0
61,Bhopal,Bhopal(F&V),Other,Vegetables,2.0,600,1000,800,2023-05-10,20.0
62,Bhopal,Bhopal(F&V),Other,Vegetables,1.0,1000,1500,1200,2023-05-07,10.0
63,Bhopal,Bhopal(F&V),Other,Vegetables,4.0,800,1200,1000,2023-04-28,40.0
