Both Price And Arrival from 01-Jan-2018 To 31-Dec-2023 Total Arrival- 57579.08,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Shajapur,Agar,Coriander,Vegetables,2.83,6199,6799,6501,30-Dec-23
Madhya Pradesh,Shajapur,Agar,Coriander,Vegetables,6.43,6000,7201,6000,29-Dec-23
Madhya Pradesh,Shajapur,Agar,Coriander,Vegetables,5.39,5801,7281,5801,28-Dec-23
Madhya Pradesh,Shajapur,Agar,Coriander,Vegetables,6.15,5700,7100,6200,27-Dec-23
Madhya Pradesh,Shajapur,Agar,Coriander,Vegetables,6.72,2712,7299,2712,22-Dec-23
Madhya Pradesh,Shajapur,Agar,Coriander,Vegetables,4.56,5300,6900,5300,21-Dec-23
Madhya Pradesh,Ashoknagar,Ashoknagar,Coriander,Vegetables,10.95,4400,6330,4400,30-Dec-23
Madhya Pradesh,Ashoknagar,Ashoknagar,Coriander,Vegetables,19.55,2720,6522,2720,29-Dec-23
Madhya Pradesh,Ashoknagar,Ashoknagar,Coriander,Vegetables,35.04,4680,6710,5250,28-Dec-23
Madhya Pradesh,Ashoknagar,Ashoknagar,Coriander,Vegetables,37.27,5170,6790,5450,27-Dec-23
Madhya Pradesh,Ashoknagar,Ashoknagar,Coriander,Vegetables,20.49,5460,6670,6010,26-Dec-23
Madhya Pradesh,Ashoknagar,Ashoknagar,Coriander,Vegetables,6.17,5600,6300,5600,22-Dec-23
Madhya Pradesh,Ashoknagar,Ashoknagar,Coriander,Vegetables,26.76,4960,6710,5790,21-Dec-23
Madhya Pradesh,Shivpuri,Badarwas,Coriander,Vegetables,0.46,5600,5600,5600,28-Dec-23
Madhya Pradesh,Shivpuri,Badarwas,Coriander,Vegetables,0.55,5810,5810,5810,26-Dec-23
Madhya Pradesh,Shivpuri,Badarwas,Coriander,Vegetables,0.27,5900,5900,5900,22-Dec-23
Madhya Pradesh,Shivpuri,Barad,Coriander,Vegetables,0.12,2000,2000,2000,27-Jan-22
Madhya Pradesh,Shivpuri,Barad,Coriander,Vegetables,0.07,1000,1500,1000,20-Jan-22
Madhya Pradesh,Shivpuri,Barad,Coriander,Vegetables,0.06,1000,2000,1500,30-Dec-21
Madhya Pradesh,Shivpuri,Barad,Coriander,Vegetables,0.03,1000,2000,1500,29-Dec-21
Madhya Pradesh,Shivpuri,Barad,Coriander,Vegetables,0.02,2000,2000,2000,28-Dec-21
Madhya Pradesh,Shivpuri,Barad,Coriander,Vegetables,0.13,1500,2000,1600,27-Dec-21
Madhya Pradesh,Shivpuri,Barad,Coriander,Vegetables,0.07,2000,2500,2000,24-Dec-21
Madhya Pradesh,Shivpuri,Barad,Coriander,Vegetables,0.07,2000,3000,2500,23-Dec-21
Madhya Pradesh,Shivpuri,Barad,Coriander,Vegetables,0.07,2500,3000,2500,21-Dec-21
Madhya Pradesh,Shivpuri,Barad,Coriander,Vegetables,0.08,2500,3000,2500,20-Dec-21
Madhya Pradesh,Shivpuri,Barad,Coriander,Vegetables,0.1,2000,3000,2000,19-Dec-21
Madhya Pradesh,Shivpuri,Barad,Coriander,Vegetables,0.03,1500,2000,1500,18-Dec-21
Madhya Pradesh,Shivpuri,Barad,Coriander,Vegetables,0.06,1500,2000,1500,16-Dec-21
Madhya Pradesh,Shivpuri,Barad,Coriander,Vegetables,0.11,1500,3000,2000,15-Dec-21
Madhya Pradesh,Shivpuri,Barad,Coriander,Vegetables,0.08,1500,2000,1500,14-Dec-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.4,2000,3500,3000,19-Oct-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,1.2,1200,1500,1300,21-Aug-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.5,1000,2000,1500,12-Jul-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.2,1000,1200,1000,28-May-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.3,800,1400,1200,27-May-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.1,1200,1800,1600,26-May-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.2,1000,2000,1500,25-May-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.1,1000,1200,1100,21-May-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.5,1200,1400,1300,20-May-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.3,1200,1600,1400,19-May-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.5,1400,1800,1500,18-May-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.1,500,500,500,24-Mar-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,2,400,500,500,23-Mar-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.2,500,500,500,21-Mar-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.3,400,600,450,20-Mar-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,2,400,600,500,18-Mar-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,1.3,400,1000,800,17-Mar-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.2,1000,1000,1000,14-Mar-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,1.3,400,600,500,13-Mar-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,1,400,600,500,10-Mar-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,1,400,600,500,09-Mar-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.8,400,600,500,07-Mar-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,1.2,400,600,550,05-Mar-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.3,400,600,600,04-Mar-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,2.2,400,600,500,03-Mar-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.5,400,500,500,28-Feb-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.5,400,600,500,27-Feb-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,1,400,600,500,26-Feb-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,1,400,600,550,24-Feb-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.4,500,800,700,23-Feb-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.5,400,500,450,21-Feb-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.6,1000,1250,1050,20-Feb-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,1.2,1000,1200,1100,19-Feb-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,2.5,1000,1500,1200,18-Feb-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,2.2,800,1000,900,16-Feb-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.5,1500,1600,1500,14-Feb-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.5,1000,1400,1200,12-Feb-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,1.2,1000,1350,1200,11-Feb-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.3,1000,1500,1250,10-Feb-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,1.2,1000,1500,1400,09-Feb-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.8,1000,1500,1400,06-Feb-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,2.5,800,1000,950,05-Feb-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,3.8,600,800,700,31-Jan-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,1.5,1000,1500,1200,30-Jan-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.2,1000,1500,1000,28-Jan-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,1.2,800,1000,950,27-Jan-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.5,1000,1500,1200,26-Jan-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,1.5,600,1000,800,24-Jan-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.7,800,1000,800,23-Jan-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.4,800,1000,900,22-Jan-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.8,800,1000,1000,21-Jan-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.5,1000,1500,1200,20-Jan-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.3,1000,1000,1000,19-Jan-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.3,800,1000,800,16-Jan-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,2.2,500,800,600,14-Jan-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,1,550,800,600,13-Jan-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.3,500,1000,800,12-Jan-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,1.2,500,1000,800,10-Jan-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,1.5,500,1000,800,09-Jan-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,1.5,500,1000,800,07-Jan-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,1.5,500,1400,1200,05-Jan-21
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.6,1000,1800,1300,31-Dec-20
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.3,1000,1200,1200,26-Dec-20
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,1,500,1000,800,25-Dec-20
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.5,600,1000,800,24-Dec-20
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,1.7,600,1000,800,22-Dec-20
Madhya Pradesh,Betul,Betul,Coriander,Vegetables,0.6,1000,1500,1200,20-Dec-20
