,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Arrivals (Quintals)
0,Shajapur,Agar,Coriander,Vegetables,2.83,6199.0,6799.0,6501.0,2023-12-30,28.3
1,Shajapur,Agar,Coriander,Vegetables,6.43,6000.0,7201.0,6000.0,2023-12-29,64.3
2,Shajapur,Agar,Coriander,Vegetables,5.39,5801.0,7281.0,5801.0,2023-12-28,53.9
3,Shajapur,Agar,Coriander,Vegetables,6.15,5700.0,7100.0,6200.0,2023-12-27,61.5
4,Shajapur,Agar,Coriander,Vegetables,6.72,2712.0,7299.0,2712.0,2023-12-22,67.2
5,Shajapur,Agar,Coriander,Vegetables,4.56,5300.0,6900.0,5300.0,2023-12-21,45.599999999999994
6,Ashoknagar,Ashoknagar,Coriander,Vegetables,10.95,4400.0,6330.0,4400.0,2023-12-30,109.5
7,Ashoknagar,Ashoknagar,Coriander,Vegetables,19.55,2720.0,6522.0,2720.0,2023-12-29,195.5
8,Ashoknagar,Ashoknagar,Coriander,Vegetables,35.04,4680.0,6710.0,5250.0,2023-12-28,350.4
9,Ashoknagar,Ashoknagar,Coriander,Vegetables,37.27,5170.0,6790.0,5450.0,2023-12-27,372.70000000000005
10,Ashoknagar,Ashoknagar,Coriander,Vegetables,20.49,5460.0,6670.0,6010.0,2023-12-26,204.89999999999998
11,Ashoknagar,Ashoknagar,Coriander,Vegetables,6.17,5600.0,6300.0,5600.0,2023-12-22,61.7
12,Ashoknagar,Ashoknagar,Coriander,Vegetables,26.76,4960.0,6710.0,5790.0,2023-12-21,267.6
13,Shivpuri,Badarwas,Coriander,Vegetables,0.46,5600.0,5600.0,5600.0,2023-12-28,4.6000000000000005
14,Shivpuri,Badarwas,Coriander,Vegetables,0.55,5810.0,5810.0,5810.0,2023-12-26,5.5
15,Shivpuri,Badarwas,Coriander,Vegetables,0.27,5900.0,5900.0,5900.0,2023-12-22,2.7
16,Shivpuri,Barad,Coriander,Vegetables,0.12,2000.0,2000.0,2000.0,2022-01-27,1.2
17,Shivpuri,Barad,Coriander,Vegetables,0.07,1000.0,1500.0,1000.0,2022-01-20,0.7000000000000001
18,Shivpuri,Barad,Coriander,Vegetables,0.06,1000.0,2000.0,1500.0,2021-12-30,0.6
19,Shivpuri,Barad,Coriander,Vegetables,0.03,1000.0,2000.0,1500.0,2021-12-29,0.3
20,Shivpuri,Barad,Coriander,Vegetables,0.02,2000.0,2000.0,2000.0,2021-12-28,0.2
21,Shivpuri,Barad,Coriander,Vegetables,0.13,1500.0,2000.0,1600.0,2021-12-27,1.3
22,Shivpuri,Barad,Coriander,Vegetables,0.07,2000.0,2500.0,2000.0,2021-12-24,0.7000000000000001
23,Shivpuri,Barad,Coriander,Vegetables,0.07,2000.0,3000.0,2500.0,2021-12-23,0.7000000000000001
24,Shivpuri,Barad,Coriander,Vegetables,0.07,2500.0,3000.0,2500.0,2021-12-21,0.7000000000000001
25,Shivpuri,Barad,Coriander,Vegetables,0.08,2500.0,3000.0,2500.0,2021-12-20,0.8
26,Shivpuri,Barad,Coriander,Vegetables,0.1,2000.0,3000.0,2000.0,2021-12-19,1.0
27,Shivpuri,Barad,Coriander,Vegetables,0.03,1500.0,2000.0,1500.0,2021-12-18,0.3
28,Shivpuri,Barad,Coriander,Vegetables,0.06,1500.0,2000.0,1500.0,2021-12-16,0.6
29,Shivpuri,Barad,Coriander,Vegetables,0.11,1500.0,3000.0,2000.0,2021-12-15,1.1
30,Shivpuri,Barad,Coriander,Vegetables,0.08,1500.0,2000.0,1500.0,2021-12-14,0.8
31,Betul,Betul,Coriander,Vegetables,0.4,2000.0,3500.0,3000.0,2021-10-19,4.0
32,Betul,Betul,Coriander,Vegetables,1.2,1200.0,1500.0,1300.0,2021-08-21,12.0
33,Betul,Betul,Coriander,Vegetables,0.5,1000.0,2000.0,1500.0,2021-07-12,5.0
34,Betul,Betul,Coriander,Vegetables,0.2,1000.0,1200.0,1000.0,2021-05-28,2.0
35,Betul,Betul,Coriander,Vegetables,0.3,800.0,1400.0,1200.0,2021-05-27,3.0
36,Betul,Betul,Coriander,Vegetables,0.1,1200.0,1800.0,1600.0,2021-05-26,1.0
37,Betul,Betul,Coriander,Vegetables,0.2,1000.0,2000.0,1500.0,2021-05-25,2.0
38,Betul,Betul,Coriander,Vegetables,0.1,1000.0,1200.0,1100.0,2021-05-21,1.0
39,Betul,Betul,Coriander,Vegetables,0.5,1200.0,1400.0,1300.0,2021-05-20,5.0
40,Betul,Betul,Coriander,Vegetables,0.3,1200.0,1600.0,1400.0,2021-05-19,3.0
41,Betul,Betul,Coriander,Vegetables,0.5,1400.0,1800.0,1500.0,2021-05-18,5.0
42,Betul,Betul,Coriander,Vegetables,0.1,500.0,500.0,500.0,2021-03-24,1.0
43,Betul,Betul,Coriander,Vegetables,2.0,400.0,500.0,500.0,2021-03-23,20.0
44,Betul,Betul,Coriander,Vegetables,0.2,500.0,500.0,500.0,2021-03-21,2.0
45,Betul,Betul,Coriander,Vegetables,0.3,400.0,600.0,450.0,2021-03-20,3.0
46,Betul,Betul,Coriander,Vegetables,2.0,400.0,600.0,500.0,2021-03-18,20.0
