Both Price And Arrival from 01-Jan-2018 To 31-Dec-2023 Total Arrival- 115.80,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Morena,Porsa(F&V),Ashgourd,Vegetables,1,1500,1500,1500,19-Sep-20
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,1.6,250,250,250,19-Jan-23
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,10,200,250,225,14-Jan-23
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,5,250,250,250,11-Jan-23
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,4,250,250,250,10-Jan-23
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,3.3,300,300,300,07-Jan-23
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,3.3,300,300,300,06-Jan-23
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,3.3,300,300,300,04-Jan-23
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,4,400,500,450,31-Dec-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,1.2,400,400,400,30-Dec-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,2.2,400,500,450,28-Dec-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,0.8,500,500,500,27-Dec-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,2.5,400,500,450,20-Dec-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,1,400,400,400,10-Dec-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,2,400,400,400,24-Nov-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,5,300,300,300,22-Nov-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,3.3,300,300,300,17-Nov-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,3.3,300,300,300,16-Nov-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,4.3,300,400,350,14-Nov-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,6.6,300,300,300,03-Nov-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,1,400,400,400,31-Oct-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,1,300,300,300,29-Oct-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,1.3,400,400,400,28-Oct-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,2,400,400,400,16-Oct-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,2.3,300,300,300,06-Oct-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,2,300,300,300,12-Sep-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,1,400,400,400,08-Sep-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,2,300,300,300,02-Sep-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,1,500,500,500,29-Aug-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,1.4,500,500,500,26-Aug-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,2,300,300,300,25-Aug-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,2,300,300,300,24-Aug-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,1,400,400,400,23-Aug-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,0.5,1000,1000,1000,29-Jul-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,2.5,400,400,400,23-Jul-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,3.3,300,300,300,22-Jul-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,3.3,300,300,300,20-Jul-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,3.5,400,400,400,19-Jul-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,2,400,400,400,18-Jul-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,6.4,250,250,250,02-Feb-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,2.6,300,300,300,01-Feb-22
Madhya Pradesh,Morena,Sabalgarh,Ashgourd,Vegetables,4,300,300,300,19-Jan-22
