,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Arrivals (Quintals)
0,Morena,Porsa(F&V),Ashgourd,Vegetables,1.0,1500,1500,1500,2020-09-19,10.0
1,Morena,Sabalgarh,Ashgourd,Vegetables,1.6,250,250,250,2023-01-19,16.0
2,Morena,Sabalgarh,Ashgourd,Vegetables,10.0,200,250,225,2023-01-14,100.0
3,Morena,Sabalgarh,Ashgourd,Vegetables,5.0,250,250,250,2023-01-11,50.0
4,Morena,Sabalgarh,Ashgourd,Vegetables,4.0,250,250,250,2023-01-10,40.0
5,Morena,Sabalgarh,Ashgourd,Vegetables,3.3,300,300,300,2023-01-07,33.0
6,Morena,Sabalgarh,Ashgourd,Vegetables,3.3,300,300,300,2023-01-06,33.0
7,Morena,Sabalgarh,Ashgourd,Vegetables,3.3,300,300,300,2023-01-04,33.0
8,Morena,Sabalgarh,Ashgourd,Vegetables,4.0,400,500,450,2022-12-31,40.0
9,Morena,Sabalgarh,Ashgourd,Vegetables,1.2,400,400,400,2022-12-30,12.0
10,Morena,Sabalgarh,Ashgourd,Vegetables,2.2,400,500,450,2022-12-28,22.0
11,Morena,Sabalgarh,Ashgourd,Vegetables,0.8,500,500,500,2022-12-27,8.0
12,Morena,Sabalgarh,Ashgourd,Vegetables,2.5,400,500,450,2022-12-20,25.0
13,Morena,Sabalgarh,Ashgourd,Vegetables,1.0,400,400,400,2022-12-10,10.0
14,Morena,Sabalgarh,Ashgourd,Vegetables,2.0,400,400,400,2022-11-24,20.0
15,Morena,Sabalgarh,Ashgourd,Vegetables,5.0,300,300,300,2022-11-22,50.0
16,Morena,Sabalgarh,Ashgourd,Vegetables,3.3,300,300,300,2022-11-17,33.0
17,Morena,Sabalgarh,Ashgourd,Vegetables,3.3,300,300,300,2022-11-16,33.0
18,Morena,Sabalgarh,Ashgourd,Vegetables,4.3,300,400,350,2022-11-14,43.0
19,Morena,Sabalgarh,Ashgourd,Vegetables,6.6,300,300,300,2022-11-03,66.0
20,Morena,Sabalgarh,Ashgourd,Vegetables,1.0,400,400,400,2022-10-31,10.0
21,Morena,Sabalgarh,Ashgourd,Vegetables,1.0,300,300,300,2022-10-29,10.0
22,Morena,Sabalgarh,Ashgourd,Vegetables,1.3,400,400,400,2022-10-28,13.0
23,Morena,Sabalgarh,Ashgourd,Vegetables,2.0,400,400,400,2022-10-16,20.0
24,Morena,Sabalgarh,Ashgourd,Vegetables,2.3,300,300,300,2022-10-06,23.0
25,Morena,Sabalgarh,Ashgourd,Vegetables,2.0,300,300,300,2022-09-12,20.0
26,Morena,Sabalgarh,Ashgourd,Vegetables,1.0,400,400,400,2022-09-08,10.0
27,Morena,Sabalgarh,Ashgourd,Vegetables,2.0,300,300,300,2022-09-02,20.0
28,Morena,Sabalgarh,Ashgourd,Vegetables,1.0,500,500,500,2022-08-29,10.0
29,Morena,Sabalgarh,Ashgourd,Vegetables,1.4,500,500,500,2022-08-26,14.0
30,Morena,Sabalgarh,Ashgourd,Vegetables,2.0,300,300,300,2022-08-25,20.0
31,Morena,Sabalgarh,Ashgourd,Vegetables,2.0,300,300,300,2022-08-24,20.0
32,Morena,Sabalgarh,Ashgourd,Vegetables,1.0,400,400,400,2022-08-23,10.0
33,Morena,Sabalgarh,Ashgourd,Vegetables,0.5,1000,1000,1000,2022-07-29,5.0
34,Morena,Sabalgarh,Ashgourd,Vegetables,2.5,400,400,400,2022-07-23,25.0
35,Morena,Sabalgarh,Ashgourd,Vegetables,3.3,300,300,300,2022-07-22,33.0
36,Morena,Sabalgarh,Ashgourd,Vegetables,3.3,300,300,300,2022-07-20,33.0
37,Morena,Sabalgarh,Ashgourd,Vegetables,3.5,400,400,400,2022-07-19,35.0
38,Morena,Sabalgarh,Ashgourd,Vegetables,2.0,400,400,400,2022-07-18,20.0
39,Morena,Sabalgarh,Ashgourd,Vegetables,6.4,250,250,250,2022-02-02,64.0
40,Morena,Sabalgarh,Ashgourd,Vegetables,2.6,300,300,300,2022-02-01,26.0
41,Morena,Sabalgarh,Ashgourd,Vegetables,4.0,300,300,300,2022-01-19,40.0
