State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Punjab,Fazilka,Abohar,Other,Cereals,100,2130,2130,2130,26-May-23
Punjab,Fazilka,Abohar,Other,Cereals,136,2125,2125,2125,25-May-23
Punjab,Fazilka,Abohar,Other,Cereals,256,2125,2130,2125,24-May-23
Punjab,Fazilka,Abohar,Other,Cereals,270,2125,2130,2125,23-May-23
Punjab,Fazilka,Abohar,Other,Cereals,474,2125,2130,2125,22-May-23
Punjab,Fazilka,Abohar,Other,Cereals,20,2125,2125,2125,21-May-23
Punjab,Fazilka,Abohar,Other,Cereals,175,2125,2125,2125,20-May-23
Punjab,Fazilka,Abohar,Other,Cereals,330,2125,2130,2125,19-May-23
Punjab,Fazilka,Abohar,Other,Cereals,"2,153.00",2125,2130,2125,18-May-23
Punjab,Fazilka,Abohar,Other,Cereals,"1,972.00",2125,2130,2125,17-May-23
Punjab,Fazilka,Abohar,Other,Cereals,"2,429.00",2125,2130,2125,16-May-23
Punjab,Fazilka,Abohar,Other,Cereals,"3,094.00",2125,2130,2125,15-May-23
Punjab,Fazilka,Abohar,Other,Cereals,"1,990.00",2125,2125,2125,14-May-23
Punjab,Fazilka,Abohar,Other,Cereals,"5,052.00",2125,2130,2125,13-May-23
Punjab,Fazilka,Abohar,Other,Cereals,"4,435.00",2125,2125,2125,12-May-23
Punjab,Fazilka,Abohar,Other,Cereals,"5,539.00",2125,2125,2125,11-May-23
Punjab,Fazilka,Abohar,Other,Cereals,"3,582.00",2125,2125,2125,10-May-23
Punjab,Fazilka,Abohar,Other,Cereals,"3,812.00",2125,2125,2125,09-May-23
Punjab,Fazilka,Abohar,Other,Cereals,"4,024.00",2125,2125,2125,08-May-23
Punjab,Fazilka,Abohar,Other,Cereals,"6,852.00",2125,2125,2125,07-May-23
Punjab,Fazilka,Abohar,Other,Cereals,"5,185.00",2125,2125,2125,06-May-23
Punjab,Fazilka,Abohar,Other,Cereals,"7,663.00",2125,2125,2125,05-May-23
Punjab,Fazilka,Abohar,Other,Cereals,"6,611.00",2125,2125,2125,04-May-23
Punjab,Fazilka,Abohar,Other,Cereals,"8,018.00",2125,2125,2125,03-May-23
Punjab,Fazilka,Abohar,Other,Cereals,"5,838.00",2125,2125,2125,02-May-23
Punjab,Fazilka,Abohar,Other,Cereals,"9,233.00",2125,2125,2125,01-May-23
Punjab,Fazilka,Abohar,Other,Cereals,"10,300.00",2125,2125,2125,30-Apr-23
Punjab,Fazilka,Abohar,Other,Cereals,"7,820.00",2125,2130,2125,29-Apr-23
Punjab,Fazilka,Abohar,Other,Cereals,"13,299.00",2125,2125,2125,28-Apr-23
Punjab,Fazilka,Abohar,Other,Cereals,"10,450.00",2125,2125,2125,27-Apr-23
Punjab,Fazilka,Abohar,Other,Cereals,"12,165.00",2125,2125,2125,26-Apr-23
Punjab,Fazilka,Abohar,Other,Cereals,"15,181.00",2125,2125,2125,25-Apr-23
Punjab,Fazilka,Abohar,Other,Cereals,"17,678.00",2125,2125,2125,24-Apr-23
Punjab,Fazilka,Abohar,Other,Cereals,"12,261.00",2125,2125,2125,23-Apr-23
Punjab,Fazilka,Abohar,Other,Cereals,"18,465.00",2125,2125,2125,22-Apr-23
Punjab,Fazilka,Abohar,Other,Cereals,"10,870.00",2125,2131,2125,21-Apr-23
Punjab,Fazilka,Abohar,Other,Cereals,"18,225.00",2125,2125,2125,20-Apr-23
Punjab,Fazilka,Abohar,Other,Cereals,"5,258.00",2125,2125,2125,19-Apr-23
Punjab,Fazilka,Abohar,Other,Cereals,"12,015.00",2125,2131,2125,18-Apr-23
Punjab,Fazilka,Abohar,Other,Cereals,"6,217.00",2125,2125,2125,17-Apr-23
Punjab,Fazilka,Abohar,Other,Cereals,"3,451.00",2125,2125,2125,16-Apr-23
Punjab,Fazilka,Abohar,Other,Cereals,"3,210.00",2125,2125,2125,15-Apr-23
Punjab,Fazilka,Abohar,Other,Cereals,"1,200.00",2125,2125,2125,14-Apr-23
Punjab,Fazilka,Abohar,Other,Cereals,25,2125,2125,2125,13-Apr-23
Punjab,Fazilka,Abohar,Other,Cereals,12,2130,2130,2130,09-Apr-23
Punjab,Fazilka,Abohar,Other,Cereals,"2,449.00",2015,2015,2015,31-May-22
Punjab,Fazilka,Abohar,Other,Cereals,"1,050.00",2015,2015,2015,30-May-22
Punjab,Fazilka,Abohar,Other,Cereals,200,2015,2015,2015,29-May-22
Punjab,Fazilka,Abohar,Other,Cereals,673,2015,2020,2015,28-May-22
Punjab,Fazilka,Abohar,Other,Cereals,600,2015,2015,2015,27-May-22
Punjab,Fazilka,Abohar,Other,Cereals,950,2015,2015,2015,26-May-22
Punjab,Fazilka,Abohar,Other,Cereals,"1,556.00",2015,2015,2015,25-May-22
Punjab,Fazilka,Abohar,Other,Cereals,614,2015,2015,2015,24-May-22
Punjab,Fazilka,Abohar,Other,Cereals,"1,385.00",2015,2015,2015,23-May-22
Punjab,Fazilka,Abohar,Other,Cereals,562,2015,2015,2015,22-May-22
Punjab,Fazilka,Abohar,Other,Cereals,290,2015,2015,2015,21-May-22
Punjab,Fazilka,Abohar,Other,Cereals,850,2015,2015,2015,20-May-22
Punjab,Fazilka,Abohar,Other,Cereals,885,2015,2020,2015,19-May-22
Punjab,Fazilka,Abohar,Other,Cereals,375,2015,2020,2015,18-May-22
Punjab,Fazilka,Abohar,Other,Cereals,676,2015,2020,2015,17-May-22
Punjab,Fazilka,Abohar,Other,Cereals,253,2015,2020,2015,16-May-22
Punjab,Fazilka,Abohar,Other,Cereals,200,2015,2035,2020,14-May-22
Punjab,Fazilka,Abohar,Other,Cereals,593,2015,2045,2015,13-May-22
Punjab,Fazilka,Abohar,Other,Cereals,374,2015,2040,2040,12-May-22
Punjab,Fazilka,Abohar,Other,Cereals,255,2030,2070,2050,11-May-22
Punjab,Fazilka,Abohar,Other,Cereals,"1,531.00",2015,2085,2015,10-May-22
Punjab,Fazilka,Abohar,Other,Cereals,"1,540.00",2015,2040,2015,09-May-22
Punjab,Fazilka,Abohar,Other,Cereals,"1,344.00",2015,2040,2015,08-May-22
Punjab,Fazilka,Abohar,Other,Cereals,"2,104.00",2015,2050,2015,06-May-22
Punjab,Fazilka,Abohar,Other,Cereals,"7,158.00",2015,2040,2015,05-May-22
Punjab,Fazilka,Abohar,Other,Cereals,"4,275.00",2015,2060,2015,04-May-22
Punjab,Fazilka,Abohar,Other,Cereals,"3,420.00",2015,2015,2015,03-May-22
Punjab,Fazilka,Abohar,Other,Cereals,"3,895.00",2015,2081,2015,02-May-22
Punjab,Fazilka,Abohar,Other,Cereals,579,2015,2015,2015,01-May-22
Punjab,Fazilka,Abohar,Other,Cereals,"4,205.00",2015,2131,2015,30-Apr-22
Punjab,Fazilka,Abohar,Other,Cereals,"1,943.00",2015,2140,2015,29-Apr-22
Punjab,Fazilka,Abohar,Other,Cereals,"4,980.00",2015,2151,2015,28-Apr-22
Punjab,Fazilka,Abohar,Other,Cereals,"3,324.00",2015,2145,2015,27-Apr-22
Punjab,Fazilka,Abohar,Other,Cereals,"6,566.00",2015,2015,2015,25-Apr-22
Punjab,Fazilka,Abohar,Other,Cereals,"3,244.00",2015,2015,2015,24-Apr-22
Punjab,Fazilka,Abohar,Other,Cereals,"4,319.00",2015,2125,2015,23-Apr-22
Punjab,Fazilka,Abohar,Other,Cereals,"6,490.00",2015,2121,2015,22-Apr-22
Punjab,Fazilka,Abohar,Other,Cereals,"9,832.00",2015,2121,2015,21-Apr-22
Punjab,Fazilka,Abohar,Other,Cereals,"10,957.00",2015,2351,2015,20-Apr-22
Punjab,Fazilka,Abohar,Other,Cereals,"15,045.00",2015,2081,2015,19-Apr-22
Punjab,Fazilka,Abohar,Other,Cereals,"14,552.00",2015,2020,2015,18-Apr-22
Punjab,Fazilka,Abohar,Other,Cereals,"8,325.00",2015,2020,2015,17-Apr-22
Punjab,Fazilka,Abohar,Other,Cereals,"16,497.00",2015,2020,2015,16-Apr-22
Punjab,Fazilka,Abohar,Other,Cereals,"15,298.00",2015,2020,2015,15-Apr-22
Punjab,Fazilka,Abohar,Other,Cereals,"9,664.00",2015,2020,2015,14-Apr-22
Punjab,Fazilka,Abohar,Other,Cereals,"5,047.00",2015,2015,2015,13-Apr-22
Punjab,Fazilka,Abohar,Other,Cereals,"4,277.00",2015,2020,2015,12-Apr-22
Punjab,Fazilka,Abohar,Other,Cereals,"2,612.00",2015,2020,2015,11-Apr-22
Punjab,Fazilka,Abohar,Other,Cereals,"1,326.00",2015,2020,2015,10-Apr-22
Punjab,Fazilka,Abohar,Other,Cereals,613,2015,2021,2015,09-Apr-22
Punjab,Fazilka,Abohar,Other,Cereals,158,2015,2021,2021,08-Apr-22
Punjab,Fazilka,Abohar,Other,Cereals,123,2015,2025,2021,07-Apr-22
Punjab,Fazilka,Abohar,Other,Cereals,36,2021,2031,2021,06-Apr-22
Punjab,Fazilka,Abohar,Other,Cereals,"14,462.00",1975,1975,1975,13-May-21
Punjab,Fazilka,Abohar,Other,Cereals,"15,524.00",1975,1975,1975,12-May-21
Punjab,Fazilka,Abohar,Other,Cereals,"5,999.00",1975,1975,1975,11-May-21
Punjab,Fazilka,Abohar,Other,Cereals,"7,306.00",1975,1975,1975,10-May-21
Punjab,Fazilka,Abohar,Other,Cereals,"8,997.00",1975,1975,1975,09-May-21
Punjab,Fazilka,Abohar,Other,Cereals,"7,941.00",1975,1975,1975,08-May-21
Punjab,Fazilka,Abohar,Other,Cereals,"10,265.00",1975,1975,1975,07-May-21
Punjab,Fazilka,Abohar,Other,Cereals,"10,916.00",1975,1975,1975,06-May-21
Punjab,Fazilka,Abohar,Other,Cereals,"15,181.00",1975,1975,1975,05-May-21
Punjab,Fazilka,Abohar,Other,Cereals,"12,204.00",1975,1975,1975,04-May-21
Punjab,Fazilka,Abohar,Other,Cereals,"8,647.00",1975,1975,1975,03-May-21
Punjab,Fazilka,Abohar,Other,Cereals,"10,239.00",1975,1975,1975,02-May-21
Punjab,Fazilka,Abohar,Other,Cereals,"7,765.00",1975,1975,1975,30-Apr-21
Punjab,Fazilka,Abohar,Other,Cereals,"11,826.00",1975,1975,1975,29-Apr-21
Punjab,Fazilka,Abohar,147 Average,Cereals,"14,538.00",1975,1975,1975,28-Apr-21
Punjab,Fazilka,Abohar,Other,Cereals,,1975,1975,1975,28-Apr-21
Punjab,Fazilka,Abohar,Other,Cereals,"10,164.00",1975,1975,1975,27-Apr-21
Punjab,Fazilka,Abohar,Other,Cereals,"17,464.00",1975,1975,1975,26-Apr-21
Punjab,Fazilka,Abohar,Other,Cereals,"13,108.00",1975,1975,1975,25-Apr-21
Punjab,Fazilka,Abohar,Other,Cereals,"19,446.00",1975,1975,1975,24-Apr-21
Punjab,Fazilka,Abohar,Other,Cereals,"14,008.00",1975,1975,1975,23-Apr-21
Punjab,Fazilka,Abohar,Other,Cereals,"16,161.00",1975,1975,1975,22-Apr-21
Punjab,Fazilka,Abohar,Other,Cereals,"8,963.00",1975,1975,1975,21-Apr-21
Punjab,Fazilka,Abohar,Other,Cereals,715,1975,1975,1975,20-Apr-21
Punjab,Fazilka,Abohar,Other,Cereals,"13,055.00",1975,1975,1975,19-Apr-21
Punjab,Fazilka,Abohar,Other,Cereals,"7,939.00",1975,1975,1975,18-Apr-21
Punjab,Fazilka,Abohar,Other,Cereals,"1,282.00",1975,1975,1975,16-Apr-21
Punjab,Fazilka,Abohar,Other,Cereals,"2,474.00",1975,1975,1975,15-Apr-21
Punjab,Fazilka,Abohar,Other,Cereals,20,1975,1975,1975,14-Apr-21
Punjab,Jalandhar,Adampur,Other,Cereals,"1,081.40",1975,1975,1975,07-May-21
Punjab,Jalandhar,Adampur,Other,Cereals,76.6,1975,1975,1975,05-May-21
Punjab,Jalandhar,Adampur,Other,Cereals,83.2,1975,1975,1975,04-May-21
Punjab,Jalandhar,Adampur,Other,Cereals,"2,556.60",1975,1975,1975,30-Apr-21
Punjab,Jalandhar,Adampur,Other,Cereals,620.4,1975,1975,1975,28-Apr-21
Punjab,Jalandhar,Adampur,Other,Cereals,380.8,1975,1975,1975,23-Apr-21
Punjab,Jalandhar,Adampur,Other,Cereals,359.1,1975,1975,1975,22-Apr-21
Punjab,Jalandhar,Adampur,Other,Cereals,"1,033.50",1975,1975,1975,21-Apr-21
Punjab,Jalandhar,Adampur,Other,Cereals,845.1,1975,1975,1975,20-Apr-21
Punjab,Jalandhar,Adampur,Other,Cereals,863.2,1975,1975,1975,19-Apr-21
Punjab,Jalandhar,Adampur,Other,Cereals,748.5,1975,1975,1975,17-Apr-21
Punjab,Moga,Ajitwal,Other,Cereals,2.2,2125,2125,2125,24-May-23
Punjab,Moga,Ajitwal,Other,Cereals,2.2,2125,2125,2125,23-May-23
Punjab,Moga,Ajitwal,Other,Cereals,1.65,2125,2125,2125,19-May-23
Punjab,Moga,Ajitwal,Other,Cereals,19.85,2125,2125,2125,18-May-23
Punjab,Moga,Ajitwal,Other,Cereals,25.7,2125,2125,2125,17-May-23
Punjab,Moga,Ajitwal,Other,Cereals,244,2125,2125,2125,16-May-23
